col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34
smooth:blue,,,visual,0,pointy,,,False,45.429,hue,,True,red,,45,4,rate,visual,neutral,shape,,0,neutral,,smooth:red,pointy:blue,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:square,,,visual,0,smooth,,neutral,True,26.456,timbre,,True,neutral,,30,2,rate,auditory,neutral,shape,sine,0,neutral,,smooth:sine,pointy:square,keyboard,en,rate_CMC,male,30,yes,203,no
red:light,,,visual,0,neutral,,,False,31.31,lightness,,True,blue,,45,4,rate,visual,dark,hue,,0,neutral,,red:dark,red:light,keyboard,en,rate_CMC,male,30,yes,203,no
sine:low,,,auditory,0,neutral,,high,True,22.114,pitch,,1,neutral,,45,4,rate,auditory,neutral,timbre,square,0,neutral,,sine:high,square:low,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:light,,,visual,0,pointy,,,False,11.984,lightness,,True,neutral,,45,2,rate,visual,dark,shape,,0,neutral,,smooth:dark,pointy:dark,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:complex,,,visual,0,pointy,,,False,10.196,complexity,,True,neutral,,30,6,rate,visual,neutral,shape,,0,simple,,smooth:simple,smooth:complex,keyboard,en,rate_CMC,male,30,yes,203,no
simple:blue,,,visual,0,neutral,,,False,17.242,hue,,True,red,,45,3,rate,visual,neutral,complexity,,0,complex,,simple:red,simple:red,keyboard,en,rate_CMC,male,30,yes,203,no
dark:low,,,visual,0,neutral,,high,True,8.824,pitch,,True,neutral,,45,5,rate,auditory,light,lightness,neutral,0,neutral,,dark:high,light:high,keyboard,en,rate_CMC,male,30,yes,203,no
simple:square,,,visual,0,neutral,,neutral,True,7.867,timbre,,True,neutral,,30,5,rate,auditory,neutral,complexity,sine,0,complex,,simple:sine,complex:square,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:low,,,visual,0,pointy,,low,True,42.271,pitch,,True,neutral,,45,5,rate,auditory,neutral,shape,neutral,0,neutral,,smooth:high,pointy:low,keyboard,en,rate_CMC,male,30,yes,203,no
red:low,,,visual,0,neutral,,low,True,9.713,pitch,,True,blue,,45,4,rate,auditory,neutral,hue,neutral,0,neutral,,red:high,red:low,keyboard,en,rate_CMC,male,30,yes,203,no
simple:low,,,visual,0,neutral,,low,True,33.842,pitch,,True,neutral,,30,4,rate,auditory,neutral,complexity,neutral,0,simple,,simple:high,complex:high,keyboard,en,rate_CMC,male,30,yes,203,no
red:square,,,visual,0,neutral,,neutral,True,3.92,timbre,,True,blue,,30,1,rate,auditory,neutral,hue,sine,0,neutral,,red:sine,red:square,keyboard,en,rate_CMC,male,30,yes,203,no
dark:square,,,visual,0,neutral,,neutral,True,2.894,timbre,,True,neutral,,30,2,rate,auditory,light,lightness,sine,0,neutral,,dark:sine,dark:square,keyboard,en,rate_CMC,male,30,yes,203,no
simple:light,,,visual,0,neutral,,,False,12.234,lightness,,True,neutral,,45,4,rate,visual,dark,complexity,,0,complex,,simple:dark,complex:light,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:blue,,,visual,0,pointy,,,False,17.634,hue,,True,red,,45,4,rate,visual,neutral,shape,,0,neutral,,smooth:red,smooth:blue,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:square,,,visual,0,pointy,,neutral,True,8.359,timbre,,True,neutral,,30,2,rate,auditory,neutral,shape,sine,0,neutral,,smooth:sine,pointy:sine,keyboard,en,rate_CMC,male,30,yes,203,no
red:light,,,visual,0,neutral,,,False,9.244,lightness,,True,blue,,45,4,rate,visual,dark,hue,,0,neutral,,red:dark,red:light,keyboard,en,rate_CMC,male,30,yes,203,no
sine:low,,,auditory,0,neutral,,low,True,6.844,pitch,,1,neutral,,30,4,rate,auditory,neutral,timbre,square,0,neutral,,sine:high,square:high,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:light,,,visual,0,pointy,,,False,14.647,lightness,,True,neutral,,30,4,rate,visual,dark,shape,,0,neutral,,smooth:dark,smooth:light,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:complex,,,visual,0,pointy,,,False,9.236,complexity,,True,neutral,,30,5,rate,visual,neutral,shape,,0,simple,,smooth:simple,pointy:complex,keyboard,en,rate_CMC,male,30,yes,203,no
simple:blue,,,visual,0,neutral,,,False,15.79,hue,,True,red,,45,4,rate,visual,neutral,complexity,,0,complex,,simple:red,complex:blue,keyboard,en,rate_CMC,male,30,yes,203,no
dark:low,,,visual,0,neutral,,high,True,4.089,pitch,,True,neutral,,30,5,rate,auditory,light,lightness,neutral,0,neutral,,dark:high,dark:low,keyboard,en,rate_CMC,male,30,yes,203,no
simple:square,,,visual,0,neutral,,neutral,True,3.902,timbre,,True,neutral,,45,3,rate,auditory,neutral,complexity,square,0,complex,,simple:sine,simple:sine,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:low,,,visual,0,smooth,,high,True,5.838,pitch,,True,neutral,,30,6,rate,auditory,neutral,shape,neutral,0,neutral,,smooth:high,pointy:low,keyboard,en,rate_CMC,male,30,yes,203,no
red:low,,,visual,0,neutral,,high,True,4.267,pitch,,True,red,,45,2,rate,auditory,neutral,hue,neutral,0,neutral,,red:high,red:high,keyboard,en,rate_CMC,male,30,yes,203,no
simple:low,,,visual,0,neutral,,high,True,7.137,pitch,,True,neutral,,30,4,rate,auditory,neutral,complexity,neutral,0,simple,,simple:high,simple:high,keyboard,en,rate_CMC,male,30,yes,203,no
red:square,,,visual,0,neutral,,neutral,True,7.25,timbre,,True,red,,45,4,rate,auditory,neutral,hue,sine,0,neutral,,red:sine,red:square,keyboard,en,rate_CMC,male,30,yes,203,no
dark:square,,,visual,0,neutral,,neutral,True,4.889,timbre,,True,neutral,,30,3,rate,auditory,light,lightness,sine,0,neutral,,dark:sine,light:square,keyboard,en,rate_CMC,male,30,yes,203,no
simple:light,,,visual,0,neutral,,,False,14.089,lightness,,True,neutral,,30,5,rate,visual,dark,complexity,,0,complex,,simple:dark,complex:light,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:blue,,,visual,0,pointy,,,False,10.525,hue,,True,red,,30,4,rate,visual,neutral,shape,,0,neutral,,smooth:red,smooth:red,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:square,,,visual,0,pointy,,neutral,True,2.014,timbre,,True,neutral,,30,2,rate,auditory,neutral,shape,sine,0,neutral,,smooth:sine,pointy:sine,keyboard,en,rate_CMC,male,30,yes,203,no
red:light,,,visual,0,neutral,,,False,14.337,lightness,,True,blue,,45,4,rate,visual,dark,hue,,0,neutral,,red:dark,blue:dark,keyboard,en,rate_CMC,male,30,yes,203,no
sine:low,,,auditory,0,neutral,,high,True,5.681,pitch,,1,neutral,,30,4,rate,auditory,neutral,timbre,sine,0,neutral,,sine:high,square:low,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:light,,,visual,0,pointy,,,False,13.304,lightness,,True,neutral,,45,4,rate,visual,dark,shape,,0,neutral,,smooth:dark,pointy:dark,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:complex,,,visual,0,pointy,,,False,11.352,complexity,,True,neutral,,45,5,rate,visual,neutral,shape,,0,simple,,smooth:simple,smooth:simple,keyboard,en,rate_CMC,male,30,yes,203,no
simple:blue,,,visual,0,neutral,,,False,13.168,hue,,True,red,,30,4,rate,visual,neutral,complexity,,0,complex,,simple:red,simple:red,keyboard,en,rate_CMC,male,30,yes,203,no
dark:low,,,visual,0,neutral,,low,True,4.481,pitch,,True,neutral,,30,5,rate,auditory,light,lightness,neutral,0,neutral,,dark:high,light:low,keyboard,en,rate_CMC,male,30,yes,203,no
simple:square,,,visual,0,neutral,,neutral,True,4.485,timbre,,True,neutral,,30,3,rate,auditory,neutral,complexity,sine,0,complex,,simple:sine,complex:sine,keyboard,en,rate_CMC,male,30,yes,203,no
smooth:low,,,visual,0,pointy,,low,True,7.504,pitch,,True,neutral,,45,5,rate,auditory,neutral,shape,neutral,0,neutral,,smooth:high,pointy:high,keyboard,en,rate_CMC,male,30,yes,203,no
red:low,,,visual,0,neutral,,high,True,1.799,pitch,,True,blue,,45,4,rate,auditory,neutral,hue,neutral,0,neutral,,red:high,blue:high,keyboard,en,rate_CMC,male,30,yes,203,no
simple:low,,,visual,0,neutral,,high,True,7.203,pitch,,True,neutral,,45,4,rate,auditory,neutral,complexity,neutral,0,simple,,simple:high,complex:high,keyboard,en,rate_CMC,male,30,yes,203,no
red:square,,,visual,0,neutral,,neutral,True,9.433,timbre,,True,red,,30,4,rate,auditory,neutral,hue,square,0,neutral,,red:sine,red:sine,keyboard,en,rate_CMC,male,30,yes,203,no
dark:square,,,visual,0,neutral,,neutral,True,7.032,timbre,,True,neutral,,45,2,rate,auditory,light,lightness,sine,0,neutral,,dark:sine,light:square,keyboard,en,rate_CMC,male,30,yes,203,no
simple:light,,,visual,0,neutral,,,False,19.171,lightness,,True,neutral,,45,4,rate,visual,dark,complexity,,0,complex,,simple:dark,simple:dark,keyboard,en,rate_CMC,male,30,yes,203,no
