col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,col154,col155,col156,col157,col158,col159,col160,col161,col162,col163,col164,col165,col166,col167,col168,col169,col170,col171,col172,col173,col174,col175,col176,col177,col178,col179,col180,col181,col182,col183,col184,col185,col186,col187,col188,col189,col190,col191,col192,col193,col194,col195,col196,col197,col198,col199,col200,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211
Example,1_EQ,Location1,,,,,01/01/2021,12/31/2021,,,,109,FL,,53156,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PES+PFF+PSL+PTS+PLS+PLQ,C,100000.0,0.0,0.0,0.0,1.0,1.0,C,10000.0,0.0,0.0,0.0,EQ_Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example,2_EQ,Location2,,,,,01/01/2021,12/31/2021,,,,79,CA,,57531,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PES+PFF+PSL+PTS+PLS+PLQ,C,100000.0,0.0,0.0,0.0,1.0,1.0,C,10000.0,0.0,0.0,0.0,EQ_California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example,3_EQ,Location3,,,,,01/01/2021,12/31/2021,,,,43,MO,,44868,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PES+PFF+PSL+PTS+PLS+PLQ,C,100000.0,0.0,0.0,0.0,1.0,1.0,C,10000.0,0.0,0.0,0.0,EQ_Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example,1_TC,Location1,,,,,01/01/2021,12/31/2021,,,,109,FL,,16911,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PWH+PSH+PPH,C,500000.0,,10000.0,150000.0,,,,,,,,TC_Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example,2_TC,Location2,,,,,01/01/2021,12/31/2021,,,,79,CA,,13834,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PWH+PSH+PPH,S,750000.0,,,,,,,,,,,TC_Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example,3_TC,Location3,,,,,01/01/2021,12/31/2021,,,,43,MO,,53065,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PWH+PSH+PPH,S,750000.0,,,,,,,,,,,TC_Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example,1_FL,Location1,,,,,01/01/2021,12/31/2021,,,,109,FL,,78336,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFL,,,,,,,,,,,,,FL_SFHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example,2_FL,Location2,,,,,01/01/2021,12/31/2021,,,,79,CA,,31652,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFL,,,,,,,,,,,,,FL_SFHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example,3_FL,Location3,,,,,01/01/2021,12/31/2021,,,,43,MO,,03288,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFL,,,,,,,,,,,,,FL_Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example,1_AOP,Location1,,,,,01/01/2021,12/31/2021,,,,109,FL,,75571,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PWX+PTR+PNC,,,,,,,,,,,,,AOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example,2_AOP,Location2,,,,,01/01/2021,12/31/2021,,,,79,CA,,11153,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PWX+PTR+PNC,,,,,,,,,,,,,AOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example,3_AOP,Location3,,,,,01/01/2021,12/31/2021,,,,43,MO,,34365,US,,,,,10000000000000,10000000000000,7000000000000,3000000000000,365,USD,1,,AIR,100,100,AIR,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PWX+PTR+PNC,,,,,,,,,,,,,AOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
