col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128
admin,base,Laptops,simple,"3,148",QCNBBG00070,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month Warranty.,,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"HP PAVILION 15-P077TX(CORE I5 4210U 1.70GHZ /2GB/250GB/DVD/WEB CAM/15.6"")(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"HP PAVILION 15-P077TX(CORE I5 4210U 1.70GHZ /2GB/250GB/DVD/WEB CAM/15.6"")(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00074,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month Warranty.,,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"DELL LATITUDE E6420(CORE I5-2540M 2.60GHZ/4GB/250GB/WEBCAM/DVD/14"")(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"DELL LATITUDE E6420(CORE I5-2540M 2.60GHZ/4GB/250GB/WEBCAM/DVD/14"")(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00073,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month Warranty.,,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"DELL LATITUDE E4310(CORE I5 2065M/2.67GHZ/4GB/320GB/WEB CAMERA/DVD/14"")(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"DELL LATITUDE E4310(CORE I5 2065M/2.67GHZ/4GB/320GB/WEB CAMERA/DVD/14"")(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00077,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month Warranty.,,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD T420(CORE I5 2520M 2.50GHZ/2GB/320GB/DVD/WEB CAM 14"")(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD T420(CORE I5 2520M 2.50GHZ/2GB/320GB/DVD/WEB CAM 14"")(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00078,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month Warranty.,,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD X220(CORE I5 2520M 2.50GHZ/2GB/320GB/WEB CAM/12"")(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD X220(CORE I5 2520M 2.50GHZ/2GB/320GB/WEB CAM/12"")(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00079,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month Warranty.,,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD X220(CORE I5 2520M 2.50GHZ/4GB/500GB/WEB CAM/NO DVD/12"")(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD X220(CORE I5 2520M 2.50GHZ/4GB/500GB/WEB CAM/NO DVD/12"")(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00076,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month Warranty.,,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD T420(CORE I5 2520M 2.50GHZ/8GB/320GB/DVD/WEB CAM 14"")(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD T420(CORE I5 2520M 2.50GHZ/8GB/320GB/DVD/WEB CAM 14"")(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00071,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month Warranty.,,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"HP ELITEBOOK 840 G1(CORE I7 4600U 2.1GHZ/8GB/240GB SSD/WEB CAM/NO DVD 14"")(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"HP ELITEBOOK 840 G1(CORE I7 4600U 2.1GHZ/8GB/240GB SSD/WEB CAM/NO DVD 14"")(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00072,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month Warranty.,,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"DELL LATITUDE E6420(CORE I7 2640M 2.80GHZ/4GB/320GB/NO WEB CAM/DVD/14"")(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"DELL LATITUDE E6420(CORE I7 2640M 2.80GHZ/4GB/320GB/NO WEB CAM/DVD/14"")(GRADE B)",0,simple,,
admin,base,Laptops,simple,"3,148",QCNBBG00075,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,1 Month Warranty.,,,,1 Month Warranty.,,,,,No,No,No,,No,,0,"LENOVO THINKPAD T430(CORE I5 3320M 2.60GHZ/8GB/320GB/WEB CAM/9 CELL BATTERY/14"")(GRADE B)",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,1 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"LENOVO THINKPAD T430(CORE I5 3320M 2.60GHZ/8GB/320GB/WEB CAM/9 CELL BATTERY/14"")(GRADE B)",0,simple,,
