col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80
1,965a15b773bf313fcba41f66f4645b1fcb966bab02e12f9db3d4ea94b0e62f3a843f6b219d803dc4a828feacb114e895005ce4f9bdd8c09c72343c15489d3a11,T101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,1.65,,,0,0,,,,,,,,,,,,,1,2017-02-17 16:32:23,2017-02-17 16:32:23
2,965a15b773bf313fcba41f66f4645b1fcb966bab02e12f9db3d4ea94b0e62f3a843f6b219d803dc4a828feacb114e895005ce4f9bdd8c09c72343c15489d3a11,T1001,tanh-test,8888.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,1.65,,,0,0,,,,,,,,,,,,,1,2017-02-17 17:44:00,2017-02-17 17:44:00
3,965a15b773bf313fcba41f66f4645b1fcb966bab02e12f9db3d4ea94b0e62f3a843f6b219d803dc4a828feacb114e895005ce4f9bdd8c09c72343c15489d3a11,T101-Red,T-Shirt White,9999.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,1.65,,,0,0,,,,,,,,,,,,,1,2017-02-17 17:44:01,2017-02-17 17:44:01
4,965a15b773bf313fcba41f66f4645b1fcb966bab02e12f9db3d4ea94b0e62f3a843f6b219d803dc4a828feacb114e895005ce4f9bdd8c09c72343c15489d3a11,T102,T-Shirt White,9999.0,1.0,0.0,1.0,0.0,,,,,,2017-02-17 15:44:02,2017-02-10 16:01:27,,2017-02-10 16:01:27,,8.0,1.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,8.0,0.125,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,0.0,,,,3,30,1.65,,,0,0,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,1,2017-02-17 17:44:02,2017-02-17 17:44:02
5,965a15b773bf313fcba41f66f4645b1fcb966bab02e12f9db3d4ea94b0e62f3a843f6b219d803dc4a828feacb114e895005ce4f9bdd8c09c72343c15489d3a11,TEST-504893,イヤホンジャック アクセサリー （リス（マゼンタ））,8888.0,29.0,4.0,25.0,0.0,,0.0,,1.0,,2018-06-07 11:00:40,2017-02-13 13:40:34,2017-02-14 15:57:15,2017-02-13 13:40:34,2.0,16.0,30.0,1.0,0.24,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15.73,0.063559,17.228016,1.180577,100.0,1998.0,100.0,6.4,30233.0,96.8,2000.0,0.0,6.4,30250.0,96.8,1.0,14.29,6.0,85.71,6.36,130.18,3.44,2.0,3,30,1.65,,,0,1,3.0,3.0,2.0,3.0,2.0,0.0,2000.0,0.0,100.0,30.0,0.02,4.0,0,2017-03-02 18:30:07,2017-02-17 17:44:02
6,965a15b773bf313fcba41f66f4645b1fcb966bab02e12f9db3d4ea94b0e62f3a843f6b219d803dc4a828feacb114e895005ce4f9bdd8c09c72343c15489d3a11,TEST-804575,アルミニウムイヤホンキャップ,8888.0,16.0,2.0,14.0,0.0,,0.0,,6.0,,2017-02-28 15:44:04,2017-02-14 16:01:17,2017-02-14 16:03:48,2017-02-10 18:12:13,11.0,8.0,27.0,11.0,1.87,21.0,0.0,21.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2.52,0.397059,33.632621,0.397059,33.63,28235.0,100.0,90.4,28235.0,90.4,28250.0,0.0,90.4,28250.0,90.4,5.0,71.43,5.0,71.43,39.71,3589.78,94.83,1.0,3,30,1.65,,,0,0,3.0,3.0,2.0,1.0,2.0,0.0,22600.0,0.0,100.0,16.0,0.5,4.0,0,2017-02-24 12:20:57,2017-02-17 17:44:03
7,965a15b773bf313fcba41f66f4645b1fcb966bab02e12f9db3d4ea94b0e62f3a843f6b219d803dc4a828feacb114e895005ce4f9bdd8c09c72343c15489d3a11,TEST-824832,名入れヒノキ木札根付ストラップ(納期約5営業日),8888.0,19.0,2.0,17.0,0.0,,0.0,,1.0,,2018-02-06 19:05:23,2017-02-13 13:43:23,2017-02-14 15:57:15,2017-02-13 13:43:23,2.0,18.0,20.0,1.0,0.23,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.55,0.05698,17.375232,0.977187,82.77,999.0,100.0,3.2,31232.0,100.0,1000.0,0.0,3.2,31250.0,100.0,1.0,14.29,7.0,100.0,5.7,65.63,1.73,3.0,3,30,1.65,,,0,0,3.0,3.0,3.0,2.0,2.0,0.0,1000.0,0.0,100.0,20.0,0.03,4.0,0,2017-03-02 19:06:44,2017-02-17 17:44:04
8,965a15b773bf313fcba41f66f4645b1fcb966bab02e12f9db3d4ea94b0e62f3a843f6b219d803dc4a828feacb114e895005ce4f9bdd8c09c72343c15489d3a11,Tanh-Test-001,abcd,8888.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,1.65,,,0,0,,,,,,,,,,,,,1,2017-02-17 17:44:04,2017-02-17 17:44:04
9,965a15b773bf313fcba41f66f4645b1fcb966bab02e12f9db3d4ea94b0e62f3a843f6b219d803dc4a828feacb114e895005ce4f9bdd8c09c72343c15489d3a11,TestP001,登録時必須,9999.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2017-03-08 18:09:03,,,2017-02-13 14:46:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,31.764128,0.772059,65.4,0.0,0.0,0.0,31232.0,100.0,0.0,0.0,0.0,31250.0,100.0,0.0,0.0,7.0,100.0,0.0,0.0,0.0,4.0,3,30,1.65,,,23,1,3.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2017-03-08 18:09:03,2017-02-17 17:44:05
10,965a15b773bf313fcba41f66f4645b1fcb966bab02e12f9db3d4ea94b0e62f3a843f6b219d803dc4a828feacb114e895005ce4f9bdd8c09c72343c15489d3a11,abcd,登録時必須,8888.0,178.0,0.0,178.0,102.0,,,,,,2018-02-08 15:44:06,2017-02-15 15:19:16,2017-02-14 17:41:51,2017-02-14 16:48:05,,4.0,180.0,2.0,0.87,,,,,,0.0,0.0,0.0,1.0,1.0,10.0,0.0,,1.99,0.502793,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,0.0,,,,3,30,1.65,,,0,0,,,,,,0.0,0.0,0.0,0.0,179.0,0.02,,1,2017-02-17 17:44:05,2017-02-17 17:44:05
