col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73
0,,https://www.wtoc.com/2021/01/28/health-department-nations-first-cases-south-african-covid-variant-found-sc/,18.0,120.0,,,,,28/12/2020,28/12/2020,Yes,,,,,,,,,,,,,,,,,,,,,,,,South Carolina,,,USA,,,,"South Carolina, United States",,"South Carolina, United States",Lowcountry region,,,,,,,,,,,,,,,,,,,,,No,B.1.351,,,,,,1
1,,https://www.wtoc.com/2021/01/28/health-department-nations-first-cases-south-african-covid-variant-found-sc/,18.0,120.0,,,,,28/12/2020,28/12/2020,Yes,,,,,,,,,,,,,,,,,,,,,,,,South Carolina,,,USA,,,,"South Carolina, United States",,"South Carolina, United States",Pee Dee region,,,,,,,,,,,,,,,,,,,,,No,B.1.351,,,,,,1
2,,https://www.theguardian.com/world/2021/jan/27/encouraging-signs-new-zealand-hopes-for-covid-all-clear-after-no-new-cases-reported,56.0,56.0,,Female,New Zealander,,24/01/2021,27/01/2021,Yes,https://www.theguardian.com/world/2021/jan/24/new-zealand-records-first-covid-community-case-intwo-months,,,,,,,,,,,,,,,,,,,,,,,,Auckland,Auckland,New Zealand,,,,,,"Auckland, Auckland, New Zealand",,,,,,,,,,,,Symptomatic,body ache,,,,30/12/2020,30/12/2020,"London, United Kingdom",Flight,,Yes,B.1.351,,,,,,1
3,,https://www.theguardian.com/world/2021/jan/27/encouraging-signs-new-zealand-hopes-for-covid-all-clear-after-no-new-cases-reported,,,,,,,27/01/2021,27/01/2021,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Auckland,Auckland,New Zealand,,,,,,"Auckland, Auckland, New Zealand",,,,,,,,,,,,Asymptomatic,,,,,,,,,,,B.1.351,,,,,,1
4,,https://www.theguardian.com/world/2021/jan/27/encouraging-signs-new-zealand-hopes-for-covid-all-clear-after-no-new-cases-reported,,,,,,,27/01/2021,27/01/2021,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Auckland,Auckland,New Zealand,,,,,,"Auckland, Auckland, New Zealand",,,,,,,,,,,,Asymptomatic,,,,,,,,,,,B.1.351,,,,,,1
5,,https://twitter.com/danieljbridges/status/1344227535870164992,,,,,,,23/12/2020,23/12/2020,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Zambia,,,,,,Zambia,,,,,,,,,,,,,,,,,,,,,,,B.1.351,,,,,,22
6,,https://www.sabcnews.com/sabcnews/botswana-government-adjusts-national-lockdown-regulations/,,,,,,,01/01/2021,07/01/2021,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Botswana,,,,,,Botswana,,,,,,,,,,,,,,,,,,,,,,,B.1.351,,,,,,1
7,,https://www.france24.com/en/france/20201231-france-detects-first-case-of-south-african-strain-of-covid-19,,,,,,,31/12/2020,31/12/2020,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Haut-Rhin,France,,,,,,"Haut-Rhin, France",,,,,,,,,,,,,,,,,,,South Africa,Flight,,Yes,B.1.351,,,,,,1
8,,http://outbreaknewstoday.com/sweden-reports-1st-south-african-covid-19-virus-variant-49394/,,,,,,,03/01/2021,03/01/2021,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,,,,,,Sweden,,,,,,,,,,,,,,,,,,,South Africa,,,Yes,B.1.351,,,,,,1
9,,https://www.vg.no/nyheter/innenriks/i/rgzer8/mer-smittsom-virusmutasjon-fra-soer-afrika-paavist-i-norge,,,,,,,04/01/2021,04/01/2021,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Norway,,,,,,Norway,,,,,,,,,,,,,,,,,01/12/2020,31/12/2020,South Africa,Flight,,Yes,B.1.351,,,,,,1
