col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47
1.0,knb-lter-sbc.18.18,"Benthic community survey, giant kelp abundance, all years, abundance and size of giant kelp along permanent transects",SBC,"SBC LTER: Reef: Kelp Forest Community Dynamics: Abundance and size of Giant Kelp (Macrocystis Pyrifera), ongoing since 2000",,Reed,0.0,0.0,0.0,9/28/00,7/22/14,,1.0,1.0,1.0,yr,low,algae,count;trait,,obs,1.0,no,no,,,,,,,,,11.0,0.0,habitat,none,yes,3.0,8.0,2.0,2.0,0.0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.18,"site (11), transect (up to 8 per site), side (2 sides of a transect), section (2 sections per site of transect); data can be converted to count",,1.0,
2.0,knb-lter-sbc.17.28,"Benthic community survey, fish abundance, all years, abundance and size of fish along permanent transects",SBC,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,,Reed,0.0,0.0,0.0,10/4/00,8/5/14,,1.0,1.0,1.0,yr,low,fish,count,,obs,-999.0,yes,yes,,,,,,,,,11.0,0.0,habitat,none,yes,1.0,8.0,0.0,0.0,0.0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17,"site (11), transect (up to 8 per site); some benthic fish species have different sampling protocol; some organisims not classified to species, see site_metadata",,1.0,SBC/all_fish_all_years_20140903.csv
3.0,knb-lter-sbc.19.21,"Benthic community survey, inverts and understory algae, all years, abundance and size of selected species of benthic invertebrates and understory algae in fixed plots along permanent transects",SBC,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,,Reed,0.0,0.0,0.0,9/7/00,7/24/14,,1.0,1.0,1.0,yr,low,arthropod;mollusc; algae; porifera; cnidarian;see site_metadata,count,,obs,-999.0,yes,yes,,,,,,,,,11.0,0.0,habitat,none,yes,2.0,8.0,7.0,0.0,0.0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19,"site (11), transect (up to 8 per site); another level of spatial replication presented, point (80 per transect), but not included in spreadsheet",,1.0,SBC/quad_swath_all_years_20140908.csv
4.0,knb-lter-sbc.15.23,"Benthic community survey, subtidal cover all years, cover of algae and sessile invertebrates at permanent sites",SBC,"SBC LTER: Reef: Kelp Forest Community Dynamics: Cover of sessile organisms, Uniform Point Contact",,Reed,0.0,0.0,0.0,9/7/00,7/24/14,,1.0,1.0,1.0,yr,low,arthropod;mollusc; algae; porifera; cnidarian;see site_metadata,per_cover,,obs,-999.0,yes,no,,,,,,,,,11.0,0.0,habitat,none,yes,1.0,8.0,0.0,0.0,0.0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.15,,,1.0,SBC/cover_all_years_20140902.csv
5.0,knb-lter-sbc.29.13,"LTE Giant kelp, all years, Abundance and size of giant kelp in kelp removal experiment",SBC,SBC LTER: Reef: Long-term experiment: Kelp removal: Abundance and size of Giant Kelp,,Reed,0.0,0.0,0.0,1/10/08,8/20/14,,1.0,1.0,1.0,season:yr,low,algae,count;trait,,exp,1.0,no,no,,,,,,,,,4.0,3.0,removal,maintained,yes,2.0,2.0,2.0,0.0,0.0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.29,"site (4), treatment plot (3 per site), quadrat (2 per treatment plot), side (2 per quadrat); see site_metadata",,1.0,SBC/LTE_Giant_Kelp_All_Years_20140916.csv
6.0,knb-lter-sbc.30.13,"LTE All fish, all years, fish counts from 40m transects in kelp removal experiment",SBC,SBC LTER: Reef: Long-term experiment: Kelp removal: Fish abundance,,Reed,0.0,0.0,0.0,1/10/08,8/20/14,,1.0,1.0,1.0,season:yr,low,fish,count,,exp,-999.0,yes,yes,,,,,,,,,5.0,3.0,removal,maintained,see site_metadata,2.0,2.0,2.0,0.0,0.0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.30,"see site_metadata about spatial replication; some species are sampled differently with actual spatial replicatoin; site(5), block, treatment (3 levels per block x site level), quadrats(2 quadrats per treatment), side (2 repicates per quadrat)",,1.0,SBC/LTE_All_Fish_All_Years_20141209.csv
7.0,knb-lter-sbc.18.18,,AND,Test Dataset 1,,Bibian,0.0,0.0,0.0,,,,1.0,1.0,1.0,yr,low,algae,count,,obs,,yes,,,,,,,,,,,0.0,ob,none,yes,1.0,3.0,0.0,0.0,0.0,http://and.test.rice.com,,,1.0,raw_data_test_1.csv
8.0,knb-lter-sbc.17.28,,SBC,Test Dataset 2,,Ochocki,0.0,0.0,0.0,,,,1.0,1.0,1.0,yr,low,fish,count,,obs,,yes,,,,,,,,,,,0.0,obs,none,yes,2.0,3.0,2.0,0.0,0.0,http://sbc.test.rice.com,,,1.0,raw_data_test_2.csv
9.0,knb-lter-sbc.19.21,,SBC,Test Dataset 3,,Compagnoni,0.0,0.0,0.0,,,,1.0,1.0,1.0,monthly,low,arthropod;mollusc; algae; porifera; cnidarian;see site_metadata,biomass,,obs,,no,,,,,,,,,,,0.0,obs,none,yes,3.0,3.0,2.0,1.0,0.0,http://sbc.2.test.rice.com,,,1.0,raw_data_test_3.csv
10.0,knb-lter-sbc.15.23,,SBC,Test Dataset 4,,Miller,0.0,0.0,0.0,,,,1.0,1.0,1.0,yr,low,arthropod;mollusc; algae; porifera; cnidarian;see site_metadata,count,,exp,,yes,,,,,,,,,,,0.0,Fire,none,yes,3.0,3.0,2.0,2.0,0.0,http://sbc.3.test.rice.com,,,1.0,raw_data_test_4.csv
