col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43
15,20001,2,0,17,4,9,,1,998.56,839.13,0.0,0.0,2012-08-30 10:15:54,,,,,1,0,,,,,1,EUR,1,"75470 Lopez Roads
Port Jessicatown, TX 55221",42,197,1,19,0,20001,SW10196,836.134,1,Norma Fisher,0,0,0000-00-00,0,1,
15,20001,2,0,17,4,9,,1,998.56,839.13,0.0,0.0,2012-08-30 10:15:54,,,,,1,0,,,,,1,EUR,1,"08913 Charlene Flat
Joshuaburgh, NJ 52496",43,0,0,19,0,20001,SHIPPINGDISCOUNT,-2.0,1,Jorge Sullivan,0,0,0000-00-00,4,0,
15,20001,2,0,17,4,9,,1,998.56,839.13,0.0,0.0,2012-08-30 10:15:54,,,,,1,0,,,,,1,EUR,1,"7142 Wilson Drives
Melissaton, IL 89760",44,0,0,19,0,20001,sw-payment-absolute,5.0,1,Elizabeth Woods,0,0,0000-00-00,4,0,
57,20002,1,0,17,4,9,,1,201.86,169.63,0.0,0.0,2012-08-31 08:51:46,,,,,0,0,,,,,1,EUR,1,"9097 Bowman Landing Apt. 369
Alanberg, MA 44739",201,220,1,19,0,20002,SW10001,35.99,1,Susan Wagner,0,0,0000-00-00,0,0,
57,20002,1,0,17,4,9,,1,201.86,169.63,0.0,0.0,2012-08-31 08:51:46,,,,,0,0,,,,,1,EUR,1,"9004 Edward Prairie
Michaelside, LA 15560",202,227,1,19,0,20002,SW10002841,35.99,1,Peter Montgomery,0,0,0000-00-00,0,0,
57,20002,1,0,17,4,9,,1,201.86,169.63,0.0,0.0,2012-08-31 08:51:46,,,,,0,0,,,,,1,EUR,1,"42814 Houston Hills
Rodriguezside, NJ 62629",203,219,1,19,0,20002,SW10185,54.9,1,Theodore Mcgrath,0,0,0000-00-00,0,0,
57,20002,1,0,17,4,9,,1,201.86,169.63,0.0,0.0,2012-08-31 08:51:46,,,,,0,0,,,,,1,EUR,1,"71760 Rogers Spur Apt. 296
North Lindseyborough, IN 08516",204,197,1,19,0,20002,SW10196,34.99,2,Stephanie Collins,0,0,0000-00-00,0,1,
57,20002,1,0,17,4,9,,1,201.86,169.63,0.0,0.0,2012-08-31 08:51:46,,,,,0,0,,,,,1,EUR,1,"8847 Kramer Station
South Christopher, KS 77208",205,0,0,19,0,20002,sw-payment-absolute,5.0,1,Stephanie Sutton,0,0,0000-00-00,4,0,
52,0,1,-1,0,2,10,,1,1700.93,1429.36,75.0,63.03,2012-08-30 15:16:55,,,,,0,0,9a0271fe91e7fc853a4a7a1e7ca789c812257d74,,,,1,EUR,1,"51108 Goodwin Flats Apt. 764
Lake Bobby, IL 82213",178,227,1,19,0,0,SW10002841,35.99,31,Brian Hamilton,0,0,0000-00-00,0,0,
52,0,1,-1,0,2,10,,1,1700.93,1429.36,75.0,63.03,2012-08-30 15:16:55,,,,,0,0,9a0271fe91e7fc853a4a7a1e7ca789c812257d74,,,,1,EUR,1,"6582 Vanessa Oval
New Richard, NE 68819",179,145,1,19,0,0,SW10145,17.99,1,Susan Levy,0,0,0000-00-00,0,0,
52,0,1,-1,0,2,10,,1,1700.93,1429.36,75.0,63.03,2012-08-30 15:16:55,,,,,0,0,9a0271fe91e7fc853a4a7a1e7ca789c812257d74,,,,1,EUR,1,"7389 Alec Squares Suite 508
Port Jonathan, FL 50177",180,248,1,19,0,0,SW100755036993,74.99,9,Sean Green,0,0,0000-00-00,0,0,
52,0,1,-1,0,2,10,,1,1700.93,1429.36,75.0,63.03,2012-08-30 15:16:55,,,,,0,0,9a0271fe91e7fc853a4a7a1e7ca789c812257d74,,,,1,EUR,1,"18013 Billy Bridge Suite 522
Schmitthaven, NC 66355",181,0,0,19,0,0,SHIPPINGDISCOUNT,-2.0,1,Kimberly Smith,0,0,0000-00-00,4,0,
52,0,1,-1,0,2,10,,1,1700.93,1429.36,75.0,63.03,2012-08-30 15:16:55,,,,,0,0,9a0271fe91e7fc853a4a7a1e7ca789c812257d74,,,,1,EUR,1,"891 Bullock Ford
Amandachester, NJ 51431",182,0,0,19,0,0,sw-payment,-180.659,1,Jennifer Summers,0,0,0000-00-00,4,0,
54,0,1,-1,0,2,9,,1,42.6,35.8,3.9,3.28,2012-08-30 17:30:02,,,,,0,0,06hue2s27mjbapgsdnd4alffe4,,,,1,EUR,1,"02489 Cook Park
Sherriport, MT 50853",187,211,1,19,0,0,SW10221,50.0,1,April Snyder,0,0,0000-00-00,0,0,
54,0,1,-1,0,2,9,,1,42.6,35.8,3.9,3.28,2012-08-30 17:30:02,,,,,0,0,06hue2s27mjbapgsdnd4alffe4,,,,1,EUR,1,"23450 Timothy Divide
Wuland, UT 20341",188,0,0,19,0,0,SHIPPINGDISCOUNT,-2.0,1,Dana Nguyen,0,0,0000-00-00,4,0,
54,0,1,-1,0,2,9,,1,42.6,35.8,3.9,3.28,2012-08-30 17:30:02,,,,,0,0,06hue2s27mjbapgsdnd4alffe4,,,,1,EUR,1,"0976 Williams Mountains Apt. 009
Lake Mario, OH 85565",189,1,0,19,0,0,GUTABS,-5.0,1,Cheryl Bradley,0,0,0000-00-00,2,0,
54,0,1,-1,0,2,9,,1,42.6,35.8,3.9,3.28,2012-08-30 17:30:02,,,,,0,0,06hue2s27mjbapgsdnd4alffe4,,,,1,EUR,1,"1097 Santos Springs Suite 264
New Michelleborough, WY 51884",190,0,0,19,0,0,sw-payment,-4.3,1,Walter Pratt,0,0,0000-00-00,4,0,
