col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83
42795,Indian Ocean,4,Australia IOT,AU-I,85,SR,198,slope,N,439,2016,FP_2016_AU-I_02,6783,SRN_020,2016-09-10,0,nocturnal_invader,16.8,08:07:00,09:10:00,Pilchards,False,,,10,Open,1.2307,2.5294,Aluminium (AIMS),GoProHero4Silver,False,50,150,0,0,0,35,0,0,58,0,0,0,0,0,0,0,0,0,5,0,3600000,FP_2016_AU-I_02_SRN_020.avi,legacy archive,,,1,1,1,openly fished,,,,,,I,Clupeidae,Meekan,Yes,Restricted,Size; Bag; Entrants; Species,Hook & Line,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.151563818,0.087467325,0.087470528,3.66e-05,8,0.125008798,0,0.0,0.00010066,22
45531,Central Pacific,3,New Caledonia,NC,4,NC,182,slope,SHE,460,2016,FP_2016_NC_01,7255,NCSHE_001,2016-06-28,0,pelagic,30.0,13:43:00,14:47:00,Sardines,False,,1.02,9,Open,0.393,3.1765,Mixed,Hero 2,True,70,170,0,0,0,6,0,0,31,0,0,0,0,0,0,62,0,0,0,0,3599997,FP_2016_NC_01_NCSHE_001_R.mp4,,,,2,1,1,restricted,,,,,,C,Clupeidae,Heithaus,No,Closed,Area,Hook & Line; Seine; Longline,Additional Reef Covariates - Atlantic MB,0.186030909,213208.0038,237469.3148,0.113791746,13,1.235982781,2,1.235982781,0.000205918,6
52182,Central Pacific,3,Kiribati,KI,84,KI,138,slope,2,412,2017,FP_2017_KI_01,8863,KI2_017,2017-05-19,0,benthic_rover,27.9,11:19:00,12:31:00,Sardines,False,L,,9,Open,0.5064,2.6154,Aluminium (AIMS),GoProHero4Silver,False,50,150,0,0,0,84,0,0,7,0,0,0,7,0,0,0,0,0,0,0,4179183,KI2_017.mp4,S3,,,2,2,1,openly fished,,,,,,A,Clupeidae,Heupel,No,Closed,Entrants; Temporal; Gear; Species,,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.172125,6886.441035,7520.558912,0.092082089,11,0.000950198,1,0.0,0.061728395,3
57942,Central Pacific,3,Federated States of Micronesia,FM,89,F2,166,slope,P,488,2017,FP_2017_FM_01,10335,F2P_032_L,2017-03-18,0,pelagic,16.0,10:17:00,11:36:00,Skipjack tuna,False,M,,10,Open,0.0,2.0,Aluminium (AIMS),GoProHero4Silver,False,50,150,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,4797456,F2P_032_L.mp4,S3,,,2,2,1,restricted,,,,,,V,Scombridae,Heupel,No,Closed,Entrants; Temporal; Gear; Species,,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.052981061,51350.39119,53261.13296,0.037209877,10,0.822067773,3,0.822067773,0.009476134,21
88695,Western Atlantic,1,Dutch Antilles Windward,DC,110,SK,287,slope,3,616,2012,L_2012_DC_01,20819,SK3_032,2014-01-17,1,reef_meso,7.92,09:25:00,,Sardines,False,,,9,Open,0.6504,3.6154,Stainless,GoPro Hero 3,False,50,100,0,0,0,81,0,0,9,0,0,0,0,0,0,9,0,0,0,0,3600000,L_2014_DC_01_SK3_032.mp4,S3,,,1,1,1,restricted,,,,,,I,Clupeidae,Heithaus,No,Closed,Area,Hook & Line; Trap,Additional Reef Covariates - Atlantic MB,0.159915,234480.3599,245537.1964,0.047154638,9,0.190984002,8,1.66351519,4.84e-05,1
102249,Indian Ocean,4,Mozambique,MZ,69,SM,295,slope,PPMR,651,2017,FP_2017_ZA_01,22974,SM_PPMR_036,2017-07-01,1,apex,35.9,08:01:00,09:01:00,Sardines,False,,,10,Open,0.0,3.0,Rebar (Bait Cage),GoPro Hero 4 Silver,False,40,100,0,0,0,61,0,0,0,0,38,0,0,0,0,0,0,0,0,0,3600000,FP_2017_ZA_01_SM_PPMR_036.avi,legacy archive,,,1,1,1,restricted,Ponta do Ouro Partial Marine Reserve,10029.0,2000.0,continuous,unknown,C,Clupeidae,Meekan,No,Restricted,Species,Hook & Line; Seine,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.176954545,2973831.74,3206033.22,0.07808158,8,52.15477228,199,86.26007765,0.00153787,10
114066,Indian Ocean,4,Australia-Indian Ocean,AU-I,85,N,291,slope,PO,676,2014,LH_2014_AU-I_05,24488,NPO_001,2014-10-23,0,nocturnal_invader,10.6,10:26:00,,Pilchards,False,,,5,Open,0.5164,2.3333,Stainless rebar,GoPro3 Silver+ S,True,50,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600000,LH_2014_AU-I_05_NPO_001.avi,legacy archive,,,1,1,1,restricted,Ningaloo Marine Park,2633.43,2005.0,continuous,high,C,Clupeidae,Harvey,No,Restricted,Size; Bag; Entrants; Species; Gear,Hook & Line,Additional Reef Covariates - Pacific Indian after ESH 2 May 2018_SN,0.355918182,730.8487377,730.9154636,9.13e-05,10,0.155415835,0,0.0,0.001253688,6
133380,Central Pacific,3,Cook Islands,CK,112,AT,285,slope,AT,625,2017,FP_2017_CK_02,29122,ATAT_042,2017-05-24,20,pelagic,20.3,10:22:00,11:31:00,Pilchards,False,,,10,Open,0.0,4.0,Aluminium (AIMS),GoPro Hero 4 Silver,False,35,100,0,20,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,4042257,FP_2017_CK_02_ATAT_042.mp4,S3,,,1,1,1,restricted,Marae Moana (multi-use containing Raui),1976000.0,2017.0,>20km to next reef,unknown,A,Clupeidae,Heupel,No,Closed,Entrants; Temporal; Gear; Species,,Additional Reef Covariates - Pacific Indian Simpfendorder Heupel,0.033243939,2980.594294,3050.236663,0.023365263,10,0.017401399,1,0.017401399,0.006944444,12
159417,Western Atlantic,1,Brazil,BR,75,AB,310,slope,PA,720,2018,FP_2018_BR_01,33986,ABPA_076,2018-02-06,0,coastal_rover,17.3,14:50:00,16:20:00,Small Inshore Fish,False,,,5,Open,0.4472,3.8,Stainless,GoPro Hero 3,False,50,100,0,0,0,85,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3600000,ABR_076.mp4,S3,,,3,1,1,restricted,,,,,,C,Mixed,Chapman,No,Restricted,Species,Hook & Line; Drumline; Longline; Seine; Gillnet; Trawl; Spear; Trap,Additional Reef Covariates - Master_GinaEdits,0.32036,611340.0729,660138.4926,0.079822053,14,0.609913568,21,0.609913568,0.014307311,11
162945,Western Atlantic,1,Bermuda,BM,123,BM,343,slope,N,796,2018,FP_2018_BM_01,34989,BMN_016,2018-06-25,0,small_ray,16.76,14:02:00,15:11:00,Herring,False,,,5,Open,0.4472,0.8,Stainless,GoPro Hero 4,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,60,0,3600000,BMN_016.mp4,S3,,,1,1,1,restricted,,,,,,V,Mixed,Chapman,No,Restricted,Entrants; Gear,Hook & Line; Longline,https://www.gov.bm/fishing-restrictions-and-catch-limits,0.114525,86778.34824,88532.2201,0.020210939,14,0.611723991,101,0.611723991,70.23777008,1
