col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98
L315,ScrollableViewHelper,com.sothree.slidinguppanel.ScrollableViewHelper,L106,L103,D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\ScrollableViewHelper.java,13,1,63,2,0.0,0,0,0,0.0,0.0,0,0,0,4,2,12,0,1,1,0,1,1.0,0.339286,19,15,2,0,0.339286,19,0,0,0,0,0,37,51,0,1,0,1,1,0,1,0,1,28,0,1,0,37,51,0,1,0,1,1,0,1,0,1,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L140,SlidingUpPanelLayout,com.sothree.slidinguppanel.SlidingUpPanelLayout,L106,L103,D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java,33,1,1474,2,0.0,0,0,0,0.0,0.0,0,0,6,5,3,233,6,4,11,18,81,0.65,0.285846,309,253,26,14,0.270833,338,0,0,0,0,0,772,1261,45,7,45,7,63,1,39,18,63,452,1,39,18,910,1442,52,11,52,8,82,7,58,18,94,513,7,70,18,0,0,150,0,0,0,0,0,0,0,3,10,0,1,0,108,0,0,0,0,0,0,0,28,0,0,0,0,0
L464,ViewDragHelper,com.sothree.slidinguppanel.ViewDragHelper,L106,L103,D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\ViewDragHelper.java,39,1,1502,2,0.0563145,2,10,4,0.034153,0.0471822,50,36,2,4,4,208,1,3,8,13,65,0.967742,0.357709,406,368,30,1,0.418002,548,0,0,0,0,0,729,1283,39,7,39,7,52,12,30,3,52,465,12,30,3,763,1464,39,11,39,11,67,12,45,3,67,474,12,45,3,0,0,92,0,0,0,0,0,16,0,2,6,0,1,0,45,0,0,0,0,0,0,0,22,0,0,0,0,0
L130,DemoActivity,com.sothree.slidinguppanel.demo.DemoActivity,L120,L103,D:\PR_assignment_src\AndroidSlidingUpPanel\demo\src\main\java\com\sothree\slidinguppanel\demo\DemoActivity.java,29,1,182,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,16,3,2,0,6,11,0.0,0.0338983,4,0,0,5,0.0285714,4,0,0,0,0,0,114,131,2,0,2,0,5,0,4,0,5,46,0,4,0,136,154,2,0,2,0,10,0,9,0,10,53,0,9,0,0,0,37,0,0,0,0,0,0,0,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
L483,SlidingUpPanelLayout$SimplePanelSlideListener,com.sothree.slidinguppanel.SlidingUpPanelLayout$SimplePanelSlideListener,L140,L103,D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java,257,5,265,6,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,2,0,0,0,2,0.333333,0.333333,4,4,1,2,0.333333,4,1,1,0,0,1,8,9,0,0,0,0,2,0,2,0,2,0,0,2,0,8,9,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
L578,SlidingUpPanelLayout$DragHelperCallback,com.sothree.slidinguppanel.SlidingUpPanelLayout$DragHelperCallback,L140,L103,D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java,1337,5,1429,6,0.0,0,0,0,0.0,0.0,0,0,6,6,2,24,4,1,0,9,16,0.0,0.0987654,8,0,0,8,0.0987654,8,1,1,0,0,1,73,93,0,4,0,1,7,0,7,0,19,42,0,19,0,73,93,0,4,0,1,7,0,7,0,19,42,0,19,0,0,0,19,0,0,0,0,0,0,0,1,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
L774,SlidingUpPanelLayout$LayoutParams,com.sothree.slidinguppanel.SlidingUpPanelLayout$LayoutParams,L140,L103,D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\SlidingUpPanelLayout.java,1431,5,1473,6,0.0,0,0,0,0.0,0.0,0,0,0,1,1,8,0,1,3,0,7,0.0,0.0,0,0,0,8,0.0,0,0,0,0,0,0,33,43,2,0,2,0,7,1,7,0,7,12,1,7,0,33,43,2,0,2,0,7,1,7,0,7,12,1,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,0,0
L1031,ViewDragHelper$Callback,com.sothree.slidinguppanel.ViewDragHelper$Callback,L464,L103,D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\ViewDragHelper.java,149,5,322,6,0.0,0,0,0,0.0,0.0,0,0,9,0,0,13,0,2,14,0,13,1.0,0.840237,142,142,14,0,0.840237,142,0,0,1,1,0,27,174,0,3,0,3,13,0,13,0,13,6,0,13,0,27,174,0,3,0,3,13,0,13,0,13,6,0,13,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1212,ViewDragHelper$1,com.sothree.slidinguppanel.ViewDragHelper$1,L464,L103,D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\ViewDragHelper.java,327,74,332,6,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,6,6,0,1,0,1,1,0,1,0,1,2,0,1,0,6,6,0,1,0,1,1,0,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
L1220,ViewDragHelper$2,com.sothree.slidinguppanel.ViewDragHelper$2,L464,L103,D:\PR_assignment_src\AndroidSlidingUpPanel\library\src\main\java\com\sothree\slidinguppanel\ViewDragHelper.java,334,62,338,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
