col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99
,102,,8628016,,Sandberg,Frida,1994,M,5,0,2:33:00,,,1,,,,190,,Sweden,SWE,,80,2,ESOC Women,ESOC Women,2,ESOC Women,ESOC Women,,,,,,Y  /  N,1  -  2  -  3  -  R,GPS,,,,,,,,,,,0,"40,00",0,,2,ESOC Women,"14,4",,18,,,9,46,,,10,57,,,11,100,,,13,58,,,17,37,,,18.0,100.0,,,999.0,999.0,,,,,,,,,,,,,,,
,136,,8621491,,Simkova,Johanka,1993,M,2,0,1:25:00,,,1,,,,177,,Czech Republic,CZE,,80,2,ESOC Women,ESOC Women,2,ESOC Women,ESOC Women,,,,,,Y  /  N,1  -  2  -  3  -  R,,,,,,,,,,,,0,"40,00",0,,2,ESOC Women,"14,4",,18,,,9,46,,,10,57,,,11,100,,,13,58,,,17,37,,,18.0,100.0,,,999.0,999.0,,,,,,,,,,,,,,,
,246,,8625516,,Harkonen,Tommi,1998,M,1,0,0:06:00,,,0,,,,182,,Finland,FIN,,80,11,JWSOC Men,JWSOC Men,11,JWSOC Men,JWSOC Men,,,,,,Y  /  N, -  1  -  2  -  3  -,,,,,,,,,,,,0,"40,00",0,,3,JWSOC Men,"14,7",,19,,,9,46,1:02:51,3.0,12,49,,,13,100,,,15,58,,,18,37,,,19.0,100.0,,,999.0,999.0,,,,,,,,,,,,,,,
,244,,8623395,,Madslien,Aksel,1996,M,1,0,0:10:00,,,0,,,,208,,Norway,NOR,,80,11,JWSOC Men,JWSOC Men,11,JWSOC Men,JWSOC Men,,,,,,Y  /  N, -  1  -  2  -  3  -,,,,,,,,,,,,0,"40,00",0,,3,JWSOC Men,"14,7",,19,,,9,46,0:57:07,1.0,12,49,,,13,100,,,15,58,,,18,37,,,19.0,100.0,,,999.0,999.0,,,,,,,,,,,,,,,
,243,,8628044,,Saikko,Antti,1996,M,1,0,0:12:00,,,0,,,,182,,Finland,FIN,,80,11,JWSOC Men,JWSOC Men,11,JWSOC Men,JWSOC Men,,,,,,Y  /  N, -  1  -  2  -  3  -,,,,,,,,,,,,0,"40,00",0,,3,JWSOC Men,"14,7",,19,,,9,46,1:01:12,2.0,12,49,,,13,100,,,15,58,,,18,37,,,19.0,100.0,,,999.0,999.0,,,,,,,,,,,,,,,
,247,,8624465,,Stary,Ondrej,1998,M,1,0,0:04:00,,,0,,,,177,,Czech Republic,CZE,,80,11,JWSOC Men,JWSOC Men,11,JWSOC Men,JWSOC Men,,,,,,Y  /  N, -  1  -  2  -  3  -,,,,,,,,,,,,0,"40,00",0,,3,JWSOC Men,"14,7",,19,,,9,46,1:05:22,4.0,12,49,,,13,100,,,15,58,,,18,37,,,19.0,100.0,,,999.0,999.0,,,,,,,,,,,,,,,
,248,,8624328,,Kutsar,Georg Caius,1997,M,1,0,0:02:00,,,0,,,,181,,Estonia,EST,,80,11,JWSOC Men,JWSOC Men,11,JWSOC Men,JWSOC Men,,,,,,Y  /  N, -  1  -  2  -  3  -,,,,,,,,,,,,0,"40,00",0,,3,JWSOC Men,"14,7",,19,,,9,46,1:07:46,5.0,12,49,,,13,100,,,15,58,,,18,37,,,19.0,100.0,,,999.0,999.0,,,,,,,,,,,,,,,
,326,,8621268,,Ruzieva,Shoira,1996,F,2,0,0:21:00,,,0,,,,218,,Russian Federation,RUS,,80,12,JWSOC Women,JWSOC Women,12,JWSOC Women,JWSOC Women,,,,,,Y  /  N, -  1  -  2  -  3  -,,,,,,,,,,,,0,"40,00",0,,4,JWSOC Women,"11,0",,16,,,5,46,0:37:28,1.0,8,100,0:47:20,1.0,15,37,,,16,100,,,999,999,,,,,,,,,,,,,,,,,,,,,,,
,333,,8624746,,Willkommen Eiken,Anne,1998,F,1,0,0:07:00,,,0,,,,208,,Norway,NOR,,80,12,JWSOC Women,JWSOC Women,12,JWSOC Women,JWSOC Women,,,,,,Y  /  N, -  1  -  2  -  3  -,,,,,,,,,,,,0,"40,00",0,,4,JWSOC Women,"11,0",,16,,,5,46,0:42:46,6.0,8,100,0:54:01,5.0,15,37,,,16,100,,,999,999,,,,,,,,,,,,,,,,,,,,,,,
,321,,8620096,,Eriksrud Karlsen,Anniken,1998,F,2,0,0:31:00,,,0,,,,208,,Norway,NOR,,80,12,JWSOC Women,JWSOC Women,12,JWSOC Women,JWSOC Women,,,,,,Y  /  N, -  1  -  2  -  3  -,,,,,,,,,,,,0,"40,00",0,,4,JWSOC Women,"11,0",,16,,,5,46,0:41:43,5.0,8,100,,,15,37,,,16,100,,,999,999,,,,,,,,,,,,,,,,,,,,,,,
