col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127
2,1,D3,10,0.076923077,2,1,1,0.641791045,0.581818182,0.148535565,0.323007976,0.028,12,1,0.0,3,,1,2,6,3,1,2,1,1,1,3,1,0.000666667,1,1,2,2,,0.598039216,,0.526785714,4.0,112,2,1,1,3,2,2,1,,3,2,3,3,240.0,3,3,1,1,2,1,2,3,,1,3,3,1,3,2,3,,1,3,1,2,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
5,1,A1,26,0.076923077,2,3,1,0.059701493,0.6,0.131799163,0.272287744,0.0,1,3,0.0,2,0.0018,1,2,6,3,1,2,1,2,1,3,1,0.000133333,1,3,2,2,0.188405797,,0.084507042,,5.0,412,2,1,1,3,2,2,1,,3,2,3,3,0.0,1,3,1,1,2,1,2,3,,1,3,3,1,3,2,3,,3,1,1,2,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
6,1,E1,26,0.076923077,2,3,1,0.029850746,0.745454545,0.288702929,0.428780429,0.03,9,1,0.0,2,0.03,1,2,8,3,1,1,1,2,1,1,3,,3,2,3,3,0.304347826,,0.225352113,,10.0,3,2,2,1,3,2,2,2,,3,2,3,3,,1,3,1,1,2,1,2,3,,2,2,3,1,3,2,3,,3,3,1,3,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
7,1,D4,10,0.487179487,2,3,1,0.164179104,0.672727273,0.205020921,0.352437744,0.042,9,1,0.0,3,0.2,2,2,8,3,1,2,1,2,1,1,3,,3,2,3,3,0.420289855,,0.352112676,,0.0,350,2,2,1,3,2,2,2,,3,2,3,3,,1,3,1,1,2,2,2,3,,1,3,3,1,3,2,3,,3,3,1,2,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
8,1,D2,26,0.230769231,2,3,1,0.417910448,0.654545455,0.234309623,0.424045645,0.027,9,1,0.0,2,0.05,1,2,6,3,1,2,1,2,1,1,3,,3,2,3,2,0.463768116,,0.408450704,,,162,2,2,1,3,2,2,2,,3,2,3,3,,1,3,1,1,2,1,2,3,,2,2,3,1,3,2,3,,3,3,1,3,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
10,1,D2,26,0.230769231,3,1,1,0.507462687,0.836363636,0.29916318,0.364886708,0.325,15,1,0.0,2,1.0,1,2,8,3,1,1,1,2,1,3,2,0.005,1,3,2,2,,0.294117647,0.507042254,,6.0,491,2,2,1,3,2,2,2,,3,2,3,3,,1,3,2,1,2,2,2,3,,1,3,3,1,3,2,3,,3,1,1,2,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
11,1,A8,10,0.166193846,2,3,1,0.373134328,0.581818182,0.173640167,0.376586717,0.11,1,3,,3,0.8,1,2,3,3,1,2,1,1,1,3,2,0.001666667,1,1,2,3,0.594202899,,0.549295775,,5.0,600,3,2,1,3,2,2,1,,3,2,3,3,,1,3,1,1,2,1,2,3,,1,3,3,1,1,2,3,,3,3,1,2,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
14,1,D2,26,0.076923077,2,3,1,0.611940299,0.781818182,0.40376569,0.571611506,0.12,12,1,0.0,2,1.0,1,2,6,3,1,1,1,1,1,3,1,0.000666667,1,1,2,2,,0.490196078,,0.633928571,6.0,145,2,2,1,3,2,2,1,,3,2,3,3,,1,3,1,1,2,1,2,3,,1,3,3,1,3,2,3,,3,3,1,2,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,1,D3,26,0.230769231,2,3,1,0.52238806,0.618181818,0.184100418,0.36264306,0.165,9,1,0.0,2,1.0,1,2,3,2,1,1,1,1,1,3,2,0.007613333,1,1,2,3,,0.529411765,0.676056338,,4.0,16,2,2,1,3,2,2,1,,3,2,3,3,,1,3,1,1,2,1,2,3,,1,3,3,1,1,2,3,,3,3,1,2,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
16,1,E1,21,0.076923077,2,3,1,0.552238806,0.6,0.284518828,0.587795766,0.025,1,3,0.0,3,0.05,2,2,3,3,1,2,1,2,1,3,1,0.000666667,1,3,2,3,0.797101449,,,0.553571429,,162,2,2,1,3,2,2,2,,3,2,3,3,,3,3,1,1,2,1,2,1,,1,3,3,1,3,2,3,,3,3,1,2,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,1,D3,26,0.128205128,2,3,1,0.537313433,0.690909091,0.309623431,0.521668453,0.05,9,1,,2,0.15,1,2,4,2,1,1,1,1,1,3,1,0.000586667,1,1,2,3,,0.470588235,0.647887324,,1.0,628,2,1,1,1,2,2,1,,3,2,3,3,,3,3,1,1,2,1,2,1,,1,3,3,2,1,2,3,,3,1,1,2,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0
18,1,D4,26,0.230769231,2,3,1,0.298507463,0.690909091,0.271966527,0.455050111,0.09,3,1,,2,1.0,1,2,3,3,1,1,1,2,1,1,3,,3,2,3,2,0.405797101,,0.352112676,,4.0,434,2,1,1,3,2,2,2,,3,2,3,3,8.0,3,3,1,1,2,1,2,3,,1,3,3,1,3,2,3,,1,3,1,2,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
