col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46
Fra,OG,123401.0,Bank A,01/06/2017,11:05,Europe/London,GBP-LIBOR-3M,Buy,P2M,,,,0.5,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fra,OG,123402.0,Bank B,01/06/2017,12:35,Europe/London,GBP-LIBOR-6M,Sell,,,,,0.7,,,,1000000.0,01/08/2017,01/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fra,OG,123403.0,,01/06/2017,,,,Sell,,,GBP-LIBOR-3M,GBP-LIBOR-6M,0.55,,Act/360,,1000000.0,01/08/2017,15/01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swap,OG,123411.0,,01/06/2017,,,GBP-FIXED-1Y-LIBOR-3M,Buy,P1M,P5Y,,,0.4,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swap,OG,123412.0,,01/06/2017,,,GBP-FIXED-6M-LIBOR-6M,BUY,,,,,-0.01,,,,3100000.0,01/08/2017,01/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swap,OG,123413.0,,01/06/2017,,,GBP-FIXED-6M-LIBOR-6M,Buy,,,,,0.5,,,,5000000.0,01/08/2017,01/09/2022,,,LongFinal,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,,,,,,,,,,,,0.6,,,,4000000.0,01/08/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,,,,,,,,,,,,,,,,3000000.0,01/08/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,,,,,,,,,,,,0.7,,,,2000000.0,01/08/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,,,,,,,,,,,,,,,,1000000.0,01/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swap,OG,123414.0,,01/06/2017,,,GBP-LIBOR-3M-USD-LIBOR-3M,Buy,,P3Y,,,0.6,1.25,,,2000000.0,05/07/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swap,OG,123415.0,,01/06/2017,,,,,,,,,,,,GBP,2500000.0,01/08/2017,01/08/2022,,,ShortFinal,Pay,,,,,3M,,,1.1,30/360 ISDA,,,Receive,,,3M,,,GBP-LIBOR-3M,,,,,
Swap,OG,123416.0,,01/06/2017,,,,,,,,,,,,,,,,,,,Pay,01/08/2017,08/08/2022,LongInitial,Day8,3M,GBP,1200000.0,1.2,30/360 ISDA,Following,GBLO+EUTA,Receive,08/08/2017,08/08/2022,3M,GBP,1200000.0,GBP-LIBOR-BBA,,,,,
Swap,OG,123417.0,,01/06/2017,,,,,,,,,,,,,,,,,,,Pay,08/08/2017,08/08/2022,,,3M,GBP,1500000.0,1.3,Act/365F,Preceding,GBLO+USNY,Receive,08/08/2017,08/08/2022,6M,GBP,1500000.0,GBP-SONIA,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TermDeposit,OG,123421.0,,01/06/2017,,,GBP-ShortDeposit-T0,Sell,,P2W,,,0.2,,,,400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TermDeposit,OG,123422.0,,01/06/2017,,,GBP-ShortDeposit-T0,Sell,,,,,0.22,,,,500000.0,01/06/2017,15/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
TermDeposit,OG,123423.0,,01/06/2017,,,,Buy,,,,,0.23,,Act/365F,GBP,600000.0,01/06/2017,22/06/2017,ModifiedFollowing,GBLO,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,OG,123431.0,,01/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAPL,12.0,,14.5
Security,OG,123432.0,,01/06/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBG,MSFT,,20.0,17.8
