Period,Abstracts,Downloads,
2015 Jul,2,2,
2015 Jun,0,3,
2015 May,1,6,
2015 Apr,1,1,
2015 Mar,3,7,
2015 Feb,1,6,
2015 Jan,2,0,
2014 Dec,3,4,
2014 Nov,1,1,
2014 Oct,0,8,
2014 Sep,0,36,
2014 Aug,4,16,
2014 Jul,0,5,
2014 Jun,0,5,
2014 May,0,2,
2014 Apr,1,3,
2014 Mar,1,0,
2014 Feb,1,1,
2014 Jan,1,0,
2013 Dec,1,2,
2013 Nov,1,1,
2013 Oct,0,2,
2013 Sep,1,1,
2013 Aug,1,2,
2013 Jul,1,4,
2013 Jun,1,3,
2013 May,3,7,
2013 Apr,0,0,
2013 Mar,0,1,
2013 Feb,3,4,
2013 Jan,1,0,
2012 Dec,1,2,
2012 Nov,1,3,
2012 Oct,2,2,
2012 Sep,1,1,
2012 Aug,4,3,
2012 Jul,1,1,
2012 Jun,4,1,
2012 May,2,0,
2012 Apr,4,5,
2012 Mar,0,1,
2012 Feb,1,0,
2012 Jan,1,1,
2011 Dec,1,3,
2011 Nov,1,2,
2011 Oct,2,0,
2011 Sep,0,4,
2011 Aug,0,3,
2011 Jul,0,5,
2011 Jun,0,3,
2011 May,1,5,
2011 Apr,1,5,
2011 Mar,2,7,
2011 Feb,2,7,
2011 Jan,4,3,
2010 Dec,0,0,
2010 Nov,0,1,
2010 Oct,3,4,
2010 Sep,6,6,
2010 Aug,3,5,
2010 Jul,1,2,
2010 Jun,0,4,
2010 May,2,6,
2010 Apr,1,3,
2010 Mar,1,2,
2010 Feb,2,0,
2010 Jan,1,1,
2009 Dec,0,1,
2009 Nov,2,1,
2009 Oct,1,8,
2009 Sep,2,2,
2009 Aug,2,4,
2009 Jul,1,3,
2009 Jun,1,1,
2009 May,1,2,
2009 Apr,1,9,
2009 Mar,3,12,
2009 Feb,2,9,
2009 Jan,1,5,
2008 Dec,0,5,
2008 Nov,1,11,
2008 Oct,4,9,
2008 Sep,4,7,
2008 Aug,5,3,
2008 Jul,8,2,
2008 Jun,9,4,
2008 May,5,5,
2008 Apr,4,3,
2008 Mar,3,3,
2008 Feb,0,3,
2008 Jan,0,2,
2007 Dec,2,1,
2007 Nov,4,1,
2007 Oct,2,1,
2007 Sep,3,2,
2007 Aug,1,0,
2007 Jul,1,1,
2007 Jun,2,0,
2007 May,5,2,
2007 Apr,2,1,
2007 Mar,6,5,
2007 Feb,3,2,
2007 Jan,7,4,
2006 Dec,5,0,
2006 Nov,3,3,
2006 Oct,7,4,
