д»ЈеЏ·,иЇ­жі•,еЏ‚иЂѓ
T_ABSTRACT,abstract,жЉЅи±Ўз±»пј€и‡Є PHP 5.0.0 иµ·еЏЇз”Ёпј‰
T_AND_EQUAL,&=,иµ‹еЂјиїђз®—з¬¦
T_ARRAY,array(),array()пјЊж•°з»„иЇ­жі•
T_ARRAY_CAST,(array),з±»ећ‹иЅ¬жЌў
T_AS,as,foreach
T_BAD_CHARACTER,,"ењЁ ASCII 32 д№‹е‰Ќй™¤дє† \t (0x09), \n (0x0a) е’Њ \r (0x0d) д»Ґе¤–зљ„д»»дЅ•е­—з¬¦"
T_BOOLEAN_AND,&&,йЂ»иѕ‘иїђз®—з¬¦
T_BOOLEAN_OR,||,йЂ»иѕ‘иїђз®—з¬¦
T_BOOL_CAST,(bool) ж€– (boolean),з±»ећ‹иЅ¬жЌў
T_BREAK,break,break
T_CASE,case,switch
T_CATCH,catch,еј‚еёёе¤„зђ†пј€и‡Є PHP 5.0.0 иµ·еЏЇз”Ёпј‰
T_CHARACTER,,
T_CLASS,class,з±»е’ЊеЇ№и±Ў
T_CLONE,clone,з±»е’ЊеЇ№и±ЎгЂ‚д»…з”ЁдєЋ PHP 5гЂ‚
T_CLOSE_TAG,?> ж€– %>,
T_COMMENT,// ж€– #пјЊд»ҐеЏЉ PHP 5 дё‹зљ„ /* */,жіЁй‡Љ
T_CONCAT_EQUAL,.=,иµ‹еЂјиїђз®—з¬¦
T_CONST,const,
T_CONSTANT_ENCAPSED_STRING,"""foo"" ж€– 'bar'",е­—з¬¦дёІиЇ­жі•
T_CONTINUE,continue,
T_CURLY_OPEN,,
T_DEC,--,йЂ’еўћ/йЂ’е‡Џиїђз®—з¬¦
T_DECLARE,declare,declare
T_DEFAULT,default,switch
T_DIV_EQUAL,/=,иµ‹еЂјиїђз®—з¬¦
T_DNUMBER,0.12пјЊз­‰з­‰,жµ®з‚№ж•°
T_DOC_COMMENT,/** */,PHPDoc йЈЋж јзљ„жіЁй‡Љпј€д»…з”ЁдєЋ PHP 5пј‰
T_DO,do,do..while
T_DOLLAR_OPEN_CURLY_BRACES,${,е¤Ќжќ‚еЏй‡Џи§ЈжћђиЇ­жі•
T_DOUBLE_ARROW,=>,ж•°з»„иЇ­жі•
T_DOUBLE_CAST,"(real), (double) ж€– (float)",з±»ећ‹иЅ¬жЌў
T_DOUBLE_COLON,::,и§Ѓдё‹йќўзљ„ T_PAAMAYIM_NEKUDOTAYIM
T_ECHO,echo,echo
T_ELSE,else,else
T_ELSEIF,elseif,elseif
T_EMPTY,empty,empty()
