Date,Title/Description,Category,Type
06/25/2014,Operating Budget 2011-2012,BMO - Operating Budgets,pdf
01/23/2014,BOE - Jurisdictional Policy It is the policy of our jurisdiction that parcel records are public information.,BOE - Docs,pdf
,Data Availability,BOE - Docs,pdf
,2013 CDBG Construction Application,Com Dev - CD,pdf
,2013 CDBG Public Service Application,Com Dev - CD,pdf
,2013 ESG Application,Com Dev - CD,pdf
,2013 Notice of Open Season,Com Dev - CD,pdf
,Ammendments to Community Development Programs,Com Dev - CD,pdf
,Bidders Conference: Pre/Post Questions and Answers,Com Dev - CD,pdf
,Block Grant Disaster Recovery Qtr Report 3-2013,Com Dev - CD,pdf
,CDBG Disaster Recovery Assistance,Com Dev - CD,pdf
,DRGR Action Plan (English Version),Com Dev - CD,pdf
,DRGR Action Plan (Spanish Version),Com Dev - CD,pdf
,ESG 2012,Com Dev - CD,pdf
,Executive Summary,Com Dev - CD,pdf
,Proposed 2013 CDBG Disaster Recovery Action Plan,Com Dev - CD,pdf
,Proposed 2013 One-Year Action Plan,Com Dev - CD,pdf
,Affidavit of Contractor,Com Dev - WD,pdf
,Jefferson County Workforce Investment Act Board 2012-2013 Meeting Schedule,Com Dev - WD,pdf
,Out of School Youth Program GED and Occupational Skills,Com Dev - WD,pdf
,Out of School Youth Program RFP,Com Dev - WD,pdf
,RFP for Internship Program FY 2013-2014,Com Dev - WD,pdf
,Special Needs RFP,Com Dev - WD,pdf
,Summer Youth Employment Program 2013,Com Dev - WD,pdf
,WIA - Out of School Youth Program Occupational Skills Training,Com Dev - WD,pdf
,WIA - Summer Youth Employment Program,Com Dev - WD,pdf
02/14/2012,"Meeting Agenda - 2nd Revision - February 14, 2012",Commission - Agendas,pdf
12/20/2012,"Meeting Agenda - Amended - December 20, 2012",Commission - Agendas,pdf
04/10/2012,"Meeting Agenda - April 10, 2012",Commission - Agendas,pdf
04/10/2014,"Meeting Agenda - April 10, 2014",Commission - Agendas,pdf
04/11/2013,"Meeting Agenda - April 11, 2013",Commission - Agendas,pdf
04/12/2011,"Meeting Agenda - April 12, 2011",Commission - Agendas,pdf
04/23/2015,"Meeting Agenda - April 23, 2015",Commission - Agendas,pdf
04/24/2012,"Meeting Agenda - April 24, 2012",Commission - Agendas,pdf
04/24/2014,"Meeting Agenda - April 24, 2014",Commission - Agendas,pdf
04/25/2013,"Meeting Agenda - April 25, 2013",Commission - Agendas,pdf
04/26/2011,"Meeting Agenda - April 26, 2011",Commission - Agendas,pdf
04/09/2015,"Meeting Agenda - April 9, 2015",Commission - Agendas,pdf
08/10/2010,"Meeting Agenda - August 10, 2010",Commission - Agendas,pdf
08/14/2012,"Meeting Agenda - August 14, 2012",Commission - Agendas,pdf
08/14/2014,"Meeting Agenda - August 14, 2014",Commission - Agendas,pdf
08/15/2013,"Meeting Agenda - August 15, 2013",Commission - Agendas,pdf
08/17/2010,"Meeting Agenda - August 17, 2010",Commission - Agendas,pdf
08/23/2011,"Meeting Agenda - August 23, 2011",Commission - Agendas,pdf
08/24/2010,"Meeting Agenda - August 24, 2010",Commission - Agendas,pdf
08/28/2012,"Meeting Agenda - August 28, 2012",Commission - Agendas,pdf
08/28/2014,"Meeting Agenda - August 28, 2014",Commission - Agendas,pdf
08/29/2013,"Meeting Agenda - August 29, 2013",Commission - Agendas,pdf
08/03/2010,"Meeting Agenda - August 3, 2010",Commission - Agendas,pdf
08/31/2010,"Meeting Agenda - August 31, 2010",Commission - Agendas,pdf
08/09/2011,"Meeting Agenda - August 9, 2011",Commission - Agendas,pdf
12/10/2012,"Meeting Agenda - December 10, 2012",Commission - Agendas,pdf
12/13/2011,"Meeting Agenda - December 13, 2011",Commission - Agendas,pdf
12/14/2010,"Meeting Agenda - December 14, 2010",Commission - Agendas,pdf
12/18/2014,"Meeting Agenda - December 18, 2014",Commission - Agendas,pdf
12/19/2013,"Meeting Agenda - December 19, 2013",Commission - Agendas,pdf
12/20/2012,"Meeting Agenda - December 20, 2012",Commission - Agendas,pdf
12/22/2011,"Meeting Agenda - December 22, 2011",Commission - Agendas,pdf
12/28/2010,"Meeting Agenda - December 28, 2010",Commission - Agendas,pdf
12/04/2014,"Meeting Agenda - December 4, 2014",Commission - Agendas,pdf
04/24/2012,"Meeting Agenda - Draft - April 24, 2012",Commission - Agendas,pdf
08/14/2012,"Meeting Agenda - Draft - August 14, 2012",Commission - Agendas,pdf
08/28/2012,"Meeting Agenda - Draft - August 28, 2012",Commission - Agendas,pdf
02/28/2012,"Meeting Agenda - Draft - February 28, 2012",Commission - Agendas,pdf
07/17/2012,"Meeting Agenda - Draft - July 17, 2012",Commission - Agendas,pdf
07/31/2012,"Meeting Agenda - Draft - July 31, 2012",Commission - Agendas,pdf
06/12/2012,"Meeting Agenda - Draft - June 12, 2012",Commission - Agendas,pdf
06/26/2012,"Meeting Agenda - Draft - June 26, 2012",Commission - Agendas,pdf
03/13/2012,"Meeting Agenda - Draft - March 13, 2012",Commission - Agendas,pdf
09/11/2012,"Meeting Agenda - Draft - September 11, 2012",Commission - Agendas,pdf
09/25/2012,"Meeting Agenda - Draft - September 25, 2012",Commission - Agendas,pdf
02/14/2012,"Meeting Agenda - February 14, 2012",Commission - Agendas,pdf
02/19/2015,"Meeting Agenda - February 19, 2015",Commission - Agendas,pdf
02/22/2011,"Meeting Agenda - February 22, 2011",Commission - Agendas,pdf
02/26/2014,"Meeting Agenda - February 27, 2014",Commission - Agendas,pdf
02/28/2013,"Meeting Agenda - February 28, 2013",Commission - Agendas,pdf
02/05/2015,"Meeting Agenda - February 5, 2015",Commission - Agendas,pdf
02/08/2011,"Meeting Agenda - February 8, 2011",Commission - Agendas,pdf
04/24/2012,"Meeting Agenda - Final - April 24, 2012",Commission - Agendas,pdf
01/11/2011,"Meeting Agenda - January 11, 2011",Commission - Agendas,pdf
01/17/2013,"Meeting Agenda - January 17, 2013",Commission - Agendas,pdf
01/22/2015,"Meeting Agenda - January 22, 2015",Commission - Agendas,pdf
01/24/2012,"Meeting Agenda - January 24, 2012",Commission - Agendas,pdf
01/25/2011,"Meeting Agenda - January 25, 2011",Commission - Agendas,pdf
01/31/2013,"Meeting Agenda - January 31, 2013",Commission - Agendas,pdf
01/31/2014,"Meeting Agenda - January 31, 2014",Commission - Agendas,pdf
01/08/2015,"Meeting Agenda - January 8, 2015",Commission - Agendas,pdf
01/09/2014,"Meeting Agenda - January 9, 2014",Commission - Agendas,pdf
07/10/2014,"Meeting Agenda - July 10, 2014",Commission - Agendas,pdf
07/11/2013,"Meeting Agenda - July 11, 2013",Commission - Agendas,pdf
07/12/2011,"Meeting Agenda - July 12, 2011",Commission - Agendas,pdf
07/16/2015,"Meeting Agenda - July 16, 2015",Commission - Agendas,pdf
07/17/2012,"Meeting Agenda - July 17, 2012",Commission - Agendas,pdf
07/20/2010,"Meeting Agenda - July 20, 2010",Commission - Agendas,pdf
07/24/2014,"Meeting Agenda - July 24, 2014",Commission - Agendas,pdf
07/25/2013,"Meeting Agenda - July 25, 2013",Commission - Agendas,pdf
07/26/2011,"Meeting Agenda - July 26, 2011",Commission - Agendas,pdf
07/27/2010,"Meeting Agenda - July 27, 2010",Commission - Agendas,pdf
07/31/2012,"Meeting Agenda - July 31, 2012",Commission - Agendas,pdf
07/06/2010,"Meeting Agenda - July 6, 2010",Commission - Agendas,pdf
06/11/2014,"Meeting Agenda - June 11, 2014",Commission - Agendas,pdf
06/12/2012,"Meeting Agenda - June 12, 2012",Commission - Agendas,pdf
06/13/2013,"Meeting Agenda - June 13, 2013",Commission - Agendas,pdf
06/18/2015,"Meeting Agenda - June 18, 2015",Commission - Agendas,pdf
06/22/2010,"Meeting Agenda - June 22, 2010",Commission - Agendas,pdf
06/26/2012,"Meeting Agenda - June 26, 2012",Commission - Agendas,pdf
06/25/2014,"Meeting Agenda - June 26, 2014",Commission - Agendas,pdf
06/27/2013,"Meeting Agenda - June 27, 2013",Commission - Agendas,pdf
06/28/2011,"Meeting Agenda - June 28, 2011",Commission - Agendas,pdf
06/30/2015,"Meeting Agenda - June 30, 2015 - Reconvened Meeting of June 18th",Commission - Agendas,pdf
06/04/2015,"Meeting Agenda - June 4, 2015",Commission - Agendas,pdf
03/13/2012,"Meeting Agenda - March 13, 2012",Commission - Agendas,pdf
03/13/2014,"Meeting Agenda - March 13, 2014",Commission - Agendas,pdf
03/14/2013,"Meeting Agenda - March 14, 2013",Commission - Agendas,pdf
03/19/2015,"Meeting Agenda - March 19, 2015",Commission - Agendas,pdf
03/22/2011,"Meeting Agenda - March 22, 2011",Commission - Agendas,pdf
03/27/2014,"Meeting Agenda - March 27, 2014",Commission - Agendas,pdf
03/28/2013,"Meeting Agenda - March 28, 2013",Commission - Agendas,pdf
03/05/2015,"Meeting Agenda - March 5, 2015",Commission - Agendas,pdf
05/08/2012,"Meeting Agenda - May 08, 2012",Commission - Agendas,pdf
05/10/2011,"Meeting Agenda - May 10, 2011",Commission - Agendas,pdf
05/14/2012,"Meeting Agenda - May 14, 2012",Commission - Agendas,pdf
05/16/2013,"Meeting Agenda - May 16, 2013",Commission - Agendas,pdf
05/21/2015,"Meeting Agenda - May 21, 2015",Commission - Agendas,pdf
05/22/2012,"Meeting Agenda - May 22, 2012",Commission - Agendas,pdf
05/22/2014,"Meeting Agenda - May 22, 2014",Commission - Agendas,pdf
05/24/2011,"Meeting Agenda - May 24, 2011",Commission - Agendas,pdf
05/30/2013,"Meeting Agenda - May 30, 2013",Commission - Agendas,pdf
05/07/2015,"Meeting Agenda - May 7, 2015",Commission - Agendas,pdf
05/08/2014,"Meeting Agenda - May 8, 2014",Commission - Agendas,pdf
05/12/2014,"Meeting Agenda - May 8, 2014 - Reconvene",Commission - Agendas,pdf
11/14/2012,"Meeting Agenda - November 14, 2012",Commission - Agendas,pdf
11/02/2010,"Meeting Agenda - November 2, 2010",Commission - Agendas,pdf
11/20/2014,"Meeting Agenda - November 20, 2014",Commission - Agendas,pdf
11/22/2011,"Meeting Agenda - November 22, 2011",Commission - Agendas,pdf
11/23/2010,"Meeting Agenda - November 23, 2010",Commission - Agendas,pdf
11/27/2012,"Meeting Agenda - November 27, 2012",Commission - Agendas,pdf
11/08/2011,"Meeting Agenda - November 8, 2011",Commission - Agendas,pdf
10/10/2013,"Meeting Agenda - October 10, 2013",Commission - Agendas,pdf
10/11/2011,"Meeting Agenda - October 11, 2011",Commission - Agendas,pdf
10/12/2010,"Meeting Agenda - October 12, 2010",Commission - Agendas,pdf
10/19/2010,"Meeting Agenda - October 19, 2010",Commission - Agendas,pdf
10/23/2012,"Meeting Agenda - October 23, 2012",Commission - Agendas,pdf
10/25/2011,"Meeting Agenda - October 25, 2011",Commission - Agendas,pdf
10/26/2010,"Meeting Agenda - October 26, 2010",Commission - Agendas,pdf
10/29/2014,"Meeting Agenda - October 29, 2014",Commission - Agendas,pdf
10/05/2010,"Meeting Agenda - October 5, 2010",Commission - Agendas,pdf
10/09/2014,"Meeting Agenda - October 9, 2014",Commission - Agendas,pdf
12/22/2011,"Meeting Agenda - Reconvened - December 22, 2011",Commission - Agendas,pdf
03/28/2012,"Meeting Agenda - Reconvened - March 28, 2012",Commission - Agendas,pdf
11/06/2012,"Meeting Agenda - Reconvened - November 6, 2012",Commission - Agendas,pdf
04/10/2012,"Meeting Agenda - Revised - April 10, 2012",Commission - Agendas,pdf
