Rank,Name,Score
1,mistydolphin,"4,687 points"
2,scorpio46,"4,624 points"
3,jetxx,"4,619 points"
4,steer240,"4,613 points"
5,JMarMcD,"4,607 points"
6,mustangkid67,"4,589 points"
7,mistydolphin,"4,570 points"
8,mustangkid67,"4,566 points"
9,mustangkid67,"4,564 points"
10,mistydolphin,"4,550 points"
11,jetxx,"4,550 points"
12,trustintuna,"4,548 points"
13,wasamata,"4,505 points"
14,Bhawk1357,"4,503 points"
15,mistydolphin,"4,502 points"
16,Honeybee95,"4,502 points"
17,steer240,"4,496 points"
18,mistydolphin,"4,494 points"
19,mistydolphin,"4,494 points"
20,trustintuna,"4,494 points"
21,kmd888,"4,490 points"
22,farley49,"4,487 points"
23,mtstud54,"4,484 points"
24,n4ceraa,"4,483 points"
25,mistydolphin,"4,479 points"
26,mistydolphin,"4,475 points"
27,mistydolphin,"4,474 points"
28,Honeybee95,"4,472 points"
29,mistydolphin,"4,472 points"
30,mustangkid67,"4,472 points"
31,Reiuxkat,"4,469 points"
32,1sja,"4,464 points"
33,1sja,"4,463 points"
34,jetxx,"4,463 points"
35,Bhawk1357,"4,458 points"
36,Lostdiver,"4,454 points"
37,Veeba,"4,452 points"
38,tk72,"4,450 points"
39,crankypants,"4,448 points"
40,Luv2Laf,"4,443 points"
41,farley49,"4,443 points"
42,scorpio46,"4,442 points"
43,jetxx,"4,442 points"
44,jetxx,"4,439 points"
45,1sja,"4,435 points"
46,mustangkid67,"4,434 points"
47,Luv2Laf,"4,433 points"
48,Veeba,"4,432 points"
49,1sja,"4,429 points"
50,steer240,"4,426 points"
51,Lostdiver,"4,426 points"
52,trustintuna,"4,425 points"
53,jcherring,"4,424 points"
54,namreknat,"4,423 points"
55,kirkub,"4,421 points"
56,Veeba,"4,418 points"
57,Seventhirty2,"4,416 points"
58,Lostdiver,"4,415 points"
59,mistydolphin,"4,414 points"
60,scorpio46,"4,411 points"
61,marquiscwix1,"4,409 points"
62,mistydolphin,"4,409 points"
63,scorpio46,"4,409 points"
64,steer240,"4,409 points"
65,Honeybee95,"4,409 points"
66,marquiscwix1,"4,408 points"
67,mustangkid67,"4,408 points"
68,1sja,"4,408 points"
69,Veeba,"4,403 points"
70,steer240,"4,401 points"
71,jetxx,"4,400 points"
72,mistydolphin,"4,399 points"
73,mustangkid67,"4,399 points"
