Name,Class Year,Induction Year
"Anderson, Richard","'72, '71",'96
"Baxandall, F. William",'59,'09
"Bechtold, Ned",N/A,'97
"Belisle, Philip","'64, '60",'99
"Bernson, Lee",'65,'05
"Bier, William",'50,'05
"Buck, James","'53, '52",'94
"Campbell, Debra",'76,'05
"Caspary, Gerald",'43,'93
"Catik, Ali",'76,'13
"Couillard, Harland",'75,'11
"Courchaine, Cletus",'52,'95
"Crannell, Richard",'65,'99
"Deibel, Dale",'74,'07
"DeKeyser, Paul","'79, '78",'07
"Ehlert, George",'77,'01
"Emerson, James",'60,'07
"Fluharty, Herbert",'65,'01
"Fortier, John",'78,'09
"Frair, Paul",'50,'05
"Frederickson, Phillip",'60,'01
"Gardiner, Annette",'82,'13
"Grant, Peter",'68,'93
"Grenney, William",'59,'93
"Gronevelt, Russell",'69,'01
"Gundlach, Herman",N/A,'95
"Gustafson, David",'61,'96
"Haro, John",N/A,'11
"Healy, Thomes",'65,'96
"Hermanson, George","'75, '73",'07
"Hikes, Burd",'49,'93
"Hitch, Robert","'56, '54",'96
"Holcombe, Gary",'72,'13
"Holley, Donald",'53,'97
"Irwin, Tom","'63, '66",'01
"Jabara, James",'50,'93
"Jensen, Harold",'52,'93
"Kaderabek, Thomas","'73, '74",'11
"Kaempfer, Christopher",'71,'04
"Kellogg, Charles",'66,'07
"Kestner, Raymond",'55,'97
"Klus, John","'61, '57",'02
"Krause, Kristine",'76,'97
"Krause, James",'51,'94
"Krump, Ronald",'57,'95
"Larson , Debra","'78, '81",'11
"Leder, William",'68,'99
"Liimatta, Paul",'61,'93
"Liska, Roger",'65,'97
"Luther, Robert",'61,'02
"Lyon, Richard",'76,'07
"Maki, C.",'71,'09
"Mariucci, Roland",'58,'01
"Marshall, William",'69,'07
"Marshall, John",'68,'94
"Masica, Richard",'58,'93
"Matson, David",'69,'05
"McCarthy, Gerald",'48,'93
"Meyers, Franklin",'57,'04
"Murchie, William",'76,'11
"Neumann, Edward",'64,'93
"Noll, Kenneth",'59,'97
"O'Brien, Brenda",'84,'11
"Orchard, Melvin",'49,'94
"Paas, John",'41,'95
"Pasquinelli, Ronald",'59,'09
"Perla, Peter",'38,'93
"Peterson, Warren",'52,'07
"Peterson, Eric","'70, '71",'11
"Petroelje, Rob",'74,'04
"Phillips, Linda","'84, '77",'97
"Post, Joseph",'50,'94
"Post, David",'56,'94
"Reddy, Damoder",'62,'95
"Rediger, Delmar",'58,'93
"Rentenbach, Thomas",'32,'93
"Rheault, Brian",'82,'05
"Rought, Raymond",'70,'11
"Rowe, David",'51,'97
"Saul, William","'61, '55",'94
"Seaton, Robert",'52,'04
"Seaton, Kenneth",'51,'96
"Sorvala, Marvin",'72,'99
"Stewart, Todd",'68,'01
"Stumpf, Mark",'65,'96
"Sundberg, Darryll",'74,'09
"Thompson, Robert",N/A,'95
"Timmons, Richard",'69,'05
"Tomasini, Donald",'54,'99
"Townley, James","'72, '71",'99
"Townsend, Frank",'62,'96
"Ulstad, Clarence",'50,'02
"Uttormark, Paul",'62,'93
"Valent, Thomas",'73,'04
"Van Faasen, Jerold",'34,'95
"Vartan, John",'70,'93
"Verrette, William",'61,'93
"Verrette, Louis",'34,'93
"Vriesman, Ronald",'78,'09
"Watson, Douglas",'73,'01
"White, Daniel",'69,'04
"Wilcox, Richard",'82,'05
"Wilden, Helmuth",'65,'99
"Williams, Theodore",N/A,'02
"Williams, Steven","'73, '73",'02
"Williams, George",'52,'95
"Winiarski, William",'73,'02
"Witteveen, Norman",'61,'96
"Wylie, Robert",'47,'94
"Youngs, Philip",'57,'99
