Week,6.x,7.x,Total
"July 19, 2015","3,055","6,790","9,845"
"July 12, 2015","4,018","10,051","14,069"
"July 5, 2015","4,054","10,017","14,071"
"June 28, 2015","3,924","9,611","13,535"
"June 21, 2015","3,955","9,637","13,592"
"June 14, 2015","4,189","10,213","14,402"
"June 7, 2015","4,147","10,011","14,158"
"May 31, 2015","4,181","10,238","14,419"
"May 24, 2015","4,217","10,331","14,548"
"May 17, 2015","4,287","10,593","14,880"
"May 10, 2015","4,325","10,847","15,172"
"May 3, 2015","4,388","11,350","15,738"
"April 26, 2015","4,414","11,389","15,803"
"April 19, 2015","4,446","11,361","15,807"
"April 12, 2015","4,486","11,332","15,818"
"April 5, 2015","4,472","11,362","15,834"
"March 29, 2015","4,560","11,369","15,929"
"March 22, 2015","4,607","11,447","16,054"
"March 15, 2015","4,680","11,677","16,357"
"March 8, 2015","4,583","11,442","16,025"
"March 1, 2015","4,647","11,513","16,160"
"February 22, 2015","4,646","11,511","16,157"
"February 15, 2015","4,714","11,556","16,270"
"February 8, 2015","4,673","11,729","16,402"
"February 1, 2015","4,642","11,716","16,358"
"January 25, 2015","4,644","11,532","16,176"
"January 18, 2015","4,698","11,665","16,363"
"January 11, 2015","4,723","11,676","16,399"
"January 4, 2015","4,793","11,565","16,358"
"December 28, 2014","4,568","11,063","15,631"
"December 21, 2014","4,614","11,154","15,768"
"December 14, 2014","4,802","11,597","16,399"
"December 7, 2014","4,795","11,640","16,435"
"November 30, 2014","4,888","11,623","16,511"
"November 23, 2014","4,898","11,676","16,574"
"November 16, 2014","5,024","11,862","16,886"
"November 9, 2014","5,083","11,867","16,950"
"November 2, 2014","4,995","12,146","17,141"
"October 26, 2014","5,041","12,250","17,291"
"October 19, 2014","5,001","12,103","17,104"
"October 12, 2014","5,049","12,212","17,261"
"October 5, 2014","5,033","12,057","17,090"
"September 28, 2014","5,129","12,068","17,197"
"September 21, 2014","5,078","11,966","17,044"
"September 14, 2014","6,620","12,201","18,821"
"September 7, 2014","5,170","12,025","17,195"
"August 31, 2014","5,182","12,018","17,200"
"August 24, 2014","5,146","11,954","17,100"
"August 17, 2014","5,228","11,988","17,216"
"August 10, 2014","5,301","12,098","17,399"
"August 3, 2014","5,428","12,182","17,610"
"July 27, 2014","5,401","12,178","17,579"
"July 20, 2014","5,335","11,945","17,280"
"July 13, 2014","5,413","12,047","17,460"
"July 6, 2014","5,388","11,961","17,349"
"June 29, 2014","5,399","11,989","17,388"
"June 22, 2014","5,357","12,092","17,449"
"June 15, 2014","5,259","11,271","16,530"
"June 8, 2014","5,396","11,700","17,096"
"June 1, 2014","5,642","11,853","17,495"
"May 25, 2014","5,757","11,612","17,369"
"May 18, 2014","5,622","11,389","17,011"
"May 11, 2014","5,596","11,328","16,924"
"May 4, 2014","5,396","11,278","16,674"
"April 27, 2014","5,474","11,212","16,686"
"April 20, 2014","5,592","11,325","16,917"
"April 13, 2014","5,665","11,474","17,139"
"April 6, 2014","5,658","11,559","17,217"
"March 30, 2014","5,857","11,583","17,440"
"March 23, 2014","5,895","11,569","17,464"
"March 16, 2014","5,962","11,458","17,420"
"March 9, 2014","6,078","11,570","17,648"
"March 2, 2014","5,859","11,550","17,409"
"February 23, 2014","6,073","11,493","17,566"
"February 16, 2014","5,926","11,568","17,494"
"February 9, 2014","6,172","11,691","17,863"
"February 2, 2014","5,899","11,558","17,457"
"January 26, 2014","5,919","11,642","17,561"
"January 19, 2014","5,984","11,705","17,689"
"January 12, 2014","5,934","11,775","17,709"
"January 5, 2014","6,120","11,554","17,674"
"December 29, 2013","5,991","11,241","17,232"
"December 22, 2013","5,983","11,067","17,050"
"December 15, 2013","6,140","11,556","17,696"
"December 8, 2013","6,246","11,561","17,807"
"December 1, 2013","6,122","11,520","17,642"
"November 24, 2013","6,160","11,408","17,568"
"November 17, 2013","6,246","11,576","17,822"
"November 10, 2013","6,349","11,433","17,782"
"November 3, 2013","6,196","11,402","17,598"
"October 27, 2013","6,201","11,342","17,543"
"October 20, 2013","6,277","11,458","17,735"
"October 13, 2013","6,241","11,477","17,718"
"October 6, 2013","6,281","11,446","17,727"
"September 29, 2013","6,269","11,447","17,716"
"September 22, 2013","6,381","11,449","17,830"
"September 15, 2013","6,592","11,505","18,097"
"September 8, 2013","6,513","11,551","18,064"
"September 1, 2013","6,488","11,489","17,977"
"August 25, 2013","6,537","11,514","18,051"
"August 18, 2013","6,556","11,419","17,975"
"August 11, 2013","6,521","11,237","17,758"
"August 4, 2013","6,550","11,216","17,766"
"July 28, 2013","6,531","11,221","17,752"
"July 21, 2013","6,610","11,191","17,801"
"July 14, 2013","6,658","11,281","17,939"
"July 7, 2013","6,702","11,197","17,899"
"June 30, 2013","6,737","11,151","17,888"
"June 23, 2013","6,723","11,096","17,819"
"June 16, 2013","7,054","11,096","18,150"
"June 9, 2013","6,909","11,164","18,073"
"June 2, 2013","6,891","11,114","18,005"
"May 26, 2013","6,961","10,794","17,755"
"May 19, 2013","6,129","9,516","15,645"
"May 12, 2013","6,920","10,930","17,850"
"May 5, 2013","6,956","10,764","17,720"
"April 28, 2013","6,985","10,856","17,841"
"April 21, 2013","7,035","10,993","18,028"
"April 14, 2013","7,004","11,059","18,063"
"April 7, 2013","7,118","11,055","18,173"
"March 31, 2013","7,018","10,994","18,012"
"March 24, 2013","7,107","10,909","18,016"
"March 17, 2013","7,174","10,906","18,080"
"March 10, 2013","7,172","10,823","17,995"
"March 3, 2013","7,181","10,747","17,928"
"February 24, 2013","7,366","10,773","18,139"
"February 17, 2013","7,266","10,678","17,944"
"February 10, 2013","7,413","10,547","17,960"
"February 3, 2013","7,462","10,614","18,076"
"January 27, 2013","7,611","10,493","18,104"
"January 20, 2013","7,585","10,443","18,028"
"January 13, 2013","7,808","10,532","18,340"
"January 6, 2013","7,536","10,365","17,901"
"December 30, 2012","7,350","9,964","17,314"
"December 23, 2012","7,273","9,760","17,033"
"December 16, 2012","7,635","10,159","17,794"
"December 9, 2012","11,579","10,171","21,750"
"December 2, 2012","17,772","10,159","27,931"
"November 25, 2012","17,757","10,142","27,899"
"November 18, 2012","17,836","10,104","27,940"
"November 11, 2012","9,690","10,183","19,873"
"November 4, 2012","7,843","10,148","17,991"
"October 28, 2012","7,847","10,147","17,994"
"October 21, 2012","7,993","10,147","18,140"
"October 14, 2012","8,009","10,130","18,139"
"October 7, 2012","7,955","9,885","17,840"
"September 30, 2012","7,976","9,900","17,876"
"September 23, 2012","8,050","9,784","17,834"
"September 16, 2012","8,081","9,687","17,768"
"September 9, 2012","8,046","9,537","17,583"
"September 2, 2012","8,095","9,488","17,583"
"August 26, 2012","8,069","9,382","17,451"
"August 19, 2012","7,985","9,331","17,316"
"August 12, 2012","8,042","9,205","17,247"
"August 5, 2012","8,066","9,281","17,347"
"July 29, 2012","8,170","9,127","17,297"
