,Team,P,W,L,B,F,A,Pts
1,Broncos,18,15,3,2,447,272,34
2,Cowboys,18,14,4,2,421,327,32
3,Roosters,18,12,6,2,399,212,28
4,Rabbitohs,18,11,7,2,376,296,26
5,Storm,18,10,8,2,350,264,24
6,Sharks,18,10,8,2,332,354,24
7,Bulldogs,18,9,9,2,362,354,22
8,Warriors,18,9,9,2,367,384,22
9,Raiders,18,8,10,2,437,421,20
10,Dragons,18,8,10,2,270,282,20
11,Sea Eagles,18,7,11,2,320,368,18
12,Panthers,18,7,11,2,295,372,18
13,Eels,18,7,11,2,334,438,18
14,Knights,18,6,12,2,338,454,16
15,Titans,18,6,12,2,319,470,16
16,Tigers,18,5,13,2,317,416,14
