Round Trip Date,MANILA-SG BEST PRICE PHP,SG-MANILA BEST PRICE PHP
"15 April 2011, Friday","8,498.00","4,699.00"
"16 April 2011, Saturday","10,348.00","4,599.00"
"17 April 2011, Sunday","10,118.00","6,299.00"
"18 April 2011, Monday","6,488.00","3,999.00"
"19 April 2011, Tuesday","8,099.00","3,399.00"
"20 April 2011, Wednesday","9,999.00","3,999.00"
"21 April 2011, Thursday","3,999.00","6,299.00"
"22 April 2011, Friday","2,399.00","7,199.00"
"23 April 2011, Saturday","2,399.00","6,258.00"
"24 April 2011, Sunday","2,899.00","11,099.00"
"25 April 2011, Monday","2,899.00","6,299.00"
"26 April 2011, Tuesday","2,399.00","3,999.00"
"27 April 2011, Wednesday","2,399.00","3,399.00"
"28 April 2011, Thursday","2,399.00","4,599.00"
"29 April 2011, Friday","2,899.00","3,999.00"
"30 April 2011, Saturday","2,399.00","5,399.00"
"01 May 2011, Sunday","3,399.00","3,999.00"
"02 May 2011, Monday","4,599.00","3,999.00"
"03 May 2011, Tuesday","3,399.00","3,999.00"
"04 May 2011, Wednesday","2,899.00","3,399.00"
"05 May 2011, Thursday","3,399.00","3,399.00"
"06 May 2011, Friday","2,899.00","3,399.00"
"07 May 2011, Saturday","3,399.00","3,999.00"
"08 May 2011, Sunday","3,999.00","3,999.00"
"09 May 2011, Monday","3,399.00","3,399.00"
"10 May 2011, Tuesday","3,399.00","3,399.00"
"11 May 2011, Wednesday","2,899.00","3,399.00"
"12 May 2011, Thursday","3,399.00","3,999.00"
"13 May 2011, Friday","3,399.00","3,399.00"
"14 May 2011, Saturday","3,399.00","3,999.00"
"15 May 2011, Sunday","3,399.00","3,399.00"
"16 May 2011, Monday","3,399.00","3,399.00"
"17 May 2011, Tuesday","3,399.00","3,399.00"
"18 May 2011, Wednesday","3,399.00","3,399.00"
"19 May 2011, Thursday","2,899.00","3,399.00"
"20 May 2011, Friday","2,899.00","3,399.00"
"21 May 2011, Saturday","3,399.00","3,999.00"
"22 May 2011, Sunday","3,999.00","3,399.00"
"23 May 2011, Monday","3,399.00","3,399.00"
"24 May 2011, Tuesday","3,399.00","3,399.00"
"25 May 2011, Wednesday","2,899.00","3,399.00"
"26 May 2011, Thursday","2,899.00","3,399.00"
"27 May 2011, Friday","2,899.00","3,399.00"
"28 May 2011, Saturday","3,399.00","3,999.00"
"29 May 2011, Sunday","3,999.00","3,999.00"
"30 May 2011, Monday","3,399.00","3,999.00"
"31 May 2011, Tuesday","2,899.00","3,399.00"
"01 June 2011, Wednesday","2,899.00","2,899.00"
"02 June 2011, Thursday","3,399.00","2,899.00"
"03 June 2011, Friday","2,899.00","3,399.00"
"04 June 2011, Saturday","2,399.00","3,399.00"
"05 June 2011, Sunday","3,399.00","2,899.00"
"06 June 2011, Monday","2,899.00","3,399.00"
"07 June 2011, Tuesday","2,899.00","2,899.00"
"08 June 2011, Wednesday","2,899.00","2,899.00"
"09 June 2011, Thursday","2,999.00","2,999.00"
"10 June 2011, Friday","2,899.00","2,899.00"
"11 June 2011, Saturday","2,899.00","3,399.00"
"12 June 2011, Sunday","3,999.00","2,899.00"
"13 June 2011, Monday","2,899.00","2,899.00"
"14 June 2011, Tuesday","2,899.00","2,899.00"
"15 June 2011, Wednesday","2,899.00","2,899.00"
"16 June 2011, Thursday","3,399.00","2,899.00"
"17 June 2011, Friday","3,399.00","2,899.00"
"18 June 2011, Saturday","2,899.00","3,399.00"
"19 June 2011, Sunday","3,399.00","2,899.00"
"20 June 2011, Monday","2,899.00","2,899.00"
"21 June 2011, Tuesday","2,899.00","2,899.00"
"22 June 2011, Wednesday","2,899.00","2,899.00"
"23 June 2011, Thursday","3,399.00","2,899.00"
"24 June 2011, Friday","3,399.00","2,899.00"
"25 June 2011, Saturday","3,999.00","3,399.00"
"26 June 2011, Sunday","3,399.00","2,899.00"
"27 June 2011, Monday","3,399.00","2,899.00"
"28 June 2011, Tuesday","3,399.00","2,899.00"
"29 June 2011, Wednesday","3,399.00","2,899.00"
"30 June 2011, Thursday","2,899.00","2,899.00"
"01 July 2011, Friday","2,899.00","2,899.00"
"02 July 2011, Saturday","2,899.00","3,399.00"
"03 July 2011, Sunday","3,399.00","2,899.00"
"04 July 2011, Monday","2,899.00","2,899.00"
"05 July 2011, Tuesday","2,899.00","2,899.00"
"06 July 2011, Wednesday","2,399.00","2,899.00"
"07 July 2011, Thursday","2,399.00","2,399.00"
"08 July 2011, Friday","2,899.00","2,899.00"
"09 July 2011, Saturday","2,899.00","3,399.00"
"10 July 2011, Sunday","3,999.00","2,899.00"
"11 July 2011, Monday","2,899.00","2,899.00"
"12 July 2011, Tuesday","2,899.00","2,899.00"
"13 July 2011, Wednesday","2,399.00","2,899.00"
"14 July 2011, Thursday","2,399.00","2,899.00"
"15 July 2011, Friday","3,399.00","2,899.00"
"16 July 2011, Saturday","2,899.00","3,399.00"
"17 July 2011, Sunday","3,999.00","2,399.00"
"18 July 2011, Monday","2,899.00","2,899.00"
"19 July 2011, Tuesday","2,899.00","2,899.00"
"20 July 2011, Wednesday","2,399.00","2,399.00"
"21 July 2011, Thursday","2,399.00","2,899.00"
"22 July 2011, Friday","3,399.00","2,899.00"
"23 July 2011, Saturday","2,899.00","2,899.00"
"24 July 2011, Sunday","2,899.00","2,399.00"
"25 July 2011, Monday","1,499.00","2,899.00"
"26 July 2011, Tuesday","2,899.00","2,399.00"
"27 July 2011, Wednesday","2,399.00","2,399.00"
"28 July 2011, Thursday","2,899.00","2,899.00"
"29 July 2011, Friday","2,899.00","2,899.00"
"30 July 2011, Saturday","2,899.00","2,899.00"
"31 July 2011, Sunday","3,399.00","2,399.00"
"01 August 2011, Monday","1,499.00","2,899.00"
"02 August 2011, Tuesday","1,499.00","2,899.00"
"03 August 2011, Wednesday","2,399.00","2,899.00"
"04 August 2011, Thursday","2,399.00","2,399.00"
"05 August 2011, Friday","2,899.00","2,899.00"
"06 August 2011, Saturday","2,899.00","2,899.00"
"07 August 2011, Sunday","3,399.00","2,399.00"
"08 August 2011, Monday","1,499.00","2,899.00"
"09 August 2011, Tuesday","2,899.00","2,399.00"
"10 August 2011, Wednesday","2,399.00","2,899.00"
"11 August 2011, Thursday","2,399.00","2,399.00"
"12 August 2011, Friday","2,899.00","2,899.00"
"13 August 2011, Saturday","1,499.00","2,899.00"
"14 August 2011, Sunday","3,399.00","2,399.00"
"15 August 2011, Monday","1,499.00","2,899.00"
"16 August 2011, Tuesday","1,499.00","2,399.00"
"17 August 2011, Wednesday","2,399.00","2,899.00"
"18 August 2011, Thursday","2,399.00","2,399.00"
"19 August 2011, Friday","2,899.00","2,899.00"
"20 August 2011, Saturday","2,899.00","2,899.00"
"21 August 2011, Sunday","3,399.00","2,399.00"
"22 August 2011, Monday","1,499.00","2,899.00"
"23 August 2011, Tuesday","1,499.00","2,399.00"
"24 August 2011, Wednesday","2,399.00","2,899.00"
"25 August 2011, Thursday","2,399.00","2,399.00"
"26 August 2011, Friday","2,899.00","2,899.00"
"27 August 2011, Saturday","2,899.00","2,899.00"
"28 August 2011, Sunday","3,399.00","2,399.00"
