Course Name,Location,Distance,Holes,Hole Type,Tee Type,,Rating
Big Sky Resort - Peak Course,"Big Sky, MT",0.0 Miles,9,Pole Hole,Natural,,
Big Sky Resort - Base Course,"Big Sky, MT",0.0 Miles,9,Baskets,Natural,,
Bighorn Ridge,"Big Sky, MT",0.0 Miles,18,Chainstar,Natural,,
Rose Park,"Bozeman, MT",26.7 Miles,12,DISCatcher,Concrete,,
Battle Ridge,"Bozeman, MT",32.7 Miles,18,Tone,Dirt,,
Bohart Ranch X-C Ski Center - Upper,"Bozeman, MT",32.7 Miles,18,Mach 3,Concrete,,
Bohart Ranch X-C Ski Center - Lower,"Bozeman, MT",32.7 Miles,18,DISCatcher,Concrete,,
Grant DGC,"Grant Village, WY",65.6 Miles,18,Object,Dirt,,No Reviews
George Anderson DGC,"Lake Village, WY",65.6 Miles,18,Mixed,Mixed,,
Mammoth Ridges DGC,"Mammoth Hot Springs, WY",65.6 Miles,18,Object,Dirt,,
Roosevelt DGC,"Roosevelt, WY",65.6 Miles,18,Object,Natural,,No Reviews
Canyon DGC,"Canyon Village, WY",65.6 Miles,18,Object,Dirt,,
