Puppy 2,Codename,Released
2.00,-,"June 1, 2006"
2.01,-,"June 19, 2006"
2.02,Meaty,"July 29, 2006"
2.10,Gold,"September 13, 2006"
2.11,-,"October 15, 2006"
2.12,Bonanaza (code name chosen by Barry),"November 18, 2006"
2.13,Star,"January 2, 2007"
2.14,Barbie (used to encourage Barry to have some Oz style relaxation on his hols),"February 17, 2007"
2.15CE,"Viz (development name went from Vii, V to Final of Viz)","April 6, 200 7"
2.16CE,Luv,"May 17, 2007"
2.17,Dancer (named after the worlds smallest dog),"July 20, 2007"
