date,city,state,venue
2/8/2014,Philadelphia,PA,Boot & Saddle
4/15/2014,Bristol,Bst,The Exchange
4/16/2014,Brixton,Lbh,The Windmill
4/17/2014,Manchester,Man,The Star and Garter
4/18/2014,Glasgow,Glg,Audio Glasgow
4/20/2014,Newport,Nwp,Le Pub
4/24/2014,Southampton,Southampton,Joiners
5/2/2014,Meerhout,Vlg,De Vlessenhoeve
5/5/2014,Hannover,NI,Bei Chez Heinz
5/15/2014,Karlsruhe,Baden-wurttemberg,Jubez Karlsruhe
6/26/2014,Washington,DC,Rock and Roll Hotel
6/28/2014,New York,NY,The Studio at Webster Hall
9/6/2014,Syracuse,NY,Westcott Community Center
9/6/2014,Toronto,ON,Downsview Park
9/9/2014,Detroit,MI,Magic Stick
9/10/2014,Cleveland,OH,Beachland Tavern
9/11/2014,Columbus,OH,Park Street Saloon
10/17/2014,Newark,DE,University of Delaware
10/25/2014,Washington,DC,DC9 Nightclub
10/26/2014,Charlotte,NC,Tremont Music Hall
10/29/2014,Tampa,FL,The Orpheum
11/4/2014,Nashville,TN,The High Watt
11/5/2014,Chicago,IL,Township
11/6/2014,Newport,KY,The Southgate House Revival-Revival Room
11/7/2014,Pittsburgh,PA,The Smiling Moose
11/8/2014,New York,NY,Mercury Lounge
11/9/2014,Allston,MA,Great Scott
11/15/2014,Philadelphia,PA,First Unitarian Church
