Slot,Popularity,Item,ILvl
Shirt,6 star,Stylish Black Shirt,1
Shirt,4 star,Artisan Officer's Shirt,1
Shirt,4 star,Precious' Ribbon,1
Shirt,3 star,Thug Shirt,1
Shirt,3 star,Sleeveless T-Shirt,1
Shirt,3 star,Red Linen Shirt,1
Shirt,3 star,Dark Silk Shirt,1
Shirt,3 star,Footpad's Shirt,1
Shirt,3 star,Gilnean Adventurer's Shirt,1
Shirt,2 star,Last Season's Shirt,1
Shirt,2 star,Antiseptic-Soaked Dressing,1
Shirt,2 star,Wraps of the Blood-Soaked Brawler,1
Shirt,2 star,Captain Sanders' Shirt,1
Shirt,2 star,Black Swashbuckler's Shirt,1
Shirt,2 star,Master Builder's Shirt,1
Shirt,2 star,Ooze-Soaked Shirt,1
Shirt,2 star,Common Gray Shirt,1
Shirt,2 star,Gray Woolen Shirt,1
Shirt,1 star,White Tuxedo Shirt,1
Shirt,1 star,Tailored Officer's Shirt,1
Shirt,1 star,Undisputed Champion's Shirt,1
Shirt,1 star,Wound Dressing,1
Shirt,1 star,Undercity Doublet,1
Shirt,1 star,Sightless Mantle,1
Shirt,1 star,Orange Martial Shirt,1
Shirt,1 star,Rich Purple Silk Shirt,1
Shirt,1 star,Ebon Filigreed Doublet,1
Shirt,1 star,Gorgeous Blouse,1
Shirt,1 star,Formal White Shirt,1
Shirt,1 star,Artisan Member's Shirt,1
Shirt,1 star,Brucehide Jersey,1
Shirt,1 star,Lookout's Tunic,1
Shirt,1 star,Sawbones Shirt,1
Shirt,1 star,Stylish Red Shirt,1
Shirt,1 star,Blue Linen Shirt,1
Shirt,1 star,Red Swashbuckler's Shirt,1
Shirt,1 star,White Swashbuckler's Shirt,1
Shirt,1 star,Deckhand's Shirt,1
Shirt,1 star,Trapper's Shirt,1
Shirt,1 star,Sharkskin Tunic,1
