Departure Date,Itinerary,Ship,Nights,Departing port
16th,Adriatic Affair,Thomson Celebration,7,Dubrovnik
"10th, 24th",Adriatic Explorer,Thomson Dream,7,Corfu Town
5th,Continental Coasts,Thomson Spirit,7,Malaga
18th,Cosmopolitan Classics,Thomson Discovery,7,Palma
"2nd, 30th",Croatian Classics,Thomson Celebration,7,Dubrovnik
9th,Grecian Legends,Thomson Celebration,7,Dubrovnik
3rd,Hellenic Classics,Thomson Dream,7,Corfu Town
"11th, 25th",Highlights of the Mediterranean,Thomson Discovery,7,Palma
12th,Iberian Treasures,Thomson Spirit,7,Malaga
17th,Iconic Islands,Thomson Dream,7,Corfu Town
28th,Mediterranean Medley,Thomson Majesty,7,Palma
14th,Moorish Delights,Thomson Majesty,7,Palma
26th,Spanish Sunsets,Thomson Spirit,7,Malaga
19th,Spirit of Iberia,Thomson Spirit,7,Malaga
23rd,Taste of the Adriatic,Thomson Celebration,7,Dubrovnik
"7th, 21st",Treasures of the Mediterranean,Thomson Majesty,7,Palma
