Players,Min,FG,3pt,FT,Off,Def,Reb,Ast,TO,Stl,Blk,PF,P
Tia FaleruDFP,22,7-15,0-1,0-1,3,0,3,1,2,3,0,4,14
Gracie FrizzellDFP,35,4-11,3-8,0-0,1,2,3,0,2,0,0,1,11
Valencia McFarlandDFP,38,4-13,1-5,0-0,1,3,4,4,2,2,0,4,9
Maggie McFerrinDFP,24,2-6,2-5,2-2,0,1,1,0,1,3,0,0,8
Courtney MarbraDFP,30,1-10,0-1,3-4,9,6,15,0,0,4,1,3,5
Danielle McCrayDFP,19,1-10,0-1,2-3,3,2,5,2,1,0,0,4,4
Kenyotta JenkinsDFP,10,1-6,0-1,0-0,2,0,2,0,3,0,0,5,2
Monique JacksonDFP,10,1-5,0-0,0-0,3,0,3,0,1,0,0,0,2
Diara MooreDFP,12,0-1,0-1,0-0,0,3,3,2,2,1,0,0,0
Totals,,21-77,6-23,7-10,22,17,39,9,14,13,1,21,55
Percentages,,27.3%,26.1%,70.0%,,,,,,,,,
