Effective edge (mm),1055,1085,1115,1155
Contact lenght (mm),950,975,1005,1025
Nose width (mm),276,276,279,283
Waist width (mm),236,236,239,241
Tail width (mm),276,276,279,283
Rider weight (Kg),35 - 55,40 - 60,45 - 65,50 - 70
Recom stance,505 (19.9),520 (20.49),530 (20.88),540 (21.28)
Side cut radius (m),7,7,7.4,7.6
Delta,105,110,110,130
Set back,10,10,10,10
Rider weight (lbs),77. - 121.,88. - 132.,99. - 143.,110. - 154.
Nose length (mm),230,235,240,250
Tail length (mm),220,225,230,240
Shape,140 / SL-BS-140A,144 / SL-BS-144E,148 / SL-BS-148D,152 / SL-BS-152F
Maxi stance,561 (22.1),576 (22.7),586 (23.1),596 (23.5)
Recom Bind Size,S/M,S/M,S/M,S/M
Recom Boot Size,235 / 255,235 / 265,235 / 265,245 / 275
