No. in series,No. in season,Title,Directed by,Written by,Original air date,Production code,U.S. viewers (million)
54,1,"""Sovereign""",Paris Barclay,Kurt Sutter,"September 11, 2012 (2012-09-11)",5WAB01,5.37[45]
55,2,"""Authority Vested""",Peter Weller,Regina Corrado,"September 18, 2012 (2012-09-18)",5WAB02,4.17[46]
56,3,"""Laying Pipe""",Adam Arkin,Kem Nunn & Liz Sagal & Kurt Sutter,"September 25, 2012 (2012-09-25)",5WAB03,3.80[47]
57,4,"""Stolen Huffy""",Paris Barclay,Chris Collins,"October 2, 2012 (2012-10-02)",5WAB04,4.60[48]
58,5,"""Orca Shrugged""",Gwyneth Horder-Payton,Regina Corrado & Kurt Sutter,"October 9, 2012 (2012-10-09)",5WAB05,4.34[49]
59,6,"""Small World""",Adam Arkin,Roberto Patino,"October 16, 2012 (2012-10-16)",5WAB06,4.03[50]
60,7,"""Toad's Wild Ride""",Peter Weller,Kurt Sutter & Chris Collins,"October 23, 2012 (2012-10-23)",5WAB07,4.30[51]
61,8,"""Ablation""",Karen Gaviola,Mike Daniels,"October 30, 2012 (2012-10-30)",5WAB08,4.58[52]
62,9,"""Andare Pescare""",Billy Gierhart,Liz Sagal & Kurt Sutter,"November 6, 2012 (2012-11-06)",5WAB09,3.96[53]
63,10,"""Crucifixed""",Guy Ferland,Kem Nunn,"November 13, 2012 (2012-11-13)",5WAB10,4.58[54]
64,11,"""To Thine Own Self""",Paris Barclay,Mike Daniels & John Barcheski & Kurt Sutter,"November 20, 2012 (2012-11-20)",5WAB11,4.23[55]
65,12,"""Darthy""",Peter Weller,Chris Collins & Kurt Sutter,"November 27, 2012 (2012-11-27)",5WAB12,4.25[56]
66,13,"""J'ai Obtenu Cette""",Kurt Sutter,Kurt Sutter & Chris Collins,"December 4, 2012 (2012-12-04)",5WAB13,4.66[57]
