Photo,Name,Category,Primary source,Date available,Projects,
,A Harvest of Friends,Blanket,Happy Yellow House,August 2011,8,167
,Amish Baskets Quilt,Blanket,Happy Yellow House,January 2008,8,216
,Amish Star Crochet Lapghan,Blanket,Happy Yellow House,2008,12,350
,Arqylesque,Blanket,Happy Yellow House,August 2011,4,150
,Art Deco Crochet Quilt,Blanket,Happy Yellow House,August 2011,2,91
,Ava-Lynn Baby Blanket,Blanket,Happy Yellow House,August 2011,6,210
,Baby Baubles Baby Blanket,Blanket,Happy Yellow House,2007,25,328
,Baby Blocks Crochet Quilt,Blanket,Happy Yellow House,August 2011,17,681
,Baby Gingham,Blanket,Happy Yellow House,2007,16,195
,Becky's Blocks Afghan,Blanket,Happy Yellow House,August 2011,8,177
,Big Top Crochet Quilt,Blanket,Happy Yellow House,August 2011,,79
,Blackford's Beauty Crochet Quilt,Blanket,Happy Yellow House,2000,5,320
,Casablanca Crochet Quilt,Blanket,Happy Yellow House,2002,32,566
,CD & DVD Gift Bags,Home,Happy Yellow House,August 2011,1,69
,Clay's Choice Crochet Quilt,Blanket,Happy Yellow House,November 2008,5,196
,Country Check Crochet Quilt,Blanket,Happy Yellow House,August 2011,5,186
,Country Hearts Crochet Quilt,Blanket,Happy Yellow House,February 2008,1,161
,County Fair Crochet Quilt,Blanket,Happy Yellow House,2000,3,160
,Criss Cross,Blanket,Happy Yellow House,February 2008,,60
,Crochet Scarecrow Doll,Toys,Happy Yellow House,August 2001,8,165
,Cuddles Cuddle Quilt,Blanket,Happy Yellow House,August 2011,1,97
,Daisy Duffle Bag,Bag,Happy Yellow House,2007,18,375
,Desert Star Crochet Quilt,Blanket,Happy Yellow House,April 2009,20,865
,Diamonds and Wheels Crochet Quilt,Blanket,Happy Yellow House,August 2011,,89
,Do-Si-Do Lapghan,Blanket,Happy Yellow House,2007,4,88
