Name,Transcript ID,bp,Protein,Translation ID,Biotype,CCDS,UniProt,RefSeq,Flags
PDPK1-001,ENST00000342085,7241,556aa,ENSP00000344220,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,CCDS10472,O15530,NM_002613 NP_002604,"Transcript Support Level 1, when transcripts are supported by at least one non-suspect mRNA.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:1The GENCODE set is the gene set for human and mouse. GENCODE Basic is a subset of representative transcripts (splice variants).GENCODE basicPRINCIPAL1 - APPRIS candidate principal isoform.APPRIS is a system to annotate alternatively spliced transcripts based on a range of computational methods.APPRIS P1"
PDPK1-002,ENST00000268673,4728,429aa,ENSP00000268673,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,CCDS10473,O15530,NM_031268 NP_112558,"Transcript Support Level 1, when transcripts are supported by at least one non-suspect mRNA.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:1The GENCODE set is the gene set for human and mouse. GENCODE Basic is a subset of representative transcripts (splice variants).GENCODE basic"
PDPK1-013,ENST00000441549,1729,454aa,ENSP00000395357,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,CCDS58411,O15530,NM_001261816 NP_001248745,"Transcript Support Level 1, when transcripts are supported by at least one non-suspect mRNA.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:1The GENCODE set is the gene set for human and mouse. GENCODE Basic is a subset of representative transcripts (splice variants).GENCODE basic"
PDPK1-003,ENST00000389224,2416,529aa,ENSP00000373876,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,-,E9PER6,-,"Transcript Support Level 2, when transcripts are supported by multiple ESTs or by an mRNA flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:2The GENCODE set is the gene set for human and mouse. GENCODE Basic is a subset of representative transcripts (splice variants).GENCODE basic"
PDPK1-008,ENST00000461815,611,149aa,ENSP00000455551,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,-,H3BQ10,-,"3' truncation in transcript evidence prevents annotation of the end of the CDS.CDS 3' incompleteTranscript Support Level 3, when transcripts are supported by a single EST only.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:3"
PDPK1-015,ENST00000566659,451,88aa,ENSP00000455492,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,-,H3BPW1,-,"3' truncation in transcript evidence prevents annotation of the end of the CDS.CDS 3' incompleteTranscript Support Level 3, when transcripts are supported by a single EST only.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:3"
PDPK1-006,ENST00000474706,699,35aa,ENSP00000455025,"Transcript is thought to undergo nonsense mediated decay, a process which detects nonsense mutations and prevents the expression of truncated or erroneous proteins. Nonsense mediated decay",-,H3BNV5,-,"Transcript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5"
PDPK1-007,ENST00000492021,552,55aa,ENSP00000455684,"Transcript is thought to undergo nonsense mediated decay, a process which detects nonsense mutations and prevents the expression of truncated or erroneous proteins. Nonsense mediated decay",-,H3BQA3,-,"Transcript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5"
PDPK1-012,ENST00000478708,445,40aa,ENSP00000455438,"Transcript is thought to undergo nonsense mediated decay, a process which detects nonsense mutations and prevents the expression of truncated or erroneous proteins. Nonsense mediated decay",-,H3BPR5,-,"5' truncation in transcript evidence prevents annotation of the start of the CDS.CDS 5' incompleteTranscript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5"
PDPK1-011,ENST00000471311,621,No protein,-,Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,-,-,"Transcript Support Level 3, when transcripts are supported by a single EST only.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:3"
PDPK1-017,ENST00000561962,570,No protein,-,Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,-,-,"Transcript Support Level 4, for transcripts supported by an EST flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:4"
PDPK1-009,ENST00000460496,569,No protein,-,Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,-,-,"Transcript Support Level 4, for transcripts supported by an EST flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:4"
PDPK1-016,ENST00000462923,550,No protein,-,Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,-,-,"Transcript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5"
PDPK1-010,ENST00000464702,511,No protein,-,Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,-,-,"Transcript Support Level 2, when transcripts are supported by multiple ESTs or by an mRNA flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:2"
PDPK1-018,ENST00000569721,330,No protein,-,Transcripts that don't contain an open reading frame (ORF) and cannot be placed in one of the other categories.Processed transcript,-,-,-,"Transcript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5"
PDPK1-005,ENST00000491073,2387,No protein,-,Alternatively spliced transcript that is believed to contain intronic sequence relative to other coding transcripts in a given locus.Retained intron,-,-,-,"Transcript Support Level 1, when transcripts are supported by at least one non-suspect mRNA.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:1"
PDPK1-014,ENST00000570136,1125,No protein,-,Alternatively spliced transcript that is believed to contain intronic sequence relative to other coding transcripts in a given locus.Retained intron,-,-,-,"Transcript Support Level 2, when transcripts are supported by multiple ESTs or by an mRNA flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:2"
