Release date,Release
"May 23, 2013","See, Hear Rich History from the Minnesota River Valley in Expanded Mobile Tour"
"May 15, 2013","Explore Nature, American Indian History and More at the Jeffers Petroglyphs Historic Site in June"
"May 15, 2013","Learn About the Fur Trade, the Art of Moccasin Making and Stone Tools in June at the North West Company Fur Post"
"May 15, 2013","Dakota Dance, Bread and Butter Day and Summer Camp this June at Historic Forestville"
"May 15, 2013",Free Family Day and Living History Tours at the Charles A. Lindbergh Historic Site
"May 15, 2013",Forest Edibles and the Lumberjack Life This June at the Forest History Center
"May 15, 2013",Dream Catcher Kids Craft and Birch Bark Harvest Workshop at Mille Lacs Indian Museum and Trading Post in June
"May 10, 2013",MEDIA ALERT: Free Admission Sunday at History Center for Museums May
"May 8, 2013",Split Rock Light House Rings in June With Open House and Children's Day
"May 8, 2013","Dancing on the 'Powwow Trail' Focus of New Photography Exhibit at Mille Lacs Indian Museum, May 15 - Aug. 18"
"May 7, 2013",Hear Hibbing History in New Audio Tour
"May 6, 2013",Winners of the 2013 State History Day Competition Announced
"May 4, 2013",Winners Announced Today for 'Dear President Lincoln' Student Writing Contest
"May 2, 2013",PHOTO OPP: Join in the Frenzy at the State History Day Competition Saturday
"May 1, 2013","Learn About 1857, Alexander Ramsey: Secretary of War, Vintage Bicycles and Summer Camps Offered in June"
"May 1, 2013",Celebrate the Return of Summer With WWII Events and Summer Camps at Historic Fort Snelling in June
"May 1, 2013",Explore the Historic Summit Avenue Neighborhood and Discover Hidden History at the James J. Hill House this June
"May 1, 2013","Meet the Animals, Celebrate Father's Day and Children's Day at the Oliver H. Kelley Farm in June"
"May 1, 2013","Architecture, Food and Pub Crawls Plus Kids Activities at the History Center in June"
"May 1, 2013",Mill City Museum Offers a Variety of Tours in June
"May 1, 2013",New Minnesota Museums App Makes Finding Fun Easier Than Ever
