Time (GMT),Guild,world,region,realm
"Jan 12, 2011 22:30",Spiters,83,1,1
"Feb 17, 2011 22:44",Augure,413,1,2
"Apr 4, 2011 19:45",Refuge,1690,1,3
"Apr 6, 2011 21:16",Mohr,1741,1,4
"May 3, 2011 20:31",BossBusters,2489,1,5
"May 12, 2011 20:30",Nemesis,2910,1,6
"May 26, 2011 21:43",Obviam Dei,3535,1,7
"Jun 1, 2011 21:15",Fureur,3734,1,8
"Jun 20, 2011 21:32",Radical,4331,1,9
"Jul 24, 2011 19:36",Ombres et Chaos,4648,1,10
"Sep 11, 2011 20:23",PhГ¶enix,5411,1,11
"Nov 13, 2011 21:10",I Legacy I,6735,1,12
"Nov 20, 2011 22:52",Rumeur,6870,1,13
