SHOW,CITY,STATE,DATE,BREED,ENTRY,DOG PTS,BITCH PTS
Connecticut River Working Group Association,W Springfield,MA,03/14/09,Port Water Dogs,,,
Connecticut River Working Group Association,W Springfield,MA,03/14/09,Port Water Dogs,,,
"Union County Kennel Club, Inc.",Wildwood,NJ,02/02/11,Port Water Dogs,17,0,1
"Central Indiana Kennel Club, Inc.",Indianapolis,IN,02/12/11,Port Water Dogs,,,
"Putnam Kennel Club, Inc.",Stormville,NY,07/23/11,Port Water Dogs,6,1,0
Elm City Kennel Club,W Springfield,MA,08/26/11,Port Water Dogs,12,1,3
Tyler Texas Kennel Club,Canton,TX,10/16/11,Port Water Dogs,,,
"Gloucester County Kennel Club, Inc.",Buena,NJ,10/22/11,Port Water Dogs,,,
"Lake Mathews Kennel Club, Inc.",Chino,CA,04/28/12,Port Water Dogs,,,
St. Hubert Kennel Club,N Stonington,CT,05/11/12,Port Water Dogs,11,1,2
"Inland Empire Kennel Association, Inc.",Coeur D'Alene,ID,07/14/12,Port Water Dogs,,,
"Riverhead Kennel Club, Inc.",Yaphank,NY,07/14/12,Port Water Dogs,7,1,1
Chambersburg Area Kennel Club,Centre Hall,PA,07/19/12,Port Water Dogs,,,
"Danville Kennel Club, Inc.",Greensboro,NC,08/16/12,Port Water Dogs,6,1,0
Mississippi State Kennel Club,Jackson,MS,09/15/12,Port Water Dogs,,,
"Suffolk County Kennel Club, Inc.",St James,NY,09/29/12,Port Water Dogs,,,
Madera Canyon Kennel Club,Tucson,AZ,11/09/12,Port Water Dogs,,,
"Progressive Dog Club Of Wayne County, Inc. (BREED/OBED #1)",Birch Run,MI,04/27/13,Port Water Dogs,12,1,1
"Memphis Kennel Club, Inc.",Southaven,MS,08/18/13,Port Water Dogs,,,
Cypress Creek Kennel Club Of Texas,Houston,TX,11/10/13,Port Water Dogs,,,
Worcester County Kennel Club,Worcester,MA,11/30/13,Port Water Dogs,14,1,1
"Rhode Island Kennel Club, Inc.",Warwick,RI,04/13/14,Port Water Dogs,9,2,1
"Susque-nango Kennel Club, Inc.",Apalachin,NY,08/14/14,Port Water Dogs,,,
"Butler County Kennel Club, Inc.",Prospect,PA,09/20/14,Port Water Dogs,11,0,1
Sand And Sea Kennel Club,Wildwood,NJ,01/30/15,Port Water Dogs,,,
Lakeland Winter Haven Kennel Club,Lakeland,FL,02/14/15,Port Water Dogs,,,
,,,,,,,
