Job,Updated,Location,Duration
Communications Director Office of City Council Member Ben Kallos,1 week ago,"New York, NY",Full Time
Brand Marketing/PR Account Executive AROS Communications,1 week ago,"New York, NY",Full Time
"Publications Coordinator, Communications Carnegie Endowment for International Peace",1 week ago,"Washington, DC",Full Time
"Associate Digital Editor, Arts & Entertainment Boston Magazine",1 week ago,"Boston, MA",Full Time
"Associate Digital Editor, Restaurants Boston Magazine",1 week ago,"Boston, MA",Full Time
Deputy Digital Editor Boston Magazine,1 week ago,"Boston, MA",Full Time
Social Media Content Producer Columbia University Department of Surgery,1 week ago,"New York, NY",Full Time
Assistant Account Executive The Decker Royal Agency,1 week ago,"New York, NY",Full Time
"Production Assistant, Scripts & Manager, Desk Assistant PBS NewsHour (NewsHour Productions, LLC)",1 week ago,"Washington, DC",Full Time
"Reporter Producer, Segment Unit PBS NewsHour (NewsHour Productions, LLC)",1 week ago,"Washington, DC",Full Time
Sales Associate Kill Screen Media,1 week ago,"Brooklyn, NY",Full Time
"Editorial Assistant, POPSUGAR Latina POPSUGAR",1 week ago,"New York, NY",Full Time
"Assistant Editor, POPSUGAR Living POPSUGAR",1 week ago,"New York, NY",Full Time
"Senior Associate, Digital The Pew Charitable Trusts",1 week ago,"Washington, DC",Full Time
Runner's World Midwest Sales Director Rodale,1 week ago,"Chicago, IL",Full Time
Social Media PR The Baddish Group,1 week ago,"New York, NY",Full Time
"Corporate Partnerships Director, CNMG CondГ© Nast",1 week ago,New York,Full Time
"Online Video Content Manager Outdoor Sportsman Group, Integrated Media",1 week ago,"New York, NY",Full Time
Audience Development Associate The Baffler Foundation,1 week ago,"New York, NY",Full Time
Senior Art Director National Celebrity News Organization,1 week ago,"New York, NY",Full Time
Web Designer Palm Beach Research Group,1 week ago,"Baltimore, MD",Full Time
Senior Legal Editor - Criminal Law Bloomberg BNA,1 week ago,"Arlington, VA",Full Time
Senior Communications Specialist Columbia University - School of Nursing,1 week ago,"New York, NY",Full Time
Fall Internship Lancome,1 week ago,"New York, NY",Internship
HBO Social Media Research Analyst HBO,1 week ago,"New York, NY",Full Time
Marketing and Communications Assistant (Part Time) Prospect Park Alliance,1 week ago,"Brooklyn, NY",Part Time
Exhibits and Marketing Assistant Guilford Press,1 week ago,"New York, NY",Full Time
Media Negotiator Quad Graphics,1 week ago,"Greenville, SC",Full Time
Manuscript Editor Massachusetts Medical Society,1 week ago,"Boston, MA",Full Time
Senior Graphic Designer Schweitzer Engineering Laboratories,1 week ago,"Pullman, WA",Full Time
Marketing Manager BRIC,1 week ago,"Brooklyn, NY",Full Time
Social Media Strategist Verisk Analytics,1 week ago,"Jersey City, NJ",Full Time
Digital & Social Media Marketing Assistant BRIC,1 week ago,"Brooklyn, NY",Full Time
Freelance Associate Web Producer TWC Sports,1 week ago,"El Segundo, CA",Part Time
Digital Strategist/Product Owner Macmillan,1 week ago,"New York, NY",Full Time
Digital Marketing Specialist Fit Small Business,1 week ago,"New York, NY",Full Time
Advertising Operations Director SLAM/FlyQ Media,1 week ago,"New York, NY",Full Time
Producer - Upfront Al Jazeera English,1 week ago,"Washington, DC",Full Time
"Partner Manager, Facebook Acxiom",1 week ago,"New York, NY",Full Time
Editor at Large New York Nonprofit Media,1 week ago,"New York, NY",Full Time
Production Coordinator National Celebrity News Organization,1 week ago,"New York, NY",Full Time
SEO Specialist Creative Circle,1 week ago,"Lawrenceville, GA",Full Time
Managing Editor Global Finance Magazine,1 week ago,"New York, NY",Full Time
Demand Generation Manager World Education Services,1 week ago,"New York, NY",Full Time
Managing Editor Taylor & Francis,1 week ago,"Philadelphia, PA",Full Time
Digital Traffic Intern вЂ” Fall 2015 Mediaplanet,1 week ago,"New York, NY",Internship
Senior Director West End Strategy Team,1 week ago,"Washington, DC",Full Time
"Sales & Marketing Manager International Awards Group, LLC.",1 week ago,"New York, NY",Full Time
Senior Web Journalist DiversityInc,1 week ago,"Princeton, NJ",Full Time
"Direct Sales Manager Music Times, LLC",1 week ago,"New York, NY",Full Time
