4W,3.5W,35W,---
5W,4.5W,37.5W,22W
5.5W,5W,38W,23.5W
6M,5.5M,38.5M,24M
6W,5.5W,38.5W,24W
6XW,5.5XW,38.5XW,24XW
6.5M,6M,39M,24.5M
6.5W,6W,39W,24.5W
6.5XW,6XW,39XW,24.5XW
7N,6.5N,40N,25N
7M,6.5M,40M,25M
7W,6.5W,40W,25W
7XW,6.5XW,40XW,25XW
7.5N,7N,40.5N,25.5N
7.5M,7M,40.5M,25.5M
7.5W,7W,40.5W,25.5W
7.5XW,7XW,40.5XW,25.5XW
8N,7.5N,41N,26N
8M,7.5M,41M,26M
8W,7.5W,41W,26W
8XW,7.5XW,41XW,26XW
8.5N,8N,42N,26.5N
8.5M,8M,42M,26.5M
8.5W,8W,42W,26.5W
8.5XW,8XW,42XW,26.5XW
9N,8.5N,42.5N,27N
9M,8.5M,42.5M,27M
9W,8.5W,42.5W,27W
9XW,8.5XW,42.5XW,27XW
9.5N,9N,43N,27.5N
9.5M,9M,43M,27.5M
9.5W,9W,43W,27.5W
9.5XW,9XW,43XW,27.5XW
10N,9.5N,44N,28N
10M,9.5M,44M,28M
10W,9.5W,44W,28W
10XW,9.5XW,44XW,28XW
10.5N,10N,44.5N,28.5N
10.5M,10M,44.5M,28.5M
10.5W,10W,44.5W,28.5W
10.5XW,10XW,44.5XW,28.5XW
11N,10.5N,45N,29N
11M,10.5M,45M,29M
11W,10.5W,45W,29W
11XW,10.5XW,45XW,29XW
11.5N,11N,46N,29.5N
11.5M,11M,46M,29.5M
11.5W,11W,46W,29.5W
11.5XW,11XW,46XW,29.5XW
12N,11.5N,46.5N,30N
12M,11.5M,46.5M,30M
12W,11.5W,46.5W,30W
12XW,11.5XW,46.5W,30XW
12.5N,12N,47N,30.5N
12.5M,12M,47M,30.5M
12.5W,12W,47W,30.5W
12.5XW,12XW,47XW,30.5XW
13N,12.5N,47.5N,31N
13M,12.5M,47.5M,31M
13W,12.5W,47.5W,31W
13XW,12.5XW,47.5XW,31XW
14N,13.5N,49N,32N
14M,13.5M,49M,32M
14W,13.5W,49W,32W
14XW,13.5XW,49XW,32XW
15N,14.5N,50N,33N
15M,14.5M,50M,33M
15W,14.5W,50W,33W
15XW,14.5XW,50XW,33XW
16M,15.5M,51.5M,34M
16W,15.5W,51.5W,34W
16XW,15.5XW,51.5XW,34XW
17M,16.5M,53M,35M
18M,17.5M,54M,---
