1 B,2 A,3 T,4 H,,5 D,6 A,7 M,8 P,9 S,10 A,11 D,12 A,13 M
14 O,G,E,E,,15 E,L,I,O,T,16 L,O,B,O
17 S,H,A,N,,S,M,A,R,E,19 A,U,E,R
20 C,A,R,R,22 E,T,S,,21 T,R,M,B,L,E
,,,23 I,O,I,,,,24 N,E,L,,
25 P,26 A,27 S,S,N,N,28 T,,29 F,E,D,E,30 R,31 S
32 O,R,O,,35 S,E,R,34 V,E,,A,T,A,N
36 S,I,F,37 T,,38 S,O,I,L,39 S,40 S,A,M,E
41 E,S,T,E,44 S,,43 A,N,T,E,,45 L,I,E
46 R,E,P,A,A,47 R,S,,48 S,P,49 N,K,E,R
,,50 E,R,H,O,,,,51 A,A,,,
52 M,53 A,D,O,I,N,54 A,,55 T,R,P,56 L,57 E,58 T
59 A,L,A,S,B,60 D,R,61 A,W,A,L,A,N,K
62 R,I,L,E,,63 E,C,L,A,T,64 E,C,T,O
65 C,A,S,S,,66 L,A,P,S,E,67 S,E,E,S
