Number,Quarter Equiv,Course Title,Credits,Requisites,Exclusions
1110,CSE 100,Introduction to Computing Technology,2.0,,Not open to students with credit for CSE 1111 or CSE 1113 or CSE 100 or CSE 101
1111,CSE 101,Introduction to Computer-Assisted Problem Solving,3.0,,Not open to students with credit for CSE 1112 or CSE 1113 or CSE 101 or CSE 105 or CSE 200
1112,CSE 105,Introduction to Computer-Assisted Problem Solving for Construction Systems Management,3.0,,Not open to students with credit for CSE 1111 or CSE 1113 or CSE 101 or 105 or CSE 200
1113,,Spreadsheet Programming for Business,1.0,(Math 1130 or higher) or (Math 130 or higher under quarters),Not open to students with credit for CSE 1111 or CSE 1112 or CSE 2111 or CSE 101 or CSE 105 or CSE 200
1114,,Introduction to databases using MS Access,1.5,,Not open to students with credit for CSE 1111 or 1112 or 2111 or CSE 101 or CSE 105 or CSE 200.
1211,CSE 203 and CSE 204,"Computational Thinking in Context: Images, Animation, and Games",3.0,,Not open to students with credit for CSE 203 or CSE 204
1212,,Computational Thinking in Context: Mobile Applications,3.0,,
1221,CSE 205,Introduction to Computer Programming in MATLAB for Engineers and Scientists,2.0,Engr 1181 or Engr 1281 or Engr 181 or Engr 191 or ((Math 1151 or Math 1161 or Math 151 or Math 161) and (Phys 1250 or Phys 131)),Not open to students with credit for Engr 1221 or CSE 205
1222,CSE 202,Introduction to Computer Programming in C++ for Engineers and Scientists,3.0,co-req: Math 1151 or Math 1161,Not open to students with credit for Engr 1281.01 or Engr 1281.02 or CSE 202
1223,CSE 201,Introduction to Computer Programming in Java,3.0,,Not open to students with credit for CSE 201
2021,,Introduction to Modeling and Simulation,3.0,"Math 1151 (152) or equivalent, Phys 1250 (131)",Not open to students with credit for ENGR 1221 or CSE 1221
2111,CSE 200,Modeling and Problem Solving with Spreadsheets and Databases,3.0,(Math 1130 or higher) or (Math 130 or higher under quarters),Not open to students with credit for CSE 1111 or CSE 1112 or CSE 101 or CSE 105 or CSE 200
2112,,Modeling and Problem Solving with Spreadsheets and Databases for Engineers,3.0,"1211 (203) or 1212 or 1221 (205) or 1222 (202) or 1223 (201) or 204 or EnGraph 167 or Engr 1221, or 1281.01H, or 1281.02H, or CSE Placement Level A. Pre-req or Concur: Math 1151 or 1161.01 or 1161.02","Not open to students with credit for CSE 2111, 1111 or 1112 or 1113 or CSE 101 or CSE 105 or CSE 200."
