Index,Lap,Laptime
1,1,16.813
,,
2,2,16.535
,,
3,3,16.475
,,
4 - Y-Score,4,23.886
,,
5 - Y-Score,5,31.604
,,
6 - Y-Score,6,31.989
,,
7 - Y-Score,7,29.295
,,
8 - Y-Score,8,36.028
,,
9 - Y-Score,9,30.132
,,
10,10,29.403
,,
11,11,17.053
,,
12,12,16.254
,,
13,13,16.254
,,
14,14,16.294
,,
15,15,16.139
,,
16,16,16.110
,,
17,17,16.228
,,
18,18,16.351
,,
19,19,16.307
,,
20,20,16.372
,,
21,21,16.609
,,
22,22,16.864
,,
23,23,16.234
,,
24,24,16.297
,,
25,25,16.401
,,
26,26,16.544
,,
27,27,16.723
,,
28,28,16.709
,,
29,29,16.775
,,
30,30,16.940
,,
31 - Y-Score,31,20.797
,,
32 - Y-Score,32,25.833
,,
33 - Y-Score,33,31.334
,,
34 - Y-Score,34,34.814
,,
35 - Y-Score,35,37.338
,,
36,36,28.647
,,
37,37,16.636
,,
38 - Y-Score,38,32.825
,,
39 - Y-Score,39,34.913
,,
40,40,28.848
,,
41,41,16.587
,,
42,42,16.419
,,
43,43,16.632
,,
44,44,16.420
,,
45,45,16.283
,,
46,46,16.182
,,
47,47,16.155
,,
48,48,16.391
,,
49,49,16.285
,,
50,50,16.535
,,
51,51,16.672
,,
52,52,16.581
,,
53,53,16.859
,,
54 - Y-Score,54,21.549
,,
55 - Y-Score,55,36.701
,,
56,56,29.662
,,
57,57,16.995
,,
58,58,16.470
,,
59,59,16.261
,,
60,60,16.332
,,
61 - Y-Score,61,25.348
,,
62 - Y-Score,62,45.688
,,
63 - Y-Score,63,58.728
,,
64 - Y-Score,64,52.350
,,
65 - Y-Score,65,54.294
,,
66 - Y-Score,66,44.691
,,
67 - Y-Score,67,41.193
,,
68,68,27.842
,,
69,69,16.774
,,
70,70,16.469
,,
71,71,16.259
,,
72,72,16.190
,,
73,73,16.053
,,
74,74,16.062
,,
75,75,16.303
,,
76,76,16.337
,,
77,77,16.394
,,
78,78,16.364
,,
79,79,16.377
,,
80,80,16.351
,,
81,81,16.575
,,
82,82,16.720
,,
83,83,16.522
,,
84,84,16.475
,,
85,85,16.543
,,
86,86,16.473
,,
87,87,16.207
,,
88,88,16.135
,,
89,89,16.261
,,
90,90,16.203
,,
91,91,16.389
,,
92,92,16.945
,,
93,93,16.394
,,
94,94,16.346
,,
95,95,16.457
,,
96,96,16.147
,,
97,97,16.194
,,
98,98,16.308
,,
99,99,16.340
,,
100,100,16.316
,,
