е›Ѕе®¶еђЌз§°,2010,2011,2012,2013,
дёЌдё№,183,195,217,179,
дёњеёќж±¶,273,249,246,219,
дё­е›Ѕ,0,-1,-0,-0,
дё­е›ЅеЏ°ж№ѕ,,,,,
дё­е›Ѕжѕій—Ёз‰№е€«иЎЊж”їеЊє,,,,,
дё­е›Ѕй¦™жёЇз‰№е€«иЎЊж”їеЊє,,,,,
дё­йќће…±е’Ње›Ѕ,60,61,50,41,
дё№йє¦,,,,,
д№Ње…‹е…°,14,18,17,18,
д№Ње…№е€«е…‹ж–Їеќ¦,8,7,9,10,
д№Ње№Іиѕѕ,51,45,46,45,
д№Њж‹‰ењ­,14,6,6,11,
д№Ќеѕ—,41,38,38,31,
д№џй—Ёе…±е’Ње›Ѕ,29,20,30,41,
дєљзѕЋе°јдєљ,116,135,92,98,
д»Ґи‰Іе€—,,,,,
дјЉж‹‰е…‹,71,60,40,46,
дјЉжњ—дјЉж–Їе…°е…±е’Ње›Ѕ,2,1,2,2,
дјЇе€©е…№,80,71,78,149,
дЅ›еѕ—и§’,672,514,498,488,
дї„зЅ—ж–ЇиЃ”й‚¦,,,,,
дїќеЉ е€©дєљ,,,,,
е…‹зЅ—ењ°дєљ,34,,,,
е…іеІ›,,,,,
е†€жЇ”дєљ,72,78,77,60,
е†°еІ›,,,,,
е‡ е†…дєљ,20,18,30,43,
е‡ е†…дєљжЇ”з»Ќе…±е’Ње›Ѕ,79,74,47,61,
е€—ж”Їж•¦еЈ«з™»,,,,,
е€љжћњпј€еёѓпј‰,319,61,32,34,
е€љжћњпј€й‡‘пј‰,56,87,44,38,
е€©жЇ”дєљ,1,105,14,21,
е€©жЇ”й‡Њдєљ,358,187,136,124,
еЉ ж‹їе¤§,,,,,
еЉ зєі,70,73,71,51,
еЉ и“¬,67,46,45,54,
еЊ€з‰™е€©,,,,,
еЊ—й©¬й‡Њдєљзєізѕ¤еІ›,,,,,
еЌ—и‹Џдё№,,105,146,128,
еЌ—йќћ,20,27,20,24,
еЌљиЊЁз“¦зєі,79,60,37,54,
еЌЎеЎ”е°”,,,,,
еЌўж—єиѕѕ,95,113,77,92,
еЌўжЈ®е Ў,,,,,
еЌ°еє¦,2,3,1,2,
еЌ°еє¦е°јиҐїдєљ,6,2,0,0,
еЌ±ењ°й©¬ж‹‰,27,26,20,32,
еЋ„з“ње¤ље°”,10,10,10,9,
еЋ„з«‹з‰№й‡Њдєљ,28,22,22,13,
еЏ¤е·ґ,11,8,8,9,
еђ‰е°”еђ‰ж–Їж–Їеќ¦,70,95,84,94,
еђ‰еёѓжЏђ,159,167,171,175,
е“€иђЁе…‹ж–Їеќ¦,14,13,8,5,
е“Ґдј¦жЇ”дєљ,19,22,16,18,
е“Ґж–Їиѕѕй»ЋеЉ ,20,9,7,8,
е–Ђйє¦йљ†,26,29,27,33,
е›ѕз“¦еЌў,"1,356","3,941","2,484","2,703",
ењџеє“ж›јж–Їеќ¦,9,8,7,7,
ењџиЂіе…¶,15,44,41,37,
ењЈеЌўиҐїдєљ,232,197,148,133,
ењЈеџєиЊЁе’Ње°јз»ґж–Ї,218,303,409,541,
ењЈе¤љзѕЋе’Њж™®жћ—иҐїжЇ”,277,395,259,268,
ењЈж–‡жЈ®з‰№е’Њж јжћ—зєідёЃж–Ї,154,163,78,69,
ењЈй©¬дёЃ(иЌ·е±ћ),,,,,
ењЈй©¬дёЃпј€жі•е±ћпј‰,,,,,
ењЈй©¬еЉ›иЇє,,,,,
ењ­дєљй‚Ј,212,201,144,127,
еќ¦жЎ‘е°јдєљ,66,53,59,70,
еџѓеЎћдї„жЇ”дєљ,40,40,36,41,
еџєй‡Ње·ґж–Ї,233,644,642,630,
еЎ”еђ‰е…‹ж–Їеќ¦,57,44,49,47,
еЎће†…еЉ е°”,72,80,79,70,
еЎће°”з»ґдєљ,90,191,151,109,
еЎћж‹‰е€©ж‚,81,73,74,73,
еЎћжµ¦и·Їж–Ї,,,,,
еЎћи€Ње°”,624,253,403,283,
еўЁиҐїе“Ґ,4,8,3,5,
е¤ље“Ґ,64,84,36,32,
е¤љз±іе°је…‹,456,344,358,276,
е¤љз±іе°јеЉ е…±е’Ње›Ѕ,17,22,25,14,
е¤§йџ©ж°‘е›Ѕ,,,,,
еҐҐењ°е€©,,,,,
е§”е†…з‘ћж‹‰зЋ»е€©з“¦е°”е…±е’Ње›Ѕ,2,2,2,1,
е­џеЉ ж‹‰е›Ѕ,9,10,14,17,
е®‰е“Ґж‹‰,12,10,12,13,
е®‰жЏђз“ње’Ње·ґеёѓиѕѕ,219,174,26,17,
е®‰йЃ“е°”е…±е’Ње›Ѕ,,,,,
еЇ†е…‹зЅ—е°јиҐїдєљиЃ”й‚¦,"1,208","1,297","1,113","1,381",
е°јеЉ ж‹‰з“њ,114,118,89,82,
е°јж—Ґе€©дєљ,13,11,11,15,
е°јж—Ґе°”,47,39,53,43,
е°јжіЉе°”,30,33,28,31,
е·ґе“€й©¬,,,,,
е·ґеџєж–Їеќ¦,17,20,11,12,
е·ґе·ґе¤љж–Ї,58,,,,
е·ґеёѓдєљж–°е‡ е†…дєљ,75,87,93,90,
е·ґж‹‰ењ­,19,14,16,19,
е·ґж‹їй©¬,35,30,13,2,
е·ґжћ—,,,,,
е·ґиҐї,2,4,6,6,
еёѓеџєзєіжі•зґў,68,62,70,61,
еёѓйљ†иїЄ,68,60,53,54,
еёЊи…Љ,,,,,
её•еЉі,"1,285","1,372",723,"1,686",
еє“ж‹‰зґў,,,,,
ејЂж›јзѕ¤еІ›,,,,,
еѕ·е›Ѕ,,,,,
ж„Џе¤§е€©,,,,,
ж‰ЂзЅ—й—Ёзѕ¤еІ›,647,621,555,514,
ж‹‰и„±з»ґдєљ,,,,,
жЊЄеЁЃ,,,,,
жЌ·е…‹е…±е’Ње›Ѕ,,,,,
ж‘©е°”е¤љз“¦,132,130,133,105,
ж‘©жґ›е“Ґ,31,45,46,60,
ж‘©зєіе“Ґ,,,,,
ж–‡иЋ±иѕѕйІЃиђЁе…°е›Ѕ,,,,,
ж–ђжµЋ,89,91,123,103,
ж–ЇеЁЃеЈ«е…°,77,103,72,93,
ж–Їжґ›дјђе…‹е…±е’Ње›Ѕ,,,,,
ж–Їжґ›ж–‡е°јдєљ,,,,,
ж–Їй‡Ње…°еЌЎ,28,29,24,21,
ж–°еЉ еќЎ,,,,,
ж–°е–Ђй‡Ње¤ље°јдєљ,,,,,
ж–°иҐїе…°,,,,,
ж—Ґжњ¬,,,,,
ж™єе€©,12,9,7,4,
жњќйІњж°‘дё»дё»д№‰дєєж°‘е…±е’Ње›Ѕ,3,5,4,4,
жџ¬еџ”еЇЁ,51,54,54,53,
ж јжћ—зєіиѕѕ,323,116,73,95,
ж јй™µе…°,,,,,
ж јйІЃеђ‰дєљ,140,131,147,145,
жЇ”е€©ж—¶,,,,,
жЇ›й‡ЊеЎ”е°јдєљ,104,103,108,75,
жЇ›й‡Њж±‚ж–Ї,100,148,142,118,
ж±¤еЉ ,677,897,746,763,
жІ™з‰№йїж‹‰дјЇ,,,,,
жі•е›Ѕ,,,,,
жі•е±ћжіўе€©е°јиҐїдєљ,,,,,
жі•зЅ—зѕ¤еІ›,,,,,
жіўе…°,,,,,
жіўе¤љй»Ћеђ„,,,,,
жіўж–Їе°јдєље’Њй»‘еЎће“Ґз»ґй‚Ј,133,163,149,144,
жі°е›Ѕ,-0,-2,-2,-0,
жґҐе·ґеёѓйџ¦,56,54,73,57,
жґЄйѓЅж‹‰ж–Ї,83,80,72,78,
жµ·ењ°,310,170,125,113,
жѕіе¤§е€©дєљ,,,,,
з€±е°”е…°,,,,,
з€±жІ™е°јдєљ,,,,,
з‰™д№°еЉ ,52,15,8,26,
з‰№е…‹ж–Їз§‘ж–Їзѕ¤еІ›,,,,,
з‰№з«‹е°јиѕѕе’Ње¤ље·ґе“Ґ,3,,,,
зЋ»е€©з»ґдєљ,73,70,63,66,
з‘ће…ё,,,,,
з‘ћеЈ«,,,,,
з“¦еЉЄйїе›ѕ,458,381,410,358,
з™Ѕдї„зЅ—ж–Ї,15,13,11,11,
з™ѕж…•е¤§,,,,,
з§‘еЁЃз‰№,,,,,
з§‘ж‘©зЅ—,98,74,96,111,
з§‘з‰№иїЄз“¦,45,74,133,62,
з§йІЃ,-9,20,13,12,
зЄЃе°јж–Ї,52,86,94,66,
з«‹й™¶е®›,,,,,
зґўй©¬й‡Њ,52,111,98,95,
зє¦ж—¦,158,158,224,218,
зє¦ж—¦жІіиҐїеІёе’ЊеЉ жІ™,661,622,497,626,
зєіз±іжЇ”дєљ,118,131,117,114,
зј…з”ё,7,7,10,74,
зЅ—й©¬е°јдєљ,,,,,
зѕЋе›Ѕ,,,,,
зѕЋе±ћз»ґдє¬зѕ¤еІ›,,,,,
зѕЋе±ћиђЁж‘©дєљ,,,,,
иЂЃжЊќ,65,60,62,62,
и‚Їе°јдєљ,40,59,61,73,
иЉ¬е…°,,,,,
и‹Џдё№,45,30,26,31,
и‹Џй‡ЊеЌ—,199,171,74,55,
и‹±е›Ѕ,,,,,
иЌ·е…°,,,,,
иЋ«жЎ‘жЇ”е…‹,81,85,83,90,
иЋ±зґўж‰,128,130,138,154,
иЏІеѕ‹е®ѕ,6,-2,0,2,
иђЁе°”з“¦е¤љ,46,46,37,27,
иђЁж‘©дєљ,793,522,639,620,
и‘Ўиђ„з‰™,,,,,
и’™еЏ¤,112,127,160,151,
иҐїзЏ­з‰™,,,,,
иґќе®Ѓ,72,71,51,63,
иµћжЇ”дєљ,69,76,68,79,
иµ¤йЃ“е‡ е†…дєљ,122,34,19,8,
и¶ЉеЌ—,34,41,46,46,
йїеЎћж‹њз–†,18,31,31,-7,
йїеЇЊж±—,226,237,226,172,
йїе°”еЏЉе€©дєљ,5,5,4,5,
йїе°”е·ґе°јдєљ,117,121,118,103,
йїж‹‰дјЇеЏ™е€©дєље…±е’Ње›Ѕ,6,15,75,159,
йїж‹‰дјЇеџѓеЏЉе…±е’Ње›Ѕ,8,5,22,67,
йїж‹‰дјЇиЃ”еђ€й…‹й•їе›Ѕ,,,,,
йїж›ј,-8,,,,
йїж №е»·,3,2,4,1,
йїйІЃе·ґ,,,,,
й©¬е…¶йЎїзЋ‹е›Ѕ,89,93,71,119,
й©¬е°”д»Је¤«,340,135,171,66,
й©¬жЃ©еІ›,,,,,
й©¬ж‹‰з»ґ,68,52,74,69,
й©¬жќҐиҐїдєљ,0,1,1,-4,
