Observation Time Reverse Order,HG (AGBP4) Graph
2015-07-24 01:15,1.28
2015-07-24 01:30,1.28
2015-07-24 01:45,1.28
2015-07-24 02:00,1.28
2015-07-24 02:15,1.28
2015-07-24 02:30,1.28
2015-07-24 02:45,1.28
2015-07-24 03:00,1.28
2015-07-24 03:15,1.27
2015-07-24 03:30,1.27
2015-07-24 03:45,1.27
2015-07-24 04:00,1.27
2015-07-24 04:15,1.27
2015-07-24 04:30,1.26
2015-07-24 04:45,1.26
2015-07-24 05:00,1.26
2015-07-24 05:15,1.26
2015-07-24 05:30,1.25
2015-07-24 05:45,1.25
2015-07-24 06:00,1.24
2015-07-24 06:15,1.24
2015-07-24 06:30,1.24
2015-07-24 06:45,1.23
2015-07-24 07:00,1.23
2015-07-24 07:15,1.23
2015-07-24 07:30,1.23
2015-07-24 07:45,1.23
2015-07-24 08:00,1.23
2015-07-24 08:15,1.23
2015-07-24 08:30,1.23
2015-07-24 08:45,1.24
2015-07-24 09:00,1.24
2015-07-24 09:15,1.24
2015-07-24 09:30,1.25
2015-07-24 09:45,1.25
2015-07-24 10:00,1.25
2015-07-24 10:15,1.25
2015-07-24 10:30,1.26
2015-07-24 10:45,1.26
2015-07-24 11:00,1.26
2015-07-24 11:15,1.26
2015-07-24 11:30,1.26
2015-07-24 11:45,1.26
2015-07-24 12:00,1.26
2015-07-24 12:15,1.26
2015-07-24 12:30,1.26
2015-07-24 12:45,1.26
2015-07-24 13:00,1.26
2015-07-24 13:15,1.25
2015-07-24 13:30,1.24
2015-07-24 13:45,1.24
2015-07-24 14:00,1.25
2015-07-24 14:15,1.25
2015-07-24 14:30,1.26
2015-07-24 14:45,1.26
2015-07-24 15:00,1.26
2015-07-24 15:15,1.26
2015-07-24 15:30,1.26
2015-07-24 15:45,1.26
2015-07-24 16:00,1.26
2015-07-24 16:15,1.26
2015-07-24 16:30,1.25
2015-07-24 16:45,1.26
2015-07-24 17:00,1.26
2015-07-24 17:15,1.26
2015-07-24 17:30,1.26
2015-07-24 17:45,1.26
2015-07-24 18:00,1.25
2015-07-24 18:15,1.25
2015-07-24 18:30,1.25
2015-07-24 18:45,1.25
2015-07-24 19:00,1.25
2015-07-24 19:15,1.25
2015-07-24 19:30,1.26
2015-07-24 19:45,1.28
2015-07-24 20:00,1.30
2015-07-24 20:15,1.30
2015-07-24 20:30,1.31
2015-07-24 20:45,1.31
2015-07-24 21:00,1.31
2015-07-24 21:15,1.32
2015-07-24 21:30,1.32
2015-07-24 21:45,1.32
2015-07-24 22:00,1.32
2015-07-24 22:15,1.32
2015-07-24 22:30,1.31
2015-07-24 22:45,1.32
2015-07-24 23:00,1.32
2015-07-24 23:15,1.32
2015-07-24 23:30,1.32
2015-07-24 23:45,1.32
2015-07-25 00:00,1.32
2015-07-25 00:15,1.32
2015-07-25 00:30,1.32
2015-07-25 00:45,1.32
2015-07-25 01:00,1.32
2015-07-25 01:15,1.32
2015-07-25 01:30,1.31
2015-07-25 01:45,1.31
2015-07-25 02:00,1.31
2015-07-25 02:15,1.31
2015-07-25 02:30,1.30
2015-07-25 02:45,1.30
2015-07-25 03:00,1.29
2015-07-25 03:15,1.29
2015-07-25 03:30,1.28
2015-07-25 03:45,1.27
2015-07-25 04:00,1.27
2015-07-25 04:15,1.26
2015-07-25 04:30,1.25
2015-07-25 04:45,1.25
2015-07-25 05:00,1.24
2015-07-25 05:15,1.24
2015-07-25 05:30,1.23
2015-07-25 05:45,1.23
2015-07-25 06:00,1.22
2015-07-25 06:15,1.22
2015-07-25 06:30,1.22
2015-07-25 06:45,1.21
2015-07-25 07:00,1.21
2015-07-25 07:15,1.20
2015-07-25 07:30,1.20
2015-07-25 07:45,1.20
2015-07-25 08:00,1.19
2015-07-25 08:15,1.19
2015-07-25 08:30,1.19
2015-07-25 08:45,1.18
2015-07-25 09:00,1.18
2015-07-25 09:15,1.18
2015-07-25 09:30,1.17
2015-07-25 09:45,1.17
2015-07-25 10:00,1.17
2015-07-25 10:15,1.17
2015-07-25 10:30,1.17
2015-07-25 10:45,1.18
2015-07-25 11:00,1.18
2015-07-25 11:15,1.19
2015-07-25 11:30,1.19
2015-07-25 11:45,1.20
2015-07-25 12:00,1.20
2015-07-25 12:15,1.21
2015-07-25 12:30,1.21
2015-07-25 12:45,1.21
2015-07-25 13:00,1.21
2015-07-25 13:15,1.21
2015-07-25 13:30,1.21
2015-07-25 13:45,1.21
2015-07-25 14:00,1.21
2015-07-25 14:15,1.21
2015-07-25 14:30,1.21
2015-07-25 14:45,1.20
2015-07-25 15:00,1.20
2015-07-25 15:15,1.20
2015-07-25 15:30,1.20
2015-07-25 15:45,1.20
2015-07-25 16:00,1.19
2015-07-25 16:15,1.19
2015-07-25 16:30,1.19
2015-07-25 16:45,1.19
2015-07-25 17:00,1.19
2015-07-25 17:15,1.19
2015-07-25 17:30,1.20
2015-07-25 17:45,1.20
2015-07-25 18:00,1.20
2015-07-25 18:15,1.21
2015-07-25 18:30,1.21
2015-07-25 18:45,1.21
2015-07-25 19:00,1.22
2015-07-25 19:15,1.22
2015-07-25 19:30,1.23
2015-07-25 19:45,1.28
2015-07-25 20:00,1.30
2015-07-25 20:15,1.29
2015-07-25 20:30,1.29
2015-07-25 20:45,1.29
2015-07-25 21:00,1.29
2015-07-25 21:15,1.30
2015-07-25 21:30,1.29
2015-07-25 21:45,1.29
2015-07-25 22:00,1.29
2015-07-25 22:15,1.28
2015-07-25 22:30,1.27
2015-07-25 22:45,1.27
2015-07-25 23:00,1.26
2015-07-25 23:15,1.26
2015-07-25 23:30,1.26
2015-07-25 23:45,1.25
2015-07-26 00:00,1.25
2015-07-26 00:15,1.25
2015-07-26 00:30,1.25
2015-07-26 00:45,1.24
2015-07-26 01:00,1.24
2015-07-26 01:15,1.23
2015-07-26 01:30,1.23
2015-07-26 01:45,1.22
2015-07-26 02:00,1.21
2015-07-26 02:15,1.20
2015-07-26 02:30,1.19
2015-07-26 02:45,1.18
2015-07-26 03:00,1.17
2015-07-26 03:15,1.16
2015-07-26 03:30,1.15
2015-07-26 03:45,1.14
2015-07-26 04:00,1.13
2015-07-26 04:15,1.12
2015-07-26 04:30,1.11
2015-07-26 04:45,1.10
2015-07-26 05:00,1.09
2015-07-26 05:15,1.09
2015-07-26 05:30,1.08
2015-07-26 05:45,1.07
2015-07-26 06:00,1.06
2015-07-26 06:15,1.05
2015-07-26 06:30,1.05
2015-07-26 06:45,1.04
2015-07-26 07:00,1.03
2015-07-26 07:15,1.02
2015-07-26 07:30,1.02
2015-07-26 07:45,1.01
