1 R,2 A,3 M,4 P,,5 D,6 R,7 A,8 B,9 M,10 A,11 R,12 C,13 C,14 H,15 E
16 A,R,C,H,20 B,E,A,R,A,18 O,R,E,A,L,O,B
21 G,I,G,I,24 L,R,N,O,L,S,E,D,D,A,M,B
25 E,A,R,L,U,,27 T,O,L,,,28 D,E,R,E,S
,,30 A,I,E,,,31 M,A,32 C,33 O,,34 T,K,,
35 N,36 E,W,P,L,37 T,38 S,,39 D,L,A,40 Y,S,S,42 E,43 N
44 O,D,S,,A,O,O,46 D,,I,T,E,,D,R,E
49 P,U,T,50 S,56 W,D,D,O,52 N,53 V,E,N,54 T,A,R,E
57 A,C,U,T,,59 D,A,M,A,60 E,S,T,A,62 N,E,D
63 R,E,G,E,68 B,S,,65 I,T,,67 W,A,T,E,D,
,,,69 I,A,M,,70 N,O,71 M,A,,72 U,,,
,73 A,74 N,G,S,I,75 C,O,,A,R,,77 M,78 S,79 E,80 N
81 O,N,O,,A,K,I,S,83 H,84 I,R,85 A,S,T,M,E
87 E,E,L,88 S,92 L,E,E,F,S,90 L,E,V,A,E,E,S
93 R,A,T,A,,,95 L,A,U,,97 N,A,R,99 V,E,T
100 A,R,E,T,104 T,101 H,O,T,A,102 R,,103 S,T,E,R,S
,,105 S,I,R,E,,107 S,N,E,108 R,,,N,,
110 S,111 E,N,A,E,R,112 S,,,W,O,114 S,,S,116 C,117 O
118 O,M,I,T,123 A,I,L,120 D,121 E,O,S,C,122 A,C,O,R
124 R,I,C,E,127 D,O,U,I,S,126 R,I,A,L,A,D,A
128 E,L,K,,131 S,129 T,E,X,T,130 D,E,N,Y,T,E,N
