Name,Transcript ID,bp,Protein,Translation ID,Biotype,CCDS,UniProt,RefSeq,Flags
DDB2-001,ENST00000256996,1870,427aa,ENSP00000256996,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,CCDS7927,Q92466,NM_000107 NP_000098,"Transcript Support Level 1, when transcripts are supported by at least one non-suspect mRNA.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:1The GENCODE set is the gene set for human and mouse. GENCODE Basic is a subset of representative transcripts (splice variants).GENCODE basicPRINCIPAL1 - APPRIS candidate principal isoform.APPRIS is a system to annotate alternatively spliced transcripts based on a range of computational methods.APPRIS P1"
DDB2-006,ENST00000378600,717,238aa,ENSP00000367863,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,CCDS73284,Q92466,NM_001300734 NP_001287663,"Transcript Support Level 1, when transcripts are supported by at least one non-suspect mRNA.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:1The GENCODE set is the gene set for human and mouse. GENCODE Basic is a subset of representative transcripts (splice variants).GENCODE basic"
DDB2-007,ENST00000378603,1092,363aa,ENSP00000367866,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,-,Q92466,-,"Transcript Support Level 1, when transcripts are supported by at least one non-suspect mRNA.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:1The GENCODE set is the gene set for human and mouse. GENCODE Basic is a subset of representative transcripts (splice variants).GENCODE basic"
DDB2-012,ENST00000614825,852,228aa,ENSP00000483718,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,-,A0A087X0X5,-,"3' truncation in transcript evidence prevents annotation of the end of the CDS.CDS 3' incompleteTranscript Support Level 3, when transcripts are supported by a single EST only.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:3"
DDB2-013,ENST00000622090,580,163aa,ENSP00000479994,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,-,A0A087WW71,-,"3' truncation in transcript evidence prevents annotation of the end of the CDS.CDS 3' incompleteTranscript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5"
DDB2-011,ENST00000622878,556,93aa,ENSP00000479196,Genes and/or transcript that contains an open reading frame (ORF).Protein coding,-,A0A087WV56,-,"3' truncation in transcript evidence prevents annotation of the end of the CDS.CDS 3' incompleteTranscript Support Level 4, for transcripts supported by an EST flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:4"
DDB2-008,ENST00000617847,1649,95aa,ENSP00000482080,"Transcript is thought to undergo nonsense mediated decay, a process which detects nonsense mutations and prevents the expression of truncated or erroneous proteins. Nonsense mediated decay",-,A0A087WYT8,-,"5' truncation in transcript evidence prevents annotation of the start of the CDS.CDS 5' incompleteTranscript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5"
DDB2-002,ENST00000378601,1591,244aa,ENSP00000367864,"Transcript is thought to undergo nonsense mediated decay, a process which detects nonsense mutations and prevents the expression of truncated or erroneous proteins. Nonsense mediated decay",-,Q92466,-,"Transcript Support Level 2, when transcripts are supported by multiple ESTs or by an mRNA flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:2"
DDB2-004,ENST00000616278,960,156aa,ENSP00000478411,"Transcript is thought to undergo nonsense mediated decay, a process which detects nonsense mutations and prevents the expression of truncated or erroneous proteins. Nonsense mediated decay",-,Q92466,-,"Transcript Support Level 2, when transcripts are supported by multiple ESTs or by an mRNA flagged as suspect.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:2"
DDB2-014,ENST00000610805,793,91aa,ENSP00000478063,"Transcript is thought to undergo nonsense mediated decay, a process which detects nonsense mutations and prevents the expression of truncated or erroneous proteins. Nonsense mediated decay",-,A0A087WTQ7,-,"Transcript Support Level 5, for transcripts that are not supported at all by either an mRNA or an EST.The Transcript Support Level (TSL) is a method to highlight the well-supported and poorly-supported transcript models for users. The method relies on the primary data that can support full-length transcript structure: mRNA and EST alignments supplied by UCSC and Ensembl.TSL:5"
