Week Beginning,Image #4,Image #86,Image #105
1-Jul-12,#9,#14,#25
8-Jul-12,#9,#14,#25
15-Jul-12,#9,#14,#25
22-Jul-12,#19,#14,#25
29-Jul-12,#19,#23,#10
5-Aug-12,#19,#23,#10
12-Aug-12,#19,#23,#10
19-Aug-12,#20,#23,#10
26-Aug-12,#20,#28,#11
2-Sep-12,#20,#28,#11
9-Sep-12,#20,#28,#11
16-Sep-12,#17,#28,#11
23-Sep-12,#17,#30,#16
30-Sep-12,#17,#30,#16
7-Oct-12,#17,#30,#16
14-Oct-12,#12,#30,#16
21-Oct-12,#12 &Rosary,#24,#26
28-Oct-12,#12,#24,#26
4-Nov-12,#12,#24,#26
11-Nov-12,#23,#24,#26
18-Nov-12,#23,#32,#27
25-Nov-12,Mid Year,#32,#27
2-Dec-12,#9,#32,#27
9-Dec-12,#9,#32,#27
16-Dec-12,#21,#15,#14
23-Dec-12,#21,#15,#14
30-Dec-12,#21,#15,#14
6-Jan-13,#25,#3,#10
13-Jan-13,#25,#3 & 4th Degree,#10
20-Jan-13,#25,#3,#10
27-Jan-13,Phx HS,Tucson HS,Yuma HS
3-Feb-13,#7,#1,#18
10-Feb-13,#7,#1,#18
17-Feb-13,#7,#1,#18
24-Feb-13,#7,#2,#13
3-Mar-13,#8,#2,#13
10-Mar-13,#8,#2,
