Date,Opponent,Score,punt,yds,avg,long,in20,fc,tb,blk
Aug 29,Cumberland (Tenn.),"W, 63-7",-,-,-,-,-,-,-,-
Sep 7,at Wisconsin,"L, 48-0",-,-,-,-,-,-,-,-
Sep 14,at Hampton,"W, 30-27",-,-,-,-,-,-,-,-
Sep 21,Tennessee State,"L, 41-21",-,-,-,-,-,-,-,-
Sep 28,Indiana St.,"W, 38-37",-,-,-,-,-,-,-,-
Oct 5,at Murray State,"L, 35-24",-,-,-,-,-,-,-,-
Oct 10,UT Martin,"L, 28-17",-,-,-,-,-,-,-,-
Oct 19,at Eastern Kentucky,"L, 24-10",-,-,-,-,-,-,-,-
Oct 26,Jacksonville State,"L, 34-14",-,-,-,-,-,-,-,-
Nov 2,at Eastern Illinois,"L, 56-21",-,-,-,-,-,-,-,-
Nov 9,at Southeast Missouri,"W, 41-16",-,-,-,-,-,-,-,-
Nov 23,Austin Peay,"W, 34-0",-,-,-,-,-,-,-,-
