Business Name:,"KINGSPORT REALTY MANAGEMENT, LLC"
Filing Type:,Limited Liability Company
Citizenship:,Domestic
State of Incorporation:,TN
Principal Office:,"575 PIERCE ST SUITE 507 KINGSTON, PA 18704"
Mailing Address:,"575 PIERCE ST SUITE 507 KINGSTON, PA 18704"
Secretary of State Control Number:,000608169
Initial Filing Date:,08/14/2009
Status:,Inactive - Terminated
Inactive Date:,02/10/2012
Standing - Annual Report:,Delinquent
Standing - Registered Agent:,Good
Standing - Other:,Good
Fiscal Year Close:,January
Annual Report Due Date:,04/01/2012
Annual Report Exempt:,No
Term of Duration:,Perpetual
Managed By:,Member Managed
Number of Members:,2
