Rank,Company,Industry,Temkin Experience Rating (TER),Company TER vs Industry TER
1,Sam's Club,Retailer,85%,13.0
2,Publix,Grocery Chain,81%,4.9
3,A credit union,Bank,80%,14.5
3,Chick-fil-A,Fast Food Chain,80%,6.2
3,Subway,Fast Food Chain,80%,6.4
3,Starbucks,Fast Food Chain,80%,6.5
3,H.E.B.,Grocery Chain,80%,3.6
3,Winn-Dixie,Grocery Chain,80%,3.6
3,Aldi,Grocery Chain,80%,3.7
10,Sonic Drive-in,Fast Food Chain,78%,3.6
10,Kroger,Grocery Chain,78%,1.7
10,ShopRite,Grocery Chain,78%,1.9
10,Amazon.com,Retailer,78%,5.9
14,PNC,Bank,77%,11.6
14,Pizza Hut,Fast Food Chain,77%,2.5
14,Target,Retailer,77%,4.9
14,Walgreens,Retailer,77%,5.0
18,Arby's,Fast Food Chain,76%,1.5
18,Whole Foods,Grocery Chain,76%,-0.4
18,Hy-Vee,Grocery Chain,76%,-0.1
18,BJ's Wholesale Club,Retailer,76%,3.5
18,Lowe's,Retailer,76%,3.9
23,Dunkin Donuts,Fast Food Chain,75%,0.8
23,Taco Bell,Fast Food Chain,75%,0.8
23,Wendy's,Fast Food Chain,75%,1.2
23,Food Lion,Grocery Chain,75%,-1.7
27,Little Caesar's,Fast Food Chain,74%,-0.3
27,Giant Eagle,Grocery Chain,74%,-2.7
27,Safeway,Grocery Chain,74%,-2.1
27,Stop & Shop,Grocery Chain,72%,-2.0
27,FedEx,Parcel Delivery Service,74%,1.4
27,JCPenney,Retailer,74%,1.7
27,Home Depot,Retailer,74%,1.7
27,CVS,Retailer,74%,1.9
35,Southwest Airlines,Airline,73%,11.9
35,TD Bank,Bank,73%,7.8
35,USAA,Bank,73%,8.3
35,USAA,Credit Card Issuer,73%,12.7
35,Dairy Queen,Fast Food Chain,73%,-1.1
35,Albertsons,Grocery Chain,73%,-3.8
35,Save-a-lot,Grocery Chain,73%,-3.3
35,USAA,Insurance Carrier,73%,7.7
35,UPS,Parcel Delivery Service,73%,0.9
35,Rite Aid,Retailer,73%,0.8
45,ING Direct,Bank,72%,6.8
45,Alamo,Car Rental Agency,72%,11.4
45,Hampton Inn,Hotel Chain,72%,5.8
45,Marriott,Hotel Chain,72%,6.4
45,State Farm,Insurance Carrier,72%,6.4
45,Costco,Retailer,72%,-0.5
45,Staples,Retailer,72%,0.0
52,KFC,Fast Food Chain,71%,-3.2
52,McDonalds,Fast Food Chain,71%,-2.9
52,US Postal Service,Parcel Delivery Services,71%,-0.8
52,Toys 'R' Us,Retailer,71%,-1.2
52,Old Navy,Retailer,71%,-1.0
57,Chevrolet,Auto Dealer,70%,7.7
