Name of Water Body,Net Area (square kilometres),Total Area (square kilometres),Elevation (metres)
Lake Superior,not available,28 700*,184
Lake Huron,not available,36 000*,177
Lake Erie,not available,12 800*,174
Lake Ontario,not available,10 000,75
Lake Nipigon,4 510,4 848,260
Lake of the Woods,2 458,3 150,323
Lac Seul,1 373,1 657,357
Lake St. Clair,436,490,175
Rainy Lake,692,741,338
Lake Abitibi,903,931,265
Lake Nipissing,822,832,196
Lake Simcoe,723,744,219
Big Trout Lake,624,661,213
Sandy Lake,507,527,275
St. Joseph Lake,459,493,371
Trout Lake,368,413,394
