OAU State,Official Language,IMF SDRs,Date of Independence,Head of Central Bank,Capital,IMF #Votes,Name of Currency
Algeria,Arabic,914.4,Jul 1962,Abdelouahab Keramane,Algiers,"9,394",Dinar
Angola,Portuguese,207.3,Nov 1975,Mario de Alcantara Monteiro,Luanda,"2,323",New Kwanza
Benin,French,45.3,Aug 1960,Moise Mensah,Porto-Novo,703,CFA franc
Bostwana,English,36.6,Sep 1966,Balendzi Gaolathe,Gaborone,616,Pula
Burkina Faso,French,44.2,Aug 1960,Tertius Zongo,Ouagadougou,696,CFA franc
Burundi,Rundi/French,57.2,Jul 1962,Mathias Sinamenye,Bujumbuna,822,Brundi franc
Cameroon,French/Eng.,135.1,Jan 1960,Edouard Akame Mfoumou,Yaounde,1.601,CFA franc
Cape Verde,Portuguese,7.0,Jul 1975,Antonio Gualberto do Rosario,Praia,320,Escudo
Central African Republic,"French, Sango",41.2,Aug 1960,Anicet-Georges Dologuele,Bangui,662,CFA franc
Chad,"Arabic, French",41.3,Aug 1960,Bichara Cherif Daoussa,N'Ojamena,663,CFA franc
Comoros,Comorian,6.5,Jul 1975,Mohamed Ali Soilihi,Moroni,315,Comorian franc
"Congo, Democratic Republic of the",French,291.0,Aug 1960,Vanant,Kinshasa,000,CFA franc
"Congo, Repulic Of",French,57.9,Jun 1960,Nguila Moungounga-Nkombo,Brazaville,829,CFA franc
Cote d'Ivoire,French,238.2,Aug 1960,N'Goran Niamien,Abidjan,2632,CFA franc
Dijibouti,"Arabic, French",11.5,Jun 1977,Djama Mahamoud Haid,Djibouti,365,Djib franc
Egypt,Arabic,678.4,Feb 1922,Moheiddin El-Gharib,Cairo,"7,034","Egyptian, Pound"
Equatorial Guinea,Spanish,24.3,Oct 1968,Marceli Oyono Ntutumu,Malabo,493,CFA franc
Eritrea,None,11.5,May 1993,Tekie Beyene,Asmara,365,Nakfa
Ethiopia,Amharic,98.3,"1,000BC",Dubale Jale,Addis Ababa,"1,233",Birr
Gabon,French,110.3,Aug 1960,Marcel Doupamby Matoka,Libreville,"1,242",CFA franc
"Gambia, The",English,22.9,Feb 1965,Dominic Mendy,Benjul,479,Dalasi
Ghana,English,274.0,Mar 1957,Kwabena Duffour,Accra,"2,990",Cedi
Guinea,French,78.7,Oct 1958,Ibrahima Kassory Fofana,Conakry,"1,037",Guinean franc
Guinea-Bissau,Portuguese,10.5,Sep 1974,Issufo Sanha,Bissau,355,Guinea-Bissau peso
Kanya,"Swahili, English",199.4,Dec 1963,Musalia Mudavadi,Nairobi,"2,224",Kenya shilling
Lesotho,"Sotho, English",23.9,Oct 1966,C.T Thamae,Maseru,489,Malito (Loti)
Liberia,English,71.3,July 1847,Elio E. Saleeby,Monrovia,963,Liberian dollar
Libya,Arabic,817.6,Dec 1951,Taher E. Jehaimi,Tripoli,"8,426",Libyan dinar
Madagascar,"Malagasy, French",90.4,Jul 1960,Andrianarivo Tantely,Antananarivo,"1,154",Madagasy franc
Malawi,English,50.9,Jul 1964,M.A.P. Chikaonda,Lilongwe,759,Malawi Kwacha
Mali,French,68.9,Jul 1965,Soumaila Cisse,Bama Ko,939,CFA franc
Mauritania,Arabic,47.5,Nov 1960,Mohamedou Ould Michel,Nouakchott,725,Ouguiya
Mauritius,English,73.3,Mar 1968,Vasant Kumar Bunwaree,Porto Louis,893,Mouritian rupee
Morocco,Arabic,427.7,Mar 1956,Mohamed Seqat,Rabat,"4,527",Morrocan dirham
Mozambique,Portuguese,84.0,Jun 1975,Tomaz Augusto Salomao,Maputo,1090,Metical
Namibia,English,99.6,Mar 1990,Nangolo Mbumba,Windhoek,"1,246",Nambian dollar
Niger,French,48.3,Aug 1960,Ahmadou Mayaki,Niamey,733,CFA franc
Nigeria,English,"1,281.6",Oct 1960,Anthony A. Ani,Lagos,13.006,Nigerian Naira
Rwanda,"Rwanda, French",59.5,Jul 1962,Donat Kaberuka,Kagali,845,Rwandan franc
Sao Tome and Principe,Portuguese,5.5,Jul 1975,Carlos Quaresma Batista,Sao Tome,305,Dobra
Senegal,French,118.9,Aug 1960,Papa Ousmane Sakho,Dakar,"1,439",CFA franc
Seychelles,None,6.0,Jun 1976,James Michel,Victoria,310,Seychelles rupee
Sierra Leone,English,77.2,Aug 1960,Thaimu Bangura,Freetown,1022,Leon
Somalia,"Somali, Arabic",44.2,Jul 1961,Vacant,Mogadishu,692,Someli Shilling
South Africa,English...,"1,365.4",May 1910,Christian Lodewyk Stals,Pretoria,"13,904",Rand
Sudan,Arabic,169.7,Jan 1956,Vacant,Khartoum,000,Sudanese dinar
Swaziland,"Swazi, English",36.5,Sep 1968,Themba N. Mashuka,Mbabane,615,Lulangeni
Tanzania,"Swahili, English",146.9,Dec 1961,Daniel N. Yona,Dar es Salaam,"1,719",Tansanian shilling
Togo,French,54.3,Apr 1960,Barry Moussa Barque,Lome,793,CFA franc
Tunisia,Arabic,206.0,Mar 1956,Mohamed El Beji Hamda,Tunis,"2,310",Dinar
Uganda,"Swahili, English",133.9,Oct 1962,Jehoash Mayanja-Nkangi,Kampela,"1,589",Uganda shilling
Zambia,English,363.5,Oct 1964,Ronald Damson Siame Penza,Lusaka,"3,885",Zambian Kwacha
Zambabwe,English,261.3,Sep 1980,Herbert Murerwa,Harare,"2,863",Zambabe dollar
