Name,Alter,geb.,gest.,Land,Medizin,Physik,Chemie,Wirtsch.,Literatur,Frieden
George E. Palade,90,19.11.1912,,Belgien,1974**,,,,,
Frederic Passy,90,20.05.1822,12.06.1912,Frankreich,,,,,,1901**
Boris Pasternak,70,10.02.1890,30.05.1960,Russland,,,,,1958,
Wolfgang Pauli,58,25.04.1900,15.12.1958,Österreich,,1945,,,,
Linus Carl Pauling,93,28.02.1901,19.08.1994,Vereinigte Staaten,,,,,,1962
Iwan Petrowitsc Pawlow,86,14.09.1849,27.02.1936,Russland,1904,,,,,
Octavio Paz,84,31.03.1914,19.04.1998,Mexiko,,,,,1990,
Lester Bowles Pearson,75,23.04.1897,27.12.1972,Kanada,,,,,,1957
Charles Pedersen,85,03.10.1904,26.10.1989,Vereinigte Staaten,,,1987***,,,
Arno Penzias,70,26.04.1933,,Vereinigte Staaten,,1978***,,,,
Shimon Peres,80,15.08.1923,,Israel,,,,,,1996***
Jean-Baptiste Perrin,71,30.09.1870,17.04.1942,Frankreich,,1926,,,,
Saint-John Perse,88,31.05.1887,20.09.1975,Frankreich,,,,,1960,
Luigi Pirandello,69,28.06.1867,10.12.1936,Italien,,,,,1934,
Dominique Georg Pire,58,10.02.1910,30.01.1969,Belgien,,,,,,1958
Max Planck,89,23.04.1858,04.10.1947,Deutschland,,1918,,,,
John Charles Polanyi,74,23.01.1929,,Kanada,,,1986***,,,
Henrik Pontoppidan,86,24.07.1857,21.08.1943,Dänemark,,,,,1917**,
John Pople,78,31.10.1925,,Vereinigte Staaten,,,1998**,,,
George Porter,81,06.12.1920,31.08.2002,Groß-Brit.,,,1967***,,,
Rodney R. Porter,67,08.10.1917,07.09.1985,Groß-Brit.,1972**,,,,,
Cecil Powell,65,05.12.1903,09.08.1969,Groß-Brit.,,1950,,,,
Fritz Pregl,61,03.09.1869,13.12.1930,Österreich,,,1923,,,
Vladimir Prelog,91,23.07.1906,07.01.1998,Schweiz,,,1975**,,,
Ilya Prigogine,86,25.01.1917,28.05.2003,Belgien,,,1977,,,
Michailowitsch Prochorow,85,11.07.1916,08.01.2002,Sowjetunion,,1964***,,,,
Edward Mills Purcell,84,30.08.1912,07.03.1997,Vereinigte Staaten,,1952**,,,,
