CREATOR,CREATION,AGE (years)
Louis Braille,Invented a system of printing and writing for the blind,15
Blaise Pascal,Formulated Pascal?s Theorem,16
Galileo Galilei,Discovered the laws of pendulum motion at the age of Law of falling bodies,17
Edwin Land,Patented his first polarizing light filter,19
George Westinghouse,First patent for a rotary steam engine Invented airbrakes,19 22
Guglielmo Marconi,Invented a system of radio telegraphy,21
Joshua Lederberg,Discovered bacterial conjugation,21
Thomas Edison,Invented automated relaying communications device,22
Carl Gauss,Proved the theorem of complex coefficients,22
John Nash,Published his theory of non-cooperative games,22
Brian Josephson,Predicted the Josephson effect,22
James Hillier,Developed the electron microscope,22
Isaac Newton,"Calculus, principles of optics, elements of circular motion inverse square law of gravity",23
Louis Parker,Invented a low frequency receiver for radio waves,23
Srinivasa Ramanujan,Published his first mathematical papers,24
Satyendra Bose,Published is first statistical mechanics papers,24
Paul Dirac,Quantum mechanics for motion of atomic particles,24
Richard Feynman,Published his theory of electromagnetic waves,24
Walt Disney,Drew his first animated cartoon,24
Max Perutz,Crystallographic studies of glaciers Applied Xray crystallography to study hemoglobin,24 25
James Clerk Maxwell,Published first paper on electromagnetic lines of force,25
Enrico Fermi,Postulated his statistical laws,25
Earnest Rutherford,"Discovered the alpha, beta and gamma radiation",25
George Eastman,Made commercial dry photographic plates,25
James Watson,Co-published his paper on DNA,25
Louis Pasteur,Discovered tartarate isomers,26
Henri Poincare,Created automorphic functions,26
Albert Einstein,Published 3 ground-breaking articles (including relativity),26
Niels Bohr,Proposed his model of the Bohr atom,26
Werner Heisenberg,Derived his uncertainty principle,26
Nicola Tesla,Constructed his first induction motor,27
Linus Pauling,Laid down Pauling?s Rules,27
Lee Tsung-Dao,Discovered the decay modes of kaon,29
