Title(s) [10][11][12][13],Year first released [10][11][14][15],Developer [14][16],Publisher [10][11][14][17][18],Regions released [10][11][12][13][19],Number of players [10][12][13][20],ESRB/ ELSPA rating [10][17][21],Genre [10][11][15][18][22][23]
1080? Snowboarding,1998,Nintendo,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Sports/Snowboarding
64 Hanafuda: Tenshi no Yakusoku,1999,Altron,Altron,JP,1,?,Card Game
64 ?zum?,1997,Bottom Up,Bottom Up,JP,4 !1?4,?,Sports/Wrestling/Sumo
64 ?zum? 2,1999,Bottom Up,Bottom Up,JP,4 !1?4,?,Sports/Wrestling/Sumo
64 Trump Collection: Alice no Waku Waku Trump World,1998,Bottom Up,Bottom Up,JP,4 !1?4,?,Adventure/Card Games
Aerofighters Assault ?Sonic Wings AssaultJP,1997,Paradigm Entertainment,Video System,"JP, NA, PAL",4 !1?4,K-A/3+,Simulation/Flight Combat
AeroGauge,1997,Pacific Coast Power & Light,ASCII Entertainment,"JP, NA, PAL",4 !1?4,E/3+,Racing/Automotive
AI Shogi 3,1998,I4,I4,JP,4 !1?4,?,Board Game/Strategy
Aidyn Chronicles: The First Mage,2001,H2O Interactive,THQ,"NA, PAL",1,T/11+,Adventure/Role Playing
Air Boarder 64,1998,Human Entertainment,Human Entertainment,"JP, PAL",4 !1?4,?/3+,Sports/Stunts
All-Star Baseball 99,1998,Acclaim,Acclaim,"NA, PAL",4 !1?4,E/3+,Sports/Baseball
All-Star Baseball 2000,1999,Acclaim,Acclaim,"NA, PAL",4 !1?4,E/3+,Sports/Baseball
All-Star Baseball 2001,2000,Acclaim,Acclaim,NA,4 !1?4,E/?,Sports/Baseball
All Star Tennis '99 ?Yannick Noah All Star Tennis '99FRA,1999,Smart Dog,Ubisoft,"NA, PAL",4 !1?4,E/3+,Sports/Tennis
Animal Crossing ?D?butsu no MoriJP,2001,Nintendo,Nintendo,JP,1,?,Simulation/Living/Social
Armorines: Project S.W.A.R.M.,1999,Acclaim,Acclaim,"NA, PAL",4 !1?4,T/11+,Action/Adventure/3D Shooter
Army Men: Air Combat,2000,3DO,3DO,NA,4 !1?4,T/?,Action/Adventure/3D Shooter
Army Men: Sarge's Heroes,1999,3DO,3DO,"NA, PAL",4 !1?4,T/11+,Action/Adventure/3D Shooter
Army Men: Sarge's Heroes 2,2000,3DO,3DO,NA,4 !1?4,T/?,Action/Adventure/3D Shooter
Asteroids Hyper 64,1999,Syrox Developments,Crave Entertainment,NA,4 !1?4,E/?,Arcade/Action/Shooter
Automobili Lamborghini ?Super Speed Race 64JP,1997,Titus Software,Titus Software Taito,"JP, NA, PAL",4 !1?4,K-A/3+,Racing/Automobile
Bakuretsu Muteki Bangai-?,1999,Treasure,ESP,JP,1,?,Action/Adventure
Bakush? Jinsei 64: Mezase! Resort ?,1998,Taito,Taito,JP,4 !1?4,?,Board Game
Banjo-Kazooie ?Banjo to Kazooie no DaibokenJP,1998,Rare,Nintendo,"JP, NA, PAL",1,E/3+,Adventure/3D Platformer
Banjo-Tooie ?Banjo to Kazooie no Daiboken 2JP,2000,Rare,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Adventure/3D Platformer
Bass Hunter 64,1999,Gear Head Entertainment,Take-Two Interactive,"NA, PAL",1,E/3+,Sports/Fishing
Bass Masters 2000,1999,Mass Media,THQ,NA,4 !1?4,E/?,Sports/Fishing
