Name,Höhe,Kanton,Tourenart,Schwierigkeit,Datum,...Bericht
Dufourspitze (Pointe Dufour),4634,VS,Alpine Skitour,S+ II,29.05.2005,
Zumsteinspitze,4563,VS/I,Skitour,WS,28.05.2005,
Dom,4545,VS,Hochtour,WS- II,26.07.2002,
Nadelhorn,4327,VS,Hochtour,WS II,07.09.2002,
Grand Combin de Grafeneire,4314,VS,Hochtour,WS I,16.08.2002,
Lenzspitze,4294,VS,Nordwand,S IV,01.08.2011,
Finsteraarhorn,4274,BE/VS,Alpine Skitour,WS+ II,07.04.2007,
Zinalrothorn,4221,VS,Hochtour,ZS III,26.08.2008,
Alphubel,4206,VS,Alpine Skitour,WS,18.04.2003,
Rimpfischhorn,4199,VS,Alpine Skitour,S III,12.05.2008,
Aletschhorn,4195,VS,Alpine Skitour,WS+ II,20.05.2009,
Strahlhorn,4190,VS,Alpine Skitour,S I,15.04.2003,
Jungfrau,4158,BE/VS,Hochtour,ZS II,14.09.2002,
Bishorn,4153,VS,Hochtour,WS,23.07.2002,
M?nch,4107,BE/VS,Hochtour,ZS- II,13.09.2002,
Grosses Fiescherhorn,4049,BE/VS,Hochtour,WS+ II,12.08.2005,
Piz Bernina,4049,GR,Hochtour,ZS III,08.08.2003,
Allalinhorn,4027,VS,Alpine Skitour,WS,14.04.2003,
Hinter Fiescherhorn,4025,VS,Hochtour,WS+ II,12.08.2005,
Fletschhorn,3993,VS,Hochtour,WS,18.07.2004,
Eiger,3970,BE,Alpine Skitour,SS+,02.04.2011,
Ulrichshorn,3925,VS,Hochtour,WS,12.06.2005,
Gross Wannenhorn,3906,VS,Alpine Skitour,WS+,08.04.2007,
Piz Pal?,3905,GR/I,Hochtour,ZS III,28.07.2003,
Aiguille d'Argenti?re,3900,VS/F,Alpine Skitour,"SS+, II",17.04.2011,
Mittaghorn,3892,BE/VS,Alpine Skitour,ZS,08.04.2006,
Gr?negghorn,3860,VS,Alpine Skitour,ZS+ II,07.04.2006,
Cima di Jazzi,3803,VS/I,Skitour,WS,13.04.2004,
Balfrin,3796,VS,Hochtour,WS II,30.07.2004,
Breithorn (L?tschentaler),3785,VS,Nordwand,SS IV,05.06.2005,
Piz Morteratsch,3751,GR,Hochtour,WS- I,06.07.2002,
Balmhorn,3699,BE/VS,Hochtour,ZS III,03.07.2005,
Wetterhorn,3692,BE,Skitour,WS+,08.05.2008,
Doldenhorn,3638,BE,Hochtour,ZS III,19.06.2005,
Dammastock,3630,UR/VS,Skitour,WS+,13.05.2011,
Altels,3629,BE,Alpine Skitour,S II,14.04.2009,
Grosses Bigerhorn,3626,VS,Hochtour,WS II,30.07.2004,
Morgenhorn,3623,BE,Hochtour,ZS II,26.06.2005,
T?di,3614,GL/GR,Alpine Skitour,ZS,16.03.2003,
Schneestock,3608,UR/VS,Skitour,WS,13.05.2011,
Rhonestock,3589,UR/VS,Skitour,ZS,13.05.2011,
Galenstock,3586,UR/VS,Alpine Skitour,ZS I,26.02.2003,
Pointes de Mourti,3564,VS,Hochtour,WS II,19.07.2003,
Monte Leone,3553,VS/I,Alpine Skitour,ZS III,22.03.2009,
Aiguille de la Varappe,3519,VS,Alpine Klettertour,6b,26.08.2007,
Vorder Galmihorn,3517,VS,Alpine Skitour,WS,08.04.2007,
Tiefenstock,3515,UR/VS,Alpine Skitour,S- I,15.05.2005,
Sustenhorn,3503,BE/UR,Skitour,ZS,07.05.2009,
Breithorn (Simplon),3438,VS,Alpine Skitour,WS,22.03.2009,
Gw?chtenhorn,3420,BE/UR,Skitour,S,07.05.2009,
Hinter Tierberg (N-Gipfel),3418,BE/UR,Alpine Skitour,WS,03.05.2009,
Piz Kesch,3418,GR,Alpine Skitour,ZS- I,26.02.2006,
Rheinwaldhorn,3402,GR/TI,Hochtour,WS+ II,14.09.2003,
Piz Calderas,3397,GR,Skitour,WS,05.04.2009,
Piz Platta,3392,GR,Alpine Skitour,S II,09.04.2009,
Piz d'Err,3378,GR,Skitour,WS,06.04.2009,
Fr?ndenhorn,3369,BE,Hochtour,S- IV,18.06.2006,
Piz Picuogl,3333,GR,Skitour,WS II,05.04.2009,
Oberalpstock,3328,GR/UR,Skitour,S+,26.03.2007,
Tschima da Flix,3316,GR,Skitour,WS,05.04.2009,
Stucklistock,3313,UR,Alpine Skitour,SS+ II,17.02.2008,
Piz Buin Grond,3312,GR/A,Alpine Skitour,ZS II,17.02.2007,
Mittler Tierberg,3311,BE/UR,Alpine Skitour,WS,03.05.2009,
Gross Sch?rhorn,3295,UR,Skitour,ZS I,27.04.2008,
Pizzo Tambo,3279,GR/I,Skitour,ZS,03.06.2005,
Bas?dino,3274,TI/I,Alpine Skitour,S,10.02.2011,
Clariden,3268,GL/UR,Skitour,WS+,09.03.2003,
Gross D?ssi,3256,GR/UR,Skitour,SS,01.02.2011,
Piz Jenatsch,3251,GR,Skitour,ZS I,06.04.2009,
Wildhorn,3248,BE/VS,Skitour,ZS,12.01.2012,
Ringelspitz,3247,GR/SG,Hochtour,ZS IV,28.09.2003,
Titlis,3238,BE/OW,Alpine Skitour,SS,01.04.2007,
Rorspitzli,3220,UR,Alpine Skitour,ZS+ I,18.03.2007,
Gw?chtenhorn,3215,BE,Alpine Skitour,SS- III,10.02.2008,
Gross Bielenhorn,3210,UR,Alpine Klettertour,6b+,21.08.2008,
Piz Timun,3209,GR/I,Skitour,S I,18.03.2009,
Piz d'Agnel,3205,GR,Skitour,WS+,05.04.2009,
Winterstock,3203,UR,Alpine Skitour,"SS+, IV",26.03.2011,
Gross Spannort,3198,UR,Skitour,S II,29.01.2008,
Piz Surgonda,3197,GR,Skitour,WS,04.04.2009,
Bortelhorn,3194,VS/I,Skitour,ZS II,21.03.2009,
Pizzo Rotondo,3192,TI/VS,Skitour,S+ I,22.02.2007,
Piz Sarsura,3178,GR,Skitour,ZS,05.05.2011,
Signalhorn,3174,GR/A,Alpine Skitour,ZS,17.02.2007,
Piz della Pal?,3172,GR/I,Skitour,ZS,18.03.2009,
Hausstock,3158,GR,Skitour,S,18.02.2003,
