Grad,Gipfel,Höhe,Kanton,Entfernung
153.4,Charenstock,2422,GL,53.85 km
153.5,Planggenstock,1675,GL,31.34 km
154.0,Wageten,1755,GL,32.95 km
154.4,Rautispitz,2283,GL,38.67 km
155.0,Wiggis,2282,GL,39.18 km
155.9,Bärensolspitz,1831,GL,34.72 km
155.9,Lachnerstock,1428,SZ,29.87 km
156.1,Brückler Brüggler,1777,GL,32.61 km
157.5,Gumenstock,2256,GL,39.08 km
158.1,Chli Gumen,2245,GL,38.96 km
158.1,Chöpfenberg,1876,GL/SZ,31.96 km
159.0,Schijen,2259,GL,38.85 km
159.6,Isikerberg,768,ZH,0.73 km
159.7,Brünnelistock,2133,GL/SZ,35.77 km
160.3,Bockmattli,1932,SZ,33.69 km
160.3,Schwander Grat,2883,GL,45.14 km
160.5,Rossalpelispitz,2075,GL/SZ,35.90 km
160.5,Ruchen,2901,GL,44.22 km
160.7,Ebnerberg,864,ZH,5.00 km
160.7,Plattenberg,2082,GL/SZ,34.94 km
161.3,Glärnisch,2915,GL,45.42 km
161.4,Schiberg,2044,GL/SZ,34.38 km
161.6,Zindlenspitz,2097,GL/SZ,36.29 km
162.4,Bächistock,2914,GL,45.82 km
162.4,Lachenstock,2027,GL/SZ,37.26 km
162.5,Brüschstockbügel,1489,SZ,32.41 km
162.8,Inner Fürberg,2627,GL,44.27 km
163.2,Bächihorn,2637,GL,45.32 km
163.8,Usser Fürberg,2605,GL,43.95 km
164.4,Redertenstock,2292,GL/SZ,38.89 km
164.7,Mutteristock,2294,GL/SZ,38.89 km
166.0,Spitzberg,1087,SZ,29.41 km
166.3,Gugelberg,1146,SZ,31.71 km
166.7,Hinter Gassenstock,2541,GL,47.13 km
167.0,Ochsenchopf,2179,GL/SZ,39.54 km
167.1,Bös Fulen,2802,GL/SZ,47.78 km
168.0,Grisset,2721,SZ,48.27 km
168.1,Wannenstöckli,1988,GL/SZ,39.39 km
168.8,Höch Turm,2666,SZ,51.46 km
169.1,Schijen,2610,GL/SZ/UR,52.81 km
169.6,Bifertenstock Durschin,3419,GL/GR,65.76 km
169.8,Gross Aubrig,1695,SZ,31.13 km
170.3,Pfannenstock,2573,SZ,47.92 km
170.4,Turner,2069,SZ,36.96 km
170.8,Silberen Twärenen-Räui,2319,SZ,44.41 km
171.1,Diethelm Fluebrig,2093,SZ,36.61 km
171.5,Gemsfairenstock,2972,GL/UR,59.13 km
171.6,Sandgipfel,3390,GL,63.75 km
171.7,Wänifirst,2004,SZ,39.24 km
171.8,Gantspitz,1970,SZ,38.50 km
172.3,Glarner Tödi,3586,GL,64.54 km
172.3,Piz Russein Tödi,3614,GL/GR,64.54 km
172.6,Speichstock,2967,GL/UR,59.38 km
172.7,Chli Aubrig,1642,SZ,31.36 km
172.7,Rot Nossen,2502,SZ/UR,54.25 km
172.9,Tüfels Stöck,2961,GL/UR,59.71 km
173.0,Fläschenspitz,2073,SZ,40.16 km
173.4,Bocktschingel,3079,GL/UR,60.17 km
173.5,Läckistock,2486,UR,54.80 km
174.3,Lauiberg,2057,SZ,41.62 km
174.5,Rinderweidhorn,1327,SZ,27.78 km
174.9,Mieserenstock,2199,SZ,42.88 km
175.1,Clariden,3268,GL/UR,60.83 km
175.7,Leiterenstollen,1789,SZ,37.99 km
176.3,Biet,1966,SZ,39.00 km
176.3,Chläbdächer,2175,SZ,42.48 km
176.6,Rütistein,2025,SZ,41.65 km
177.0,"Unteriberg, Ober Weid (andere)",1608,SZ,38.32 km
177.1,Twäriberg,2117,SZ,41.74 km
177.3,Druesberg,2282,SZ,42.66 km
178.0,Bocktschingelgrat,3207,UR,62.94 km
178.3,Forstberg,2215,SZ,43.02 km
178.5,Chli Schärhorn,3234,UR,62.18 km
179.7,Alpler Horn,2380,UR,53.05 km
179.7,Chalchschijen,2830,UR,63.63 km
179.9,Griessstock Hinter Griessstock,2734,UR,61.84 km
