Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,Gross Patient Revenue ($000)
6th Medical Group - MacDill Air Force Base,MacDill Air Force Base,0,0,0,$0
96th Medical Group - United States Air Force Eglin Regional Hospital,Eglin Air Force Base,0,0,0,$0
Aventura Hospital and Medical Center,Aventura,407,"20,016","94,099","$1,474,042"
Baptist Hospital,Pensacola,514,"12,698","63,883","$954,338"
Baptist Hospital of Miami,Miami,658,"35,273","187,353","$3,200,363"
Baptist Medical Center Beaches,Jacksonville Beach,146,"7,663","34,989","$412,420"
Baptist Medical Center Downtown,Jacksonville,815,"35,656","196,180","$2,446,002"
Baptist Medical Center Nassau,Fernandina Beach,54,"2,920","11,597","$170,085"
Baptist Medical Center South,Jacksonville,0,0,0,$0
Bartow Regional Medical Center,Bartow,72,"5,205","19,667","$304,140"
Bascom Palmer Eye Institute,Miami,56,129,512,"$290,105"
Bay Medical,Panama City,323,"16,075","73,444","$885,854"
Bay Pines VA Healthcare System,Bay Pines,0,0,0,$0
Bayfront Medical Center,Saint Petersburg,391,"16,317","89,116","$1,188,225"
Bert Fish Medical Center,New Smyrna Beach,112,"4,396","19,325","$235,662"
Bethesda Memorial Hospital,Boynton Beach,401,"18,853","96,123","$1,284,760"
Blake Medical Center,Bradenton,383,"12,066","52,338","$762,747"
Boca Raton Community Hospital,Boca Raton,369,"15,799","78,072","$1,430,147"
Brandon Regional Hospital,Brandon,345,"25,006","95,134","$1,754,761"
Brooksville Regional Hospital,Brooksville,244,"12,806","54,844","$958,293"
Broward General Medical Center,Fort Lauderdale,640,"26,723","146,185","$1,836,106"
Cape Canaveral Hospital,Cocoa Beach,150,"6,039","30,065","$402,058"
Cape Coral Hospital,Cape Coral,291,"16,839","68,106","$685,536"
Capital Regional Medical Center,Tallahassee,198,"11,128","49,455","$740,885"
Central Florida Regional Hospital,Sanford,226,"9,085","41,716","$632,086"
Charlotte Regional Medical Center,Punta Gorda,208,"8,223","34,403","$569,011"
Citrus Memorial Hospital,Inverness,198,"10,370","44,235","$707,057"
Cleveland Clinic in Florida - Weston,Weston,155,"10,761","41,451","$665,190"
Columbia Hospital,West Palm Beach,240,"5,737","20,973","$472,621"
Community Hospital,New Port Richey,302,"12,853","55,582","$982,022"
Coral Gables Hospital,Coral Gables,245,"5,824","28,839","$474,907"
Coral Springs Medical Center,Coral Springs,200,"12,850","52,281","$617,322"
Delray Medical Center,Delray Beach,465,"16,825","79,175","$1,508,654"
DeSoto Memorial Hospital,Arcadia,49,"2,282","10,877","$99,416"
Doctors Hospital,Coral Gables,281,"7,442","41,171","$717,301"
Doctors Hospital of Sarasota,Sarasota,168,"7,153","27,191","$539,364"
Doctors' Memorial Hospital,Perry,48,"1,308","3,964","$50,874"
Dr. P. Phillips Hospital,Orlando,0,0,0,$0
Ed Fraser Memorial Hospital,MacClenny,92,18,50,"$42,858"
Edward White Hospital,Saint Petersburg,110,"3,605","16,432","$319,214"
Englewood Community Hospital,Englewood,100,"3,840","14,071","$274,723"
Fawcett Memorial Hospital,Port Charlotte,238,"10,438","49,202","$956,591"
Flagler Hospital,Saint Augustine,316,"13,795","68,127","$750,369"
Florida Hospital Altamonte,Altamonte Springs,0,0,0,$0
Florida Hospital Apopka,Apopka,0,0,0,$0
Florida Hospital Carrollwood,Tampa,109,"4,661","17,702","$392,350"
Florida Hospital Celebration Health,Celebration,0,0,0,$0
Florida Hospital DeLand,DeLand,156,"7,890","32,988","$429,447"
Florida Hospital East Orlando,Orlando,0,0,0,$0
Florida Hospital Fish Memorial,Orange City,139,"9,110","38,819","$467,956"
Florida Hospital Flagler,Palm Coast,99,"6,280","25,693","$429,160"
Florida Hospital Heartland Medical Center,Sebring,159,"11,573","47,973","$604,027"
Florida Hospital Kissimmee,Kissimmee,0,0,0,$0
Florida Hospital Lake Placid,Lake Placid,0,0,0,$0
Florida Hospital Memorial Medical Center,Daytona Beach,0,0,0,$0
Florida Hospital Oceanside,Ormond Beach,396,"12,833","55,311","$715,830"
Florida Hospital Orlando,Orlando,"2,067","116,729","548,711","$8,014,197"
Florida Hospital Pepin Heart Institute,Tampa,0,0,0,$0
Florida Hospital Tampa,Tampa,475,"20,395","104,567","$1,450,929"
Florida Hospital Waterman,Tavares,204,"13,495","55,687","$700,537"
Florida Hospital Zephyrhills,Zephyrhills,154,"8,942","36,178","$671,308"
Florida State Hospital,Chattahoochee,58,122,"5,007","$72,678"
Fort Walton Beach Medical Center,Fort Walton Beach,257,"10,308","52,313","$1,174,213"
Good Samaritan Medical Center,West Palm Beach,333,"8,387","38,264","$530,112"
Gulf Breeze Hospital,Gulf Breeze,67,"4,251","16,482","$304,947"
Gulf Coast Medical Center,Panama City,176,"12,986","43,939","$929,555"
Gulf Coast Medical Center,Fort Myers,349,"23,019","97,473","$1,015,964"
H. Lee Moffitt Cancer Center & Research Institute,Tampa,206,"8,710","53,662","$1,427,776"
Health Central,Ocoee,171,"11,728","46,728","$547,614"
Healthmark Regional Medical Center,Defuniak Springs,50,"1,300","4,118","$32,547"
HealthPark Medical Center,Fort Myers,0,0,0,$0
Heart of Florida Regional Medical Center,Davenport,194,"11,910","44,362","$770,180"
Helen Ellis Memorial Hospital,Tarpon Springs,168,"4,831","19,439","$253,459"
Hialeah Hospital,Hialeah,362,"11,842","57,944","$736,277"
Highlands Regional Medical Center,Sebring,126,"5,498","22,867","$281,353"
Holmes Regional Medical Center,Melbourne,666,"29,033","166,588","$1,846,462"
Holy Cross Hospital,Fort Lauderdale,571,"17,237","83,180","$1,674,177"
Homestead Hospital,Homestead,142,"10,904","44,792","$732,599"
Imperial Point Medical Center,Fort Lauderdale,180,"7,318","29,015","$425,742"
Indian River Memorial Hospital,Vero Beach,335,"13,756","62,337","$473,784"
Jackson Hospital,Marianna,88,"3,342","14,721","$123,955"
Jackson Memorial Hospital,Miami,"1,724","57,431","384,289","$4,153,632"
Jackson North Medical Center,North Miami Beach,0,0,0,$0
Jackson South Community Hospital,Miami,0,0,0,$0
James A. Haley Veterans' Hospital,Tampa,0,0,0,$0
Jay Hospital,Jay,55,"1,188","5,357","$49,548"
JFK Medical Center,Atlantis,448,"26,589","115,201","$2,239,441"
Jupiter Medical Center,Jupiter,163,"10,089","46,800","$778,496"
Kendall Regional Medical Center,Miami,412,"17,298","75,778","$1,383,071"
Kindred Hospital Melbourne,Melbourne,60,122,"3,228","$14,204"
Lake City Medical Center,Lake City,67,"4,429","19,801","$276,781"
Lake City VA Medical Center,Lake City,0,0,0,$0
Lake Wales Medical Center,Lake Wales,131,"6,017","22,611","$369,337"
Lakeland Regional Medical Center,Lakeland,851,"39,283","180,512","$2,213,354"
Lakeside Medical Center,Belle Glade,70,"2,996","12,189","$124,936"
Lakewood Ranch Medical Center,Lakewood Ranch,120,"4,965","15,046","$232,345"
Largo Medical Center,Largo,380,"16,697","78,330","$1,392,144"
Larkin Community Hospital,South Miami,130,"6,320","29,102","$204,887"
Lawnwood Regional Medical Center & Heart Institute,Fort Pierce,341,"14,480","72,627","$1,359,408"
Lee Memorial Hospital,Fort Myers,931,"38,119","176,015","$1,868,241"
Leesburg Regional Medical Center,Leesburg,309,"17,452","73,696","$821,405"
Lehigh Regional Medical Center,Lehigh Acres,88,"3,937","15,724","$267,050"
Lower Keys Medical Center,Key West,152,"5,098","17,953","$229,597"
Lucerne Hospital,Orlando,0,0,0,$0
M.D. Anderson Cancer Center Orlando,Orlando,0,0,0,$0
Malcom Randall VA Medical Center,Gainesville,0,0,0,$0
Manatee Memorial Hospital,Bradenton,319,"17,210","73,413","$829,660"
Martin Memorial Hospital South,Stuart,0,0,0,$0
Martin Memorial Medical Center,Stuart,344,"18,027","75,916","$1,335,558"
Mayo Clinic Florida,Jacksonville,214,"11,832","58,280","$871,121"
Mayo Clinic Hospital,Jacksonville,0,0,0,$0
Mease Countryside Hospital,Safety Harbor,307,"17,394","73,248","$901,509"
Mease Dunedin Hospital,Dunedin,124,"5,894","26,482","$340,225"
Medical Center of Daytona Beach,Daytona Beach,550,"22,675","109,972","$1,101,180"
Medical Center of Port Orange,Port Orange,0,0,0,$0
Memorial Hospital,Jacksonville,415,"20,400","118,647","$2,016,547"
Memorial Hospital Miramar,Miramar,178,"10,132","42,561","$681,502"
Memorial Hospital of Tampa,Tampa,180,"4,328","18,308","$288,843"
Memorial Hospital Pembroke,Pembroke Pines,301,"6,359","28,373","$644,773"
Memorial Hospital West,Pembroke Pines,304,"21,386","101,622","$1,705,009"
Memorial Regional Hospital,Hollywood,993,"34,817","187,931","$3,134,352"
Memorial Regional Hospital South,Hollywood,0,0,0,$0
Mercy Hospital,Miami,343,"14,517","73,169","$1,094,492"
Metropolitan Hospital of Miami,Miami,146,"4,765","20,468","$184,456"
Miami Jewish Health Systems,Miami,494,437,"2,160","$77,052"
Miami VA Healthcare System - Bruce W. Carter Department of Veterans Affairs Medical Center,Miami,0,0,0,$0
Morton Plant Hospital,Clearwater,666,"25,691","104,639","$1,533,462"
Morton Plant North Bay Hospital,New Port Richey,226,"5,899","26,510","$301,249"
Mount Sinai Medical Center,Miami Beach,668,"19,379","117,503","$1,865,143"
Munroe Regional Medical Center,Ocala,399,"24,235","111,236","$1,292,403"
Naval Hospital Jacksonville,Jacksonville,0,0,0,$0
Naval Hospital Pensacola,Pensacola,0,0,0,$0
NCH Downtown Naples Hospital,Naples,681,"36,459","134,771","$1,390,147"
NCH North Naples Hospital,Naples,0,0,0,$0
North Broward Medical Center,Deerfield Beach,343,"13,369","67,681","$827,015"
North Florida Regional Medical Center,Gainesville,325,"24,096","108,307","$2,144,666"
North Okaloosa Medical Center,Crestview,110,"6,249","22,536","$610,129"
North Shore Medical Center,Miami,778,"23,416","128,476","$1,553,639"
North Shore Medical Center - FMC Campus,Fort Lauderdale,434,"9,083","49,815","$839,316"
Northside Hospital & Tampa Bay Heart Institute,Saint Petersburg,227,"9,822","49,487","$864,161"
Northwest Medical Center,Margate,215,"13,235","52,872","$880,473"
Oak Hill Hospital,Brooksville,224,"13,763","60,888","$1,271,156"
Ocala Regional Medical Center,Ocala,270,"15,385","65,729","$1,140,380"
Orange Park Medical Center,Orange Park,255,"14,656","68,685","$1,442,447"
Orlando Regional Medical Center,Orlando,"1,401","94,474","415,164","$5,712,584"
Osceola Regional Medical Center,Kissimmee,235,"17,107","78,457","$1,491,939"
Palm Bay Community Hospital,Palm Bay,0,0,0,$0
Palm Beach Gardens Medical Center,Palm Beach Gardens,199,"9,818","50,046","$858,565"
Palm Springs General Hospital,Hialeah,247,"7,213","37,571","$234,281"
Palmetto General Hospital,Hialeah,360,"20,210","102,029","$1,433,270"
Palms of Pasadena Hospital,Saint Petersburg,307,"4,616","21,650","$282,611"
Palms West Hospital,Loxahatchee,175,"12,330","50,132","$769,062"
Parrish Medical Center,Titusville,210,"7,766","37,953","$528,401"
Pasco Regional Medical Center,Dade City,120,"4,941","15,651","$334,194"
Peace River Regional Medical Center,Port Charlotte,189,"9,421","42,962","$501,156"
Physicians Regional - Collier Boulevard,Naples,0,0,0,$0
Physicians Regional - Pine Ridge,Naples,201,"8,659","34,037","$729,015"
Plantation General Hospital,Plantation,264,"18,155","55,986","$644,360"
Putnam Community Medical Center,Palatka,99,"5,484","27,381","$245,301"
Raulerson Hospital,Okeechobee,100,"4,791","21,114","$276,180"
Reception and Medical Center,Lake Butler,0,0,0,$0
Regional Medical Center Bayonet Point,Hudson,268,"13,951","64,123","$1,145,609"
Sacred Heart Hospital,Pensacola,466,"29,612","124,978","$1,366,000"
Sacred Heart Hospital on the Emerald Coast,Miramar Beach,55,"4,694","13,752","$351,657"
Sacred Heart Hospital on the Gulf,Port Saint Joe,19,561,"1,642","$25,980"
Saint Anthony's Hospital,Saint Petersburg,280,"13,162","61,958","$643,939"
Saint Cloud Regional Medical Center,Saint Cloud,84,"4,969","20,964","$253,313"
Saint Joseph's Hospital,Tampa,881,"54,866","231,629","$2,550,669"
Saint Joseph's Hospital - North,Lutz,0,0,0,$0
Saint Joseph's Women's Hospital,Tampa,0,0,0,$0
Saint Lucie Medical Center,Port Saint Lucie,229,"11,572","50,467","$834,928"
Saint Mary's Medical Center,West Palm Beach,463,"14,539","94,524","$1,069,673"
Saint Petersburg General Hospital,Saint Petersburg,219,"8,904","43,435","$744,144"
Saint Vincent's Medical Center Riverside,Jacksonville,518,"26,849","126,190","$1,579,212"
Saint Vincent's Medical Center Southside,Jacksonville,313,"7,700","38,804","$363,540"
Santa Rosa Medical Center,Milton,129,"4,035","14,056","$212,165"
Sarasota Memorial Hospital,Sarasota,786,"22,919","107,630","$1,603,759"
Sebastian River Medical Center,Sebastian,117,"5,178","21,436","$394,963"
Seven Rivers Regional Medical Center,Crystal River,128,"7,550","26,497","$384,152"
Shands at the University of Florida,Gainesville,870,"42,972","224,426","$2,437,782"
Shands Jacksonville,Jacksonville,607,"30,810","151,764","$1,836,668"
Shands Lake Shore Regional Medical Center,Lake City,99,"4,240","18,970","$151,970"
South Bay Hospital,Sun City Center,112,"6,606","31,507","$466,246"
South Florida Baptist Hospital,Plant City,147,"6,834","25,757","$349,017"
South Lake Hospital,Clermont,104,"7,629","28,251","$508,835"
South Miami Hospital,South Miami,444,"15,562","90,088","$1,580,026"
South Seminole Hospital,Longwood,0,0,0,$0
Spring Hill Regional Hospital,Spring Hill,0,0,0,$0
Sun Coast Hospital - Largo Medical Center,Largo,177,"4,886","22,705","$199,048"
Sylvester Comprehensive Cancer Center/UMHC,Miami,40,"1,358","7,673","$967,366"
Tallahassee Memorial Hospital,Tallahassee,603,"25,369","110,628","$1,396,970"
Tampa General Hospital,Tampa,915,"36,709","251,633","$4,164,666"
The Villages Regional Hospital,The Villages,192,"10,548","43,776","$429,035"
Town and Country Hospital,Tampa,201,"4,476","20,674","$281,501"
Tri-County Hospital Williston,Williston,20,573,"1,191","$11,563"
Twin Cities Hospital,Niceville,57,"2,042","7,227","$253,687"
University Hospital and Medical Center,Tamarac,317,"7,309","31,377","$551,302"
University of Miami Hospital,Miami,506,"19,331","117,184","$1,445,409"
Venice Regional Medical Center,Venice,312,"11,373","50,682","$729,106"
Viera Hospital,Viera,0,0,0,$0
Wellington Regional Medical Center,Wellington,158,"13,111","46,815","$590,063"
West Boca Medical Center,West Boca Raton,195,"9,972","46,008","$483,662"
West Florida Hospital,Pensacola,531,"11,468","54,009","$964,341"
West Kendall Baptist Hospital,Miami,0,0,0,$0
West Marion Community Hospital,Ocala,0,0,0,$0
West Palm Beach VA Medical Center,West Palm Beach,0,0,0,$0
Westchester General Hospital,Miami,197,"5,930","34,770","$166,177"
Westside Regional Medical Center,Plantation,224,"13,235","56,638","$940,611"
Winter Haven Hospital,Winter Haven,527,"16,114","73,581","$1,035,296"
Winter Park Memorial Hospital,Winter Park,0,0,0,$0
Wuesthoff Medical Center - Melbourne,Melbourne,115,"6,172","25,500","$250,933"
Wuesthoff Medical Center - Rockledge,Rockledge,291,"12,481","56,812","$569,969"
T O T A L,,"53,155","2,372,982","11,142,895","$160,491,061"
