Adam av Bremen,1040?85,Historieskriver
Hildegard fra Bingen,1098?1179,"Abbedisse, klostergrunnlegger, visjon?r-profetisk forfatter, komponist, urtemedisiner og naturforsker"
Johannes Regiomontanus,1436?76,Astronom og matematiker
Albrecht D?rer,1471?1528,"Maler, tegner, kobberstikker, tresnittkunstner; det st?rste navn i tysk kunsthistorie"
Martin Luther,1483?1546,"Prest; opphavsmann til reformasjonen, reformerte ogs? det h?ytyske skriftspr?ket gjennom Bibel-oversettelsen"
Thomas M?nzer,f?r 1491?1525,Prest og oppr?rer; en av lederne under bondekrigen
Hans Sachs,1494?1576,"Skomaker og dikter; en av mestersangerne fra N?rnberg, ud?deliggjort i Richard Wagners opera"
Hans Holbein d.y.,1497?1543,"Maler, tegner og grafiker"
Johannes Kepler,1571?1630,Astronom og matematiker; fant lovene for planetenes bevegelser
Gottfried Wilhelm Leibniz,1646?1716,Filosof og matematiker; ledende rasjonalist
Johann Sebastian Bach,1685?1750,Komponist; barokkmusikkens store hovedfigur
Georg Friedrich H?ndel,1685?1759,Komponist; skrev bl.a. Water Music (ca. 1717)
Immanuel Kant,1724?1804,Filosof; en av filosofiens mast ruvende skikkelser
Johann Gottfried von Herder,1744?1803,Filosof og forfatter; ?vde stor innflytelse p? tysk kultur
Johann Wolfgang van Goethe,1749?1832,Forfatter og naturvitenskapsmann; ansett som tysk litteraturs st?rste dikter
Friedrich von Schiller,1759?1805,Forfatter; skrev dramaer og dikt
Wilhelm von Humboldt,1767?1835,"Filosof, spr?kforsker og politiker"
Alexander von Humboldt,1769?1859,Naturvitenskapsmann: kjent geograf og geolog
Ludwig van Beethoven,1770?1827,Komponist; et av de st?rste navn i musikkhistorien
Georg Wilhelm Friedrich Hegel,1770?1831,Filosof; ?vde store innflytelse p? 1800-tallets tenkere
Caspar David Friedrich,1774?1840,Maler; romantikkens store maler i Tyskland
E. T. A. Hoffmann,1776?1822,Forfatter; kjent for sine fantastiske fortellinger
Heinrich von Kleist,1777?1811,Dramatiker; betydelig skildrer av sjelelivet
Carl Friedrich Gauss,1777?1855,"Matematiker, fysiker og astronom; en av de mest sentrale p? alle disse omr?der"
Karl Friedrich Schinkel,1781?1841,Arkitekt og maler; en av nyklassisismens fremste arkitekter
Jacob og Wilhelm Grimm,1785?1863 og 1786?1859,Litteratur- og spr?kforskere; samlet og utgav tyske folkeeventyr
Friedrich Krupp,1787?1826,Industrimann; grunnla Krupp-konsernet
Arthur Schopenhauer,1788?1860,Filosof; an av 1800-tallets mest s?regne tenkere
Helmuth Carl Bernhard Moltke,1800?91,"Offiser; betydelig feltherre, hvis ideer danner grunnlaget for moderne generalstabsvirksomhet"
Justus von Liebig,1803?73,Kjemiker; en av 1800-tallets mast betydelige vitenskapsmenn
Felix Mendelssohn-Bartholdy,1809?47,Komponist; en av romantikkens f?rende skikkelser
Robert Schumann,1810?56,Komponist; en av romantikkens f?rende skikkelser
Richard Wagner,1813?83,Komponist; operakunstens store fornyer
Otto von Bismarck,1815?98,Statsmann; skaperen av Det tyske rike
Theodor Mommsen,1817?1903,Historiker og forfatter
Karl Marx,1818?83,Filosof; marxismens opphavsmann og forfatter av Kapitalen
Clara Schumann (f. Wieck),1819?96,Pianist og komponist: en av 1800-tallets fremste pianister
Friedrich Engels,1820?95,Filosof; medforfatter av Det kommunistiske manifest
Heinrich Schliemann,1822?90,Arkeolog; ledet utgravningene av Troja
Leopold Kronecker,1823?91,Matematiker; sentral innen tallteori og algebra
Gustav Robert Kirchhoff,1824?87,Fysiker; grunnlegger av den matematiske fysikk
Georg Friedrich Bernhard Riemann,1826?66,"Matematiker; meget sentral innen analyse og funksjonsteori, ogs? stor innflytelse p? fysikken"
Johannes Brahms,1833?97,"Komponist, skrev bl.a. fire symfonier og Ein deutsches Requiem"
Gottlieb Daimler,1834?1900,Ingeni?r; en av bilens ?fedre?
Ernst Haeckel,1834?1919,"Biolog; arbeidet mye med utviklingsl?ren, formulerte den biogenetiske grunnlov"
Friedrich Wilhelm Nietzsche,1844?1900,Filosof og dikter; en av filosofiens mest omstridte skikkelser
Carl Friedrich Benz,1844?1929,Ingeni?r; konstruerte Benz-motoren som ble grunnlaget for produksjon av Benz-bilene
Georg Cantor,1845?1918,Matematiker; grunnlegger av mengdel?ren
Wilhelm von R?ntgen,1845?1923,"Fysiker; oppdaget r?ntgenstr?lingen, Nobelprisen 1901"
Emil Fischer,1852?1919,Kjemiker; en av de betydeligste organiske kjemikere. Nobelprisen 1902
Max Karl Ernst Ludwig Planck,1858?1947,"Fysiker; viktige bidrag til kvanteteorien, Nobelprisen 1918"
David Hilbert,1862?1943,Matematiker; viktige arbeider innen geometriens aksiomer og oppbygning
Max Weber,1864?1920,"Sosiolog; en av sosiologiens grunnleggere, skrev bl.a. Den protestantiske etikk og kapitalismens ?nd (1904?05)"
Richard Strauss,1864?1949,Komponist og dirigent: skrev bl.a. operaen Rosenkavaleren
Rosa Luxemburg,1870?1919,Revolusjon?r politiker: en av initiativtakerne till Spartakusforbundet
Thomas Mann,1875?1955,Forfatter; kjent for sine romaner og noveller. Nobelprisen 1929
Albert Einstein,1879?1955,Fysiker; s?rlig kjent for sin relativitetsteori
Waiter Gropius,1883?1969,Arkitekt; en av funksjonalismens skapere
Wilhelm Furtw?ngler,1886?1954,Dirigent; en av 1900-tallets st?rste dirigenter
Ludwig Mies van der Rohe,1886?1969,Arkitekt; en av modernismens st?rste arkitekter
Karl von Frisch,1886?1982,Zoolog; s?rlig kjent for atferdsstudier hos bier. Nobelprisen 1973
Friedrich Wilhelm Murnau,1888?1931,Filmregiss?r; stumfilmens st?rste tyske navn
Martin Heidegger,1889?1976,Filosof; f?rende navn innenfor eksistensfilosofien
Walter Benjamin,1892?1940,Filosof; sentral marxistisk kulturteoretiker
Wilhelm Kempff,1895?1991,"Pianist og komponist; en av sin tids fremste tolkere av Beethoven, Schumann og Brahms"
Bertolt Brecht,1898?1956,Forfatter og teaterleder; kjent for sine skuespill
Kurt Weill,1900?50,Komponist; kjent for sitt samarbeid med Bertolt Brecht
Warner Karl Heisenberg,1901?76,"Fysiker; en av grunnleggerne av kvantefysikken, s?rlig kjent for sin usikkerhetsrelasjon. Nobelprisen 1932"
Marlene Dietrich,1901?92,Filmskuespiller og kabaretartist
Theodor Adorno,1903?69,Filosof; innflytelsesrik estetikkteoretiker og kulturfilosof
Konrad Lorenz,1903?89,Zoolog og lege; en av grunnleggerne av etologien. Nobelprisen i fysiologi og medisin 1973
Wernher von Braun,1912?77,"Rakettforsker, sentral i USAs romfartsprogram"
Willy Brandt,1913?92,Politiker; forbundskansler 1969?74. Nobels fredspris 1971 for sin tiln?rmingspolitikk overfor ?st-Europa
Heinrich B?ll,1917?85,Forfatter; kjent for sine romaner og noveller; Nobelprisen 1972
Siegfried Lenz,1926?,Forfatter; kjent for sine romaner og noveller
G?nter Grass,1927?,"Forfatter og billedkunstner; kjent for sine romaner og noveller, Nobelprisen 1999"
Christa Wolf,1929?,Forfatter; kjent for sine romaner og noveller
J?rgen Habermas,1929?,Filosof; en hovedtalsmann for den ?kritiske teori?.
Franz Beckenbauer,1945?,Fotballspiller; ?rets spiller i Europa 1972 og 1976
Anselm Kiefer,1945?,Billedkunstner; forl?per for retningen ?Die neue Wilden?
Rainer Werner Fassbinder,1946?82,Filmregiss?r; en av filmens produktive realister
Daniel Libeskind,1946?,Arkitekt; en rekke monumentalbygg i de senere ?r
Joschka Fischer,1948?,"Politiker; den ledende politiker fra De gr?nne, utenriksminister og visekansler 1998?2005"
Michael Schumacher,1969?,Racerkj?rer; sju verdensmesterskap i formel 1
