Grad,Gipfel,Hцhe,Kanton,Entfernung
181.3,Cima della Valletta Mottone della Tappa,2130,TI/I,39.33 km
181.5,Motto di Levйn,2023,TI,38.77 km
181.8,Monte Stabbiello,2116,TI/I,39.95 km
181.9,Scrigno di Poltrinone,1956,TI,37.34 km
184.0,Prato della Basciуta,2076,TI/I,41.94 km
184.1,Monte Segor,2097,TI/I,40.66 km
184.7,Gazzirola,2116,TI/I,41.09 km
185.9,Camoghи,2228,TI,39.27 km
186.5,Monte Generoso,1701,TI,62.23 km
187.5,Cima Calescio,2034,TI,39.00 km
189.0,Forcel,2578,GR,19.03 km
190.1,Motton,2739,GR/TI,15.44 km
190.8,Mottone,2692,GR/TI,19.58 km
191.7,Pizzo Pianaccio,2832,GR/TI,8.43 km
191.8,Piz da Termin,2899,GR/TI,15.59 km
193.0,Pizzo del Ramulazz,2914,GR/TI,9.81 km
193.9,Filo di Revi,2791,GR/TI,7.82 km
194.0,Filo di Remia,2939,GR/TI,10.21 km
194.1,Torent Alto Torrone Alto,2952,GR/TI,16.33 km
197.1,Filo di Bugиla,2838,GR/TI,7.41 km
