Fans' Rank,Title,Year,Director(s),Overall Rank
111,M,1931,Fritz Lang,75
223,M*A*S*H,1970,Robert Altman,128
355,The Magnificent Ambersons,1942,Orson Welles,201
346,The Magnificent Seven,1960,John Sturges,318
79,Magnolia,1999,Paul Thomas Anderson,202
368,Malcolm X,1992,Spike Lee,582
57,The Maltese Falcon,1941,John Huston,44
305,The Man Who Shot Liberty Valance,1962,John Ford,288
92,The Manchurian Candidate,1962,John Frankenheimer,124
109,Manhattan,1979,Woody Allen,135
343,Mary Poppins,1964,Robert Stevenson,252
34,The Matrix,1999,Andy and Larry Wachowski,42
509,McCabe & Mrs. Miller,1971,Robert Altman,290
176,Mean Streets,1973,Martin Scorsese,190
59,Memento,2000,Christopher Nolan,136
429,Men in Black,1997,Barry Sonnenfeld,562
126,Metropolis,1927,Fritz Lang,53
99,Midnight Cowboy,1969,John Schlesinger,142
225,Miller's Crossing,1990,Joel Coen,460
297,Minority Report,2002,Steven Spielberg,796
485,The Mirror,1975,Andrei Tarkovsky,887
513,Misery,1990,Rob Reiner,1202
131,Modern Times,1936,Charles Chaplin,108
440,"Monsters, Inc.",2001,Pete Docter,607
62,Monty Python and the Holy Grail,1975,Terry Gilliam and Terry Jones,133
177,Moulin Rouge!,2001,Baz Luhrmann,219
122,Mr. Smith Goes to Washington,1939,Frank Capra,156
123,Mulholland Dr.,2001,David Lynch,310
507,Mutiny on the Bounty,1935,Frank Lloyd,447
279,My Fair Lady,1964,George Cukor,164
384,Mystic River,2003,Clint Eastwood,1511
247,Nashville,1975,Robert Altman,86
261,Natural Born Killers,1994,Oliver Stone,759
481,The Natural,1984,Barry Levinson,908
117,Network,1976,Sidney Lumet,221
364,A Night at the Opera,1935,Sam Wood,253
164,The Night of the Hunter,1955,Charles Laughton,61
229,Night of the Living Dead,1968,George A. Romero,139
314,The Nightmare Before Christmas,1993,Henry Selick,419
391,Nights of Cabiria,1957,Federico Fellini,440
31,North by Northwest,1959,Alfred Hitchcock,31
219,Nosferatu,1922,F.W. Murnau,105
168,Notorious,1946,Alfred Hitchcock,104
232,"O Brother, Where Art Thou?",2000,Joel Coen,776
283,Office Space,1999,Mike Judge,774
51,On the Waterfront,1954,Elia Kazan,40
159,Once Upon a Time in America,1984,Sergio Leone,207
86,Once Upon a Time in the West,1968,Sergio Leone,107
18,One Flew over the Cuckoo's Nest,1975,Milos Forman,35
399,Ordinary People,1980,Robert Redford,481
496,The Others,2001,Alejandro Amen?bar,803
463,Out of the Past,1947,Jacques Tourneur,242
448,The Outlaw Josey Wales,1976,Clint Eastwood,645
199,The Passion of Joan of Arc,1928,Carl Theodor Dreyer,143
387,Pather Panchali,1955,Satyajit Ray,159
114,Paths of Glory,1957,Stanley Kubrick,152
151,Patton,1970,Franklin J. Schaffner,241
506,Peeping Tom,1960,Michael Powell,258
197,Persona,1966,Ingmar Bergman,158
471,Philadelphia,1993,Jonathan Demme,898
155,The Philadelphia Story,1940,George Cukor,109
476,Pi,1998,Darren Aronofsky,945
287,The Pianist,2002,Roman Polanski,470
307,The Piano,1993,Jane Campion,247
435,Pinocchio,1940,Hamilton Luske and Ben Sharpsteen,217
357,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,379
328,"Planes, Trains & Automobiles",1987,John Hughes,1017
184,Planet of the Apes,1968,Franklin J. Schaffner,240
67,Platoon,1986,Oliver Stone,122
289,The Player,1992,Robert Altman,492
415,Pleasantville,1998,Gary Ross,1260
341,Predator,1987,John McTiernan,814
96,The Princess Bride,1987,Rob Reiner,132
358,Princess Mononoke,1997,Hayao Miyazaki,537
258,The Producers,1968,Mel Brooks,184
136,The Professional,1994,Luc Besson,282
14,Psycho,1960,Alfred Hitchcock,7
2,Pulp Fiction,1994,Quentin Tarantino,15
426,Punch-Drunk Love,2002,Paul Thomas Anderson,1131
405,The Quiet Man,1952,John Ford,307
502,Quiz Show,1994,Robert Redford,1012
24,Raging Bull,1980,Martin Scorsese,18
16,Raiders of the Lost Ark,1981,Steven Spielberg,29
118,Rain Man,1988,Barry Levinson,347
427,Raise the Red Lantern,1991,Yimou Zhang,363
162,Raising Arizona,1987,Joel Coen,528
121,Ran,1985,Akira Kurosawa,185
104,Rash?mon,1950,Akira Kurosawa,84
21,Rear Window,1954,Alfred Hitchcock,34
171,Rebecca,1940,Alfred Hitchcock,225
143,Rebel without a Cause,1955,Nicholas Ray,115
337,Red River,1948,Howard Hawks,234
475,The Red Shoes,1948,Michael Powell and Emeric Pressburger,204
436,The Remains of the Day,1993,James Ivory,594
428,Repulsion,1965,Roman Polanski,350
115,Requiem for a Dream,2000,Darren Aronofsky,434
32,Reservoir Dogs,1992,Quentin Tarantino,66
58,Return of the Jedi,1983,Richard Marquand,178
316,The Right Stuff,1983,Philip Kaufman,371
408,Rio Bravo,1959,Howard Hawks,279
392,Road to Perdition,2002,Sam Mendes,1224
262,The Road Warrior,1981,George Miller,306
421,RoboCop,1987,Paul Verhoeven,495
433,The Rock,1996,Michael Bay,1058
97,Rocky,1976,John G. Avildsen,101
467,The Rocky Horror Picture Show,1975,Jim Sharman,301
356,Roman Holiday,1953,William Wyler,300
367,Rope,1948,Alfred Hitchcock,1055
210,Rosemary's Baby,1968,Roman Polanski,193
266,The Royal Tenenbaums,2001,Wes Anderson,516
192,The Rules of the Game,1939,Jean Renoir,70
191,Run Lola Run,1998,Tom Tykwer,494
238,Rushmore,1998,Wes Anderson,286
