römischer Kaiser,Zeit (n. Chr.),Bauprojekt
Augustus,13 v. Chr.,"Augustus-Tempel; 2. Ostkolonnaden (kleine Bibliothek) des Isis-Tempels; Säulenhof des Hathor-Tempels, Reliefs im Mammisi und an Außenwand (Sankuarbereich) des Isis-Tempel; Terrassenanlagen"
Tiberius,14 - 37,"Reliefs im Mammisi, Westkolonnade und innere Fassade des 2.Pylons des Isis-Tempels; ebenso Reliefs an Außenwand Isis-Tempel (Sanktuarbereich); Reliefs im Arensnuphis-Tempel; Torbau in der Ostkolonnade im Isis-Tempelhof"
Claudius,41 - 54,Reliefs im Harendotes-Tempel
Nero,54 - 68,Reliefs in Westkolonnade des Isis-Tempels
Domitian,81 - 96,Kiosk vor Dodekaschoinos-Stele
Trajan,98 - 117,Kiosk vor Dodekaschoinos-Stele; Trajan-Kiosk
Hadrian,117 - 138,Kiosk vor Dodekaschoinos-Stele; Hadrian-Tor
Marc Aurel,161 - 180,Reliefs im Hadrian-Tor; Vorraum Osiriszimmer (am Dach des Isistempels)
Commodus,180 - 192,Kartuschen im Hadrian-Tor
Caracalla,211 - 217,Reliefs im Vestibül der Osiris-Dachkapelle des Isis-Tempels und im Hadrian-Tor
Diokletian,284 - 305,Diokletian-Tor; Stadtmauer (?)
