Name,H?he,Typ,Baujahr,See,Kanton
Grande Dixence,285 m,PG,1961,401.00 Mio m3,Valais/Wallis
Mauvoisin,250 m,VA,1957,211.50 Mio m3,Valais/Wallis
Luzzone,225 m,VA,1963,108.00 Mio m3,Ticino
Contra,220 m,VA,1965,105.00 Mio m3,Ticino
Emosson,180 m,VA,1974,227.00 Mio m3,Valais/Wallis
Zeuzier,156 m,VA,1957,51.00 Mio m3,Valais/Wallis
Göscheneralp,155 m,ER,1960,76.00 Mio m3,Uri
Curnera,153 m,VA,1966,41.10 Mio m3,Graubünden/Grigioni
Zervreila,151 m,VA,1957,100.50 Mio m3,Graubünden/Grigioni
Moiry,148 m,VA,1958,78.00 Mio m3,Valais/Wallis
Gigerwald,147 m,VA,1976,35.60 Mio m3,St. Gallen
Limmern,146 m,VA,1963,93.00 Mio m3,Glarus
Valle di Lei,141 m,VA,1961,197.00 Mio m3,Graubünden/Grigioni
Punt dal Gall,130 m,VA,1968,164.60 Mio m3,Graubünden / Italia
Sambuco,130 m,VA,1956,63.00 Mio m3,Ticino
Nalps,127 m,VA,1962,45.00 Mio m3,Graubünden/Grigioni
Hongrin Nord,125 m,VA,1969,53.20 Mio m3,Vaud
Gebidem,122 m,VA,1967,9.20 Mio m3,Valais/Wallis
Mattmark,120 m,TE,1967,101.00 Mio m3,Valais/Wallis
Santa Maria,117 m,VA,1968,67.30 Mio m3,Graubünden/Grigioni
Albigna,115 m,PG,1959,71.00 Mio m3,Graubünden/Grigioni
Spitallamm,114 m,VA,1932,101.00 Mio m3,Bern
Cavagnoli,111 m,VA,1968,29.00 Mio m3,Ticino
Schräh,111 m,PG,1924,150.00 Mio m3,Schwyz
Oberaar,100 m,PG,1953,61.00 Mio m3,Bern
Räterichsboden,94 m,PG,1950,27.00 Mio m3,Bern
Malvaglia,92 m,VA,1959,4.60 Mio m3,Ticino
Marmorera (Castiletto),91 m,TE,1954,60.00 Mio m3,Graubünden/Grigioni
Hongrin Sud,90 m,VA,1969,53.20 Mio m3,Vaud
Cleuson,87 m,PG,1950,20.00 Mio m3,Valais/Wallis
Dixence,87 m,CB,1935,50.00 Mio m3,Valais/Wallis
Les Toules,86 m,VA,1963,20.15 Mio m3,Valais/Wallis
Rossens,83 m,VA,1947,220.00 Mio m3,Fribourg/Freiburg
Naret I,80 m,VA,1970,31.60 Mio m3,Ticino
Barberine,79 m,PG,1925,40.00 Mio m3,Valais/Wallis
Mapragg,75 m,PG,1976,5.30 Mio m3,St. Gallen
Châtelot,74 m,VA,1953,20.60 Mio m3,Neuchâtel / France
Z'Mutt,74 m,VA,1964,0.85 Mio m3,Valais/Wallis
Lucendro,73 m,CB,1947,25.00 Mio m3,Ticino
Ova Spin,73 m,VA,1968,7.40 Mio m3,Graubünden/Grigioni
Palagnedra,72 m,PG/TE,1952,4.26 Mio m3,Ticino
Vasasca,69 m,VA,1967,0.40 Mio m3,Ticino
Robiei,68 m,PG,1967,6.70 Mio m3,Ticino
Roggiasca,68 m,VA,1965,0.52 Mio m3,Graubünden/Grigioni
Ferden,67 m,VA,1975,1.89 Mio m3,Valais/Wallis
Bärenburg,64 m,PG,1960,1.00 Mio m3,Graubünden/Grigioni
Solis,61 m,VA,1986,4.07 Mio m3,Graubünden/Grigioni
Gries,60 m,PG,1965,18.60 Mio m3,Valais/Wallis
Sufers,58 m,VA,1962,17.50 Mio m3,Graubünden/Grigioni
Montsalvens,55 m,VA,1920,12.60 Mio m3,Fribourg/Freiburg
Molina,54 m,PG,1951,0.81 Mio m3,Graubünden/Grigioni
Panix,53 m,PG,1989,7.30 Mio m3,Graubünden/Grigioni
Salanfe,52 m,PG,1952,40.00 Mio m3,Valais/Wallis
St-Barthélemy C,51 m,VA,1984,0.50 Mio m3,Valais/Wallis
Illgraben,50 m,PG,1970,0.00 Mio m3,Valais/Wallis
