Country,Capital,Area sq.km.,Population 2008 est.
Afghanistan,Kabul,"647,500","32,738,376"
Albania,Tirana,"28,748","3,619,778"
Algeria,Algiers,"2,381,740","33,769,668"
American Samoa,Pago Pago,199,"64,827"
Andorra,Andorra la Vella,468,"82,627"
Angola,Luanda,"1,246,700","12,531,357"
Anguilla,The Valley,102,"14,108"
Antigua and Barbuda,Saint John's,443,"84,522"
Argentina,Buenos Aires,"2,766,890","40,482,000"
Armenia,Yerevan,"29,800","2,968,586"
Aruba,Oranjestad,193,"101,541"
Australia,Canberra,"7,686,850","21,007,310"
Austria,Vienna,"83,870","8,205,533"
Azerbaijan,Baku,"86,600","8,177,717"
"Bahamas, The",Nassau,"13,940","307,451"
Bahrain,Manama,665,"718,306"
Bangladesh,Dhaka,"144,000","153,546,896"
Barbados,Bridgetown,431,"281,968"
Belarus,Minsk,"207,600","9,685,768"
Belgium,Brussels,"30,528","10,403,951"
Belize,Belmopan,"22,966","301,270"
Benin,Porto-Novo,"112,620","8,532,547"
Bermuda,Hamilton,53,"66,536"
Bhutan,Thimphu,"47,000","682,321"
Bolivia,Sucre,"1,098,580","9,247,816"
Bosnia and Herzegovina,Sarajevo,"51,129","4,590,310"
Botswana,Gaborone,"600,370","1,842,323"
Brazil,Brasilia,"8,511,965","196,342,592"
British Virgin Islands,Road Town,153,"24,041"
Brunei,Bandar Seri Begawan,"5,770","381,371"
Bulgaria,Sofia,"110,910","7,262,675"
Burkina Faso,Ouagadougou,"274,200","15,264,735"
Burma (Myanmar),Pyinmana,"678,500","47,758,180"
Burundi,Bujumbura,"27,830","8,691,005"
Cambodia,Phnom Penh,"181,040","14,241,640"
Cameroon,Yaounde,"475,440","18,467,692"
Canada,Ottawa,"9,984,670","33,212,696"
Cape Verde,Praia,"4,033","426,998"
Cayman Islands,George Town,262,"47,862"
Central African Republic,Bangui,"622,984","4,444,330"
Chad,N'Djamena,"1,284,000","10,111,337"
Chile,Santiago,"756,950","16,454,143"
China,Beijing,"9,596,960","1,330,044,544"
"China, Hong Kong SAR",Victoria,"1,092","7,018,636"
"China, Macao SAR",Macau,28,"545,674"
Christmas Island,The Settlement,135,"1,402"
Cocos Islands,West Island,14,596
