#,Catcheur,Nombre de r?gnes,Jours combin?s
1.,Lex Luger,5,948
2.,Ric Flair,5,811?
3.,Blackjack Mulligan,3,498
4.,Montel Vontavious Porter,2,419
5.,Greg Valentine,2,391
6.,Rick Rude,1,378?
7.,Chris Benoit,5,357
8.,Nikita Koloff,1,328
9.,Sgt. Slaughter,2,305
10.,Magnum T.A.,2,302
11.,Wahoo McDaniel,5,289?
12.,Barry Windham,1,283
13.,Booker T,4,271
14.,Ricky Steamboat,4,263
15.,Steve Austin,2,240
15.,Shelton Benjamin,1,240
17.,Sting,2,234
18.,Jimmy Snuka,1,231
19.,Dustin Rhodes,2,229?
20.,John Cena,3,221
21.,Roddy Piper,3,220
22.,Jeff Jarrett,3,184
23.,Harley Race,1,183
24.,Bret Hart,4,181
25.,Orlando Jordan,1,173
26.,Scott Steiner,2,169
27.,Paul Jones,2,167
28.,Eddie Guerrero,2,161
29.,Konnan,1,160
30.,Diamond Dallas Page,2,147
30.,The Big Show,1,147
32.,Dusty Rhodes,1,141
33.,Tully Blanchard,1,130
34.,Dick Slater,1,129
35.,Kofi Kingston,1,126
36.,Big Van Vader,1,117
37.,Lance Storm,3,115
38.,Curt Hennig,1,104
39.,Jim Duggan,1,100
