COUNTRY,CURRENCY,A1,A2,B1,B2,C1,C2
ALBANIA,ALL,3740,4180,4540,6145,6600,7480
ALGERIA,DZD,3316,4345,4921,5456,5720,5991
ARAB EMIRATES,EAU,315,370,420,525,580,630
ARGENTINA,ARS,190,245,275,315,335,355
ARMENIA,AMD,14650,15950,17230,24120,26700,28430
AUSTRALIA,AUD,170,210,255,290,305,315
AUSTRIA,EUR,84,95,100,140,145,150
AZERBAIYAN,AZN,35,40,45,60,65,70
BAHAMAS,BSD,63,76,90,104,110,116
BANGLADESH,BDT,2200,2300,2600,3700,4300,4700
BELGIUM,EUR,82,95,104,136,145,152
BIELORUSSIA,BYR,95700,105000,111200,157500,173000,185000
BOLIVIA,BOV,386,450,550,637,690,715
BOSNIA-H.,KM,75,85,100,125,135,145
BRAZIL,BRL,115,130,145,190,225,250
BULGARY,BGL,75,80,90,120,135,155
CAMEROON,XOF,22300,27000,28800,36800,38300,40400
CANADA,CAD,117,140,175,195,210,220
CHILE,CLP,35500,45000,50600,58600,62500,65600
CHINA,CNY,435,495,560,720,790,825
COLOMBIA,COP,129100,155000,184000,213000,230000,239000
COSTA RICA,CRC,29000,35000,42000,51000,53000,55000
CROATIA,HRK,305,382,418,514,556,595
CUBA,CUC,52,65,74,86,90,96
CYPRUS,EUR,80,95,113,133,145,154
CZECK REPUBLIC,CZK,1230,1530,1740,2060,2300,2400
DENMARK,DKK,695,850,1075,1155,1200,1245
DOMINICAN REPUBLIC,DOP,2015,2300,2870,3325,3650,3730
ECUADOR,EUR,40,45,57,66,70,74
EGYPT,EGP,290,350,395,480,540,590
EQUATORIAL GUINEA,XOF,21710,25145,28035,35740,38305,39270
ESTONIA,EEK,532,585,626,892,990,1158
FINLAND,EUR,84,95,104,140,150,155
FRANCE,EUR,84,95,104,140,150,155
GABON,XOF,21500,26000,28000,35400,37950,38900
GEORGIA,GEL,80,85,90,130,145,155
GERMANY,EUR,83,90,98,138,145,149
GHANA,EUR,20,25,29,34,36,37
GUADALUPE,EUR,84,95,104,140,150,155
GREECE,EUR,88,100,125,146,165,171
HAITI,HTG,1420,1670,1875,2325,2715,2970
HUNGARY,HUF,10000,11000,12000,16000,18000,20000
ICELAND,ISK,10062,11700,12838,16828,18900,20645
INDIA,INR,1850,2035,2235,3080,3520,3780
INDONESIA,IDR,400700,413400,483400,667800,765500,817300
IRAN,IRR,440000,480000,535500,733000,790000,850000
IRELAND,EUR,85,95,107,142,152,158
ISRAEL,NIS,340,420,505,570,585,600
ITALY,EUR,73,78,83,122,140,150
IVORY COAST,XOF,16100,18900,23100,27300,28350,30100
JAMAICA,JMD,4300,5200,6300,7200,7600,8090
JAPAN,JPY,7600,8900,10100,12700,14200,15200
JORDAN,JOD,43,50,58,71,75,77
KAZAJSTAN,KZT,6000,6300,6900,9700,10700,11400
KENYA,KES,3400,2800,4000,4700,5000,5200
KIRGUISTAN,KGS,1850,2000,2150,3050,3350,3590
LATVIA,LVL,26,32,39,43,48,55
LEBANON,LBP,120000,135000,156600,199500,220000,236000
LIECHTENSTEIN,CHF,128,142,176,214,238,256
LITHUANIA,LTL,119,145,178,196,205,255
LUXEMBURG,EUR,90,105,110,150,185,200
MALAYSIA,MYR,210,245,270,340,490,420
MALTA,EUR,60,70,82,102,115,122
MARTINICA,EUR,84,95,104,140,150,155
MEXICO,MXN,770,920,1095,1265,1350,1420
MOLDAVIA,MDL,400,450,485,680,760,800
MOROCCO,MAD,340,390,440,565,595,620
NAMIBIA,NAD,326,404,453,537,562,593
NETHERLAND,EUR,86,95,105,140,150,160
N. ZEALAND,NZD,205,260,305,345,365,380
NIGERIA,NGN,4550,5550,6520,7700,8100,8500
NORWAY,NOK,895,990,1161,1485,1690,1810
PALESTINE,NIS,130,160,180,210,225,240
PANAMA,PAB,57,70,80,95,100,106
PERU,PEN,175,210,246,290,300,320
PHILIPPINES,PHP,1930,2480,2940,3250,3570,3950
POLAND,PLZ,235,280,340,390,410,435
PORTUGAL,EUR,75,85,97,125,130,137
ROMANIA,RON,150,180,200,245,280,300
RUSSIA,RUB,2040,2365,2920,3430,3795,4175
SENEGAL,XOF,16600,20000,23800,28000,30300,31000
SERBIA,CSD,3640,4125,4830,6000,6700,7200
SINGAPORE,SGD,120,145,165,200,220,240
SLOVAQUIA,EUR,35,41,48,59,66,71
SLOVENIA,EUR,41,50,58,69,75,81
SOUTH AFRICA,ZAR,540,620,740,915,985,1060
SOUTH KOREA,KRW,100000,130000,150000,170000,185000,200000
SPAIN,EUR,102,117,148,170,178,185
SWEDEN,SEK,1045,1250,1420,1745,1950,2070
SWITZERLAND,CHF,146,180,213,243,275,292
SYRIA,SYP,1900,2200,2800,3200,3500,3900
