Lake,Location,Area in sq. miles
Lake Superior,MI-MN-WI-Ontario,"31,700"
Lake Huron,MI-Ontario,"23,000"
Lake Michigan,IL-IN-MI-WI,"22,300"
Lake Erie,MI-NY-OH-PA-Ontario,"9,910"
Lake Ontario,NY-Ontario,"7,340"
Great Salt Lake,Utah,"2,117"
Lake of the Woods,MN-Manitoba-Ontario,"1,485"
Iliamna Lake,Alaska,"1,014"
Lake Oahe,ND-SD,685
Lake Okeechobee,Florida,662
Lake Pontchartrain,Louisiana,631
Lake Sakakawea,North Dakota,520
Lake Champlain,NY-VT-Quebec,490
Becharof Lake,Alaska,453
Lake St. Clair,MI-Ontario,430
