Year,Laureate,Country,Rationale
1901,Jacobus Henricus van 't Hoff,the Netherlands,'[for his] discovery of the laws of chemical dynamics and osmotic pressure in solutions'[9]
1902,Hermann Emil Fischer,Germany,'[for] his work on sugar and purine syntheses'[10]
1903,Svante August Arrhenius,Sweden,'[for] his electrolytic theory of dissociation'[11]
1904,Sir William Ramsay,United Kingdom,"'[for his] discovery of the inert gaseous elements in air, and his determination of their place in the periodic system'[12]"
1905,Johann Friedrich Wilhelm Adolf von Baeyer,Germany,"'[for] the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds'[13]"
1906,Henri Moissan,France,"'[for his] investigation and isolation of the element fluorine, and for [the] electric furnace called after him'[14]"
1907,Eduard Buchner,Germany,'for his biochemical researches and his discovery of cell-free fermentation'[15]
1908,Ernest Rutherford,United Kingdom New Zealand,"'for his investigations into the disintegration of the elements, and the chemistry of radioactive substances'[16]"
1909,Wilhelm Ostwald,Germany,'[for] his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction'[17]
1910,Otto Wallach,Germany,'[for] his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds'[18]
1911,"Marie Curie, née Sklodowska",Poland/France,"'[for] the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element'[19]"
1912,Victor Grignard,France,'for the discovery of the [...] Grignard reagent'[20]
,Paul Sabatier,France,'for his method of hydrogenating organic compounds in the presence of finely disintegrated metals'[20]
1913,Alfred Werner,Switzerland,'[for] his work on the linkage of atoms in molecules [...] especially in inorganic chemistry'[21]
1914,Theodore William Richards,United States,'[for] his accurate determinations of the atomic weight of a large number of chemical elements'[22]
1915,Richard Martin Willstätter,Germany,"'for his researches on plant pigments, especially chlorophyll'[23]"
1916,,,
1917,,,
1918,Fritz Haber,Germany,'for the synthesis of ammonia from its elements'[24]
1919,,,
1920,Walther Hermann Nernst,Germany,'[for] his work in thermochemistry'[25]
1921,Frederick Soddy,United Kingdom,"'for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes'[26]"
1922,Francis William Aston,United Kingdom,"'for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule'[27]"
1923,Fritz Pregl,Austria,'for his invention of the method of micro-analysis of organic substances'[28]
1924,,,
1925,Richard Adolf Zsigmondy,Germany / Hungary,'for his demonstration of the heterogeneous nature of colloid solutions and for the methods he used'[29]
